v,lm,t,w,Delta_M,band_character_sign,signed_mass_proxy,overlap_val_ref_val,overlap_val_ref_con,vx_est,vy_est,comment
0.55,0.1,0.3,1.0,0.09999999999999981,1,0.049999999999999906,1.0000000000000004,6.572386570585023e-16,1.3877787807814457e-14,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
0.551,0.1,0.3,1.0,0.0979999999999992,1,0.0489999999999996,0.9429799145092252,1.383984206655288e-15,0.0,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.552,0.1,0.3,1.0,0.09599999999999964,1,0.04799999999999982,0.7649693285502567,1.841065555140928e-15,1.734723475976807e-14,1.734723475976807e-14,signed_mass_proxy from M-point component continuity
0.553,0.1,0.3,1.0,0.0939999999999998,1,0.0469999999999999,0.9023440783681904,4.78838353334937e-16,1.3877787807814457e-14,3.469446951953614e-14,signed_mass_proxy from M-point component continuity
0.554,0.1,0.3,1.0,0.09199999999999986,1,0.04599999999999993,0.7076580694741827,1.2050751678031182e-15,5.204170427930421e-14,2.0816681711721685e-14,signed_mass_proxy from M-point component continuity
0.555,0.1,0.3,1.0,0.08999999999999866,1,0.04499999999999933,0.6063932448777585,2.395078288179028e-16,3.469446951953614e-14,3.469446951953614e-15,signed_mass_proxy from M-point component continuity
0.556,0.1,0.3,1.0,0.08799999999999963,1,0.04399999999999982,0.7941689628907078,2.1027693699966682e-16,2.42861286636753e-14,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.557,0.1,0.3,1.0,0.08599999999999985,1,0.04299999999999993,0.958568872238103,1.7388697900154311e-15,3.469446951953614e-15,1.734723475976807e-14,signed_mass_proxy from M-point component continuity
0.558,0.1,0.3,1.0,0.08399999999999844,1,0.04199999999999922,0.6063134564076538,5.708385828401327e-17,1.734723475976807e-14,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.559,0.1,0.3,1.0,0.08199999999999971,1,0.040999999999999856,0.226675717734153,4.522278337923255e-16,2.0816681711721685e-14,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.56,0.1,0.3,1.0,0.0799999999999996,1,0.0399999999999998,0.8250754825884464,1.7589908478558313e-15,2.7755575615628914e-14,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
0.561,0.1,0.3,1.0,0.0779999999999996,1,0.0389999999999998,0.63450180814606,4.676226350111147e-16,6.938893903907228e-15,5.898059818321144e-14,signed_mass_proxy from M-point component continuity
0.562,0.1,0.3,1.0,0.07599999999999979,1,0.037999999999999895,0.7643530009688396,6.419735502706819e-16,4.163336342344337e-14,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.563,0.1,0.3,1.0,0.07400000000000032,1,0.03700000000000016,0.9517672173350055,3.525566418677228e-15,3.8163916471489756e-14,1.3877787807814457e-14,signed_mass_proxy from M-point component continuity
0.564,0.1,0.3,1.0,0.07199999999999965,1,0.035999999999999824,0.8363848065384046,5.174813758162897e-16,1.0408340855860843e-14,3.469446951953614e-15,signed_mass_proxy from M-point component continuity
0.565,0.1,0.3,1.0,0.07000000000000009,1,0.035000000000000045,0.5496335008179519,6.103583927466066e-16,3.469446951953614e-14,1.0408340855860843e-14,signed_mass_proxy from M-point component continuity
0.566,0.1,0.3,1.0,0.06800000000000014,1,0.03400000000000007,0.845811718715499,1.0117010023185701e-15,1.734723475976807e-14,1.734723475976807e-14,signed_mass_proxy from M-point component continuity
0.567,0.1,0.3,1.0,0.06599999999999978,1,0.03299999999999989,0.5940013796403987,7.73646174607526e-16,2.0816681711721685e-14,1.734723475976807e-14,signed_mass_proxy from M-point component continuity
0.568,0.1,0.3,1.0,0.06400000000000003,1,0.032000000000000015,0.9067137516923663,1.7121325615163252e-15,8.673617379884035e-14,3.469446951953614e-15,signed_mass_proxy from M-point component continuity
0.569,0.1,0.3,1.0,0.06199999999999989,1,0.030999999999999944,0.6545877508934377,1.999557034049793e-16,2.7755575615628914e-14,5.898059818321144e-14,signed_mass_proxy from M-point component continuity
0.57,0.1,0.3,1.0,0.059999999999999915,1,0.029999999999999957,0.8122636075086785,2.325572310478605e-15,2.42861286636753e-14,2.7755575615628914e-14,signed_mass_proxy from M-point component continuity
0.571,0.1,0.3,1.0,0.05800000000000019,1,0.029000000000000095,0.7342346454026215,2.8467663360949794e-16,1.3877787807814457e-14,4.5102810375396984e-14,signed_mass_proxy from M-point component continuity
0.572,0.1,0.3,1.0,0.05600000000000038,1,0.02800000000000019,0.6057995287469689,3.891207070963179e-15,1.0408340855860843e-14,1.734723475976807e-14,signed_mass_proxy from M-point component continuity
0.573,0.1,0.3,1.0,0.05399999999999988,1,0.02699999999999994,0.7937144429871134,1.0789324223927529e-15,4.85722573273506e-14,7.632783294297951e-14,signed_mass_proxy from M-point component continuity
0.574,0.1,0.3,1.0,0.05199999999999996,1,0.02599999999999998,0.6508453271400931,2.322978567239248e-16,3.122502256758253e-14,1.3877787807814457e-14,signed_mass_proxy from M-point component continuity
0.575,0.1,0.3,1.0,0.04999999999999977,1,0.024999999999999883,0.6159626633657637,2.6050840703962423e-16,4.5102810375396984e-14,1.734723475976807e-14,signed_mass_proxy from M-point component continuity
0.576,0.1,0.3,1.0,0.04799999999999979,1,0.023999999999999896,0.9511275840443987,1.2615521329080324e-15,2.0816681711721685e-14,3.469446951953614e-14,signed_mass_proxy from M-point component continuity
0.577,0.1,0.3,1.0,0.04599999999999929,1,0.022999999999999646,0.6406222127661042,7.208355213716579e-16,6.245004513516506e-14,4.85722573273506e-14,signed_mass_proxy from M-point component continuity
0.578,0.1,0.3,1.0,0.0439999999999999,1,0.02199999999999995,0.3352142604881828,1.3723498911903845e-15,4.85722573273506e-14,8.673617379884035e-14,signed_mass_proxy from M-point component continuity
0.579,0.1,0.3,1.0,0.041999999999999954,1,0.020999999999999977,0.6595781747916994,1.4260415638581983e-15,5.551115123125783e-14,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.58,0.1,0.3,1.0,0.04000000000000001,1,0.020000000000000004,0.7963655219394519,1.6690268798664875e-15,3.469446951953614e-14,3.469446951953614e-15,signed_mass_proxy from M-point component continuity
0.581,0.1,0.3,1.0,0.03799999999999995,1,0.018999999999999975,0.4774449472054517,3.2270093695648904e-15,7.28583859910259e-14,4.5102810375396984e-14,signed_mass_proxy from M-point component continuity
0.582,0.1,0.3,1.0,0.03600000000000003,1,0.018000000000000016,0.7875211938586718,1.3944100394870553e-15,7.28583859910259e-14,1.0408340855860843e-14,signed_mass_proxy from M-point component continuity
0.583,0.1,0.3,1.0,0.03399999999999964,1,0.01699999999999982,0.821995422784577,7.015397050572688e-15,2.0816681711721685e-14,4.85722573273506e-14,signed_mass_proxy from M-point component continuity
0.584,0.1,0.3,1.0,0.03199999999999989,1,0.015999999999999945,0.5991560486584502,2.0458722458826334e-15,1.3877787807814457e-14,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
0.585,0.1,0.3,1.0,0.029999999999999666,1,0.014999999999999833,0.5365867910919521,2.7040268043879454e-15,4.163336342344337e-14,5.204170427930421e-14,signed_mass_proxy from M-point component continuity
0.586,0.1,0.3,1.0,0.02799999999999972,1,0.01399999999999986,0.95318917460492,1.991870261432476e-15,1.3877787807814457e-14,5.204170427930421e-14,signed_mass_proxy from M-point component continuity
0.587,0.1,0.3,1.0,0.02599999999999958,1,0.01299999999999979,0.5398659709339866,1.2308930576108667e-15,1.3877787807814457e-14,3.8163916471489756e-14,signed_mass_proxy from M-point component continuity
0.588,0.1,0.3,1.0,0.023999999999999855,1,0.011999999999999927,0.7752181549231143,8.647483814693388e-15,1.734723475976807e-14,5.204170427930421e-14,signed_mass_proxy from M-point component continuity
0.589,0.1,0.3,1.0,0.021999999999999992,1,0.010999999999999996,0.9720680438738717,5.6231785024474065e-15,1.3877787807814457e-14,1.3877787807814457e-14,signed_mass_proxy from M-point component continuity
0.59,0.1,0.3,1.0,0.019999999999999796,1,0.009999999999999898,0.2701381662888987,4.340597039073271e-15,7.979727989493313e-14,6.245004513516506e-14,signed_mass_proxy from M-point component continuity
0.591,0.1,0.3,1.0,0.017999999999999655,1,0.008999999999999828,0.5736370878723032,2.261104519006021e-15,6.591949208711867e-14,6.938893903907228e-14,signed_mass_proxy from M-point component continuity
0.592,0.1,0.3,1.0,0.015999999999999848,1,0.007999999999999924,0.787621312732282,5.731410934317257e-15,4.5102810375396984e-14,3.122502256758253e-14,signed_mass_proxy from M-point component continuity
0.593,0.1,0.3,1.0,0.013999999999999652,1,0.006999999999999826,0.7782100183414032,3.119250027148308e-15,4.163336342344337e-14,1.0408340855860843e-14,signed_mass_proxy from M-point component continuity
0.594,0.1,0.3,1.0,0.011999999999999872,1,0.005999999999999936,0.4225616204677618,4.983163026090996e-15,4.5102810375396984e-14,3.469446951953614e-14,signed_mass_proxy from M-point component continuity
0.595,0.1,0.3,1.0,0.009999999999999842,1,0.004999999999999921,0.8336306862449804,2.2303127437419957e-15,6.938893903907228e-15,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
0.596,0.1,0.3,1.0,0.007999999999999452,1,0.003999999999999726,0.9623159958703696,1.5035088077322763e-14,2.7755575615628914e-14,3.122502256758253e-14,signed_mass_proxy from M-point component continuity
0.597,0.1,0.3,1.0,0.005999999999999506,1,0.002999999999999753,0.9616241576576988,2.4715745307790816e-14,3.122502256758253e-14,1.0408340855860843e-14,signed_mass_proxy from M-point component continuity
0.598,0.1,0.3,1.0,0.0039999999999997815,1,0.0019999999999998908,0.6334966301369608,4.2426470760561816e-15,6.938893903907228e-15,4.163336342344337e-14,signed_mass_proxy from M-point component continuity
