v,lm,t,w,Nk,gap,C_up,C_down,C_total,C_spin,rounded_C_up,rounded_C_down,rounded_C_spin,reliability,comment
0.55,0.1,0.3,1.0,31,0.09999999999999984,6.184411880623505e-17,2.650462234552931e-16,3.2689034226152815e-16,-1.0160105232452901e-16,0,0,0,reliable,Spin Chern converges to integers across Nk.
0.55,0.1,0.3,1.0,51,0.09999999999999984,-3.8873446106776316e-16,4.770832022195276e-16,8.834874115176441e-17,-4.3290883164364537e-16,0,0,0,reliable,Spin Chern converges to integers across Nk.
0.55,0.1,0.3,1.0,81,0.09999999999999984,-8.834874115176436e-17,3.533949646070574e-17,-5.300924469105862e-17,-6.184411880623505e-17,0,0,0,reliable,Spin Chern converges to integers across Nk.
0.55,0.1,0.3,1.0,101,0.09999999999999984,3.533949646070574e-17,2.5621134934011665e-16,2.9155084580082237e-16,-1.1043592643970545e-16,0,0,0,reliable,Spin Chern converges to integers across Nk.
0.58,0.1,0.3,1.0,31,0.04000000000000006,5.300924469105861e-17,4.0640420929811603e-16,4.594134539891746e-16,-1.7669748230352872e-16,0,0,0,reliable,Spin Chern converges to integers across Nk.
0.58,0.1,0.3,1.0,51,0.04000000000000006,1.4135798584282297e-16,-3.003857199159988e-16,-1.5902773407317583e-16,2.2087185287941088e-16,0,0,0,reliable,Spin Chern converges to integers across Nk.
0.58,0.1,0.3,1.0,81,0.04000000000000006,-2.473764752249402e-16,-3.533949646070574e-17,-2.8271597168564594e-16,-1.0601848938211723e-16,0,0,0,reliable,Spin Chern converges to integers across Nk.
0.58,0.1,0.3,1.0,101,0.04000000000000006,1.678626081883523e-16,-2.0320210464905801e-16,-3.5339496460705724e-17,1.8553235641870515e-16,0,0,0,reliable,Spin Chern converges to integers across Nk.
0.595,0.1,0.3,1.0,31,0.00999999999999987,0.0,-3.533949646070574e-17,-3.533949646070574e-17,1.766974823035287e-17,0,0,0,reliable,Spin Chern converges to integers across Nk.
0.595,0.1,0.3,1.0,51,0.00999999999999987,1.0601848938211722e-16,1.7669748230352872e-16,2.8271597168564594e-16,-3.533949646070575e-17,0,0,0,reliable,Spin Chern converges to integers across Nk.
0.595,0.1,0.3,1.0,81,0.00999999999999987,-1.7669748230352872e-16,2.1203697876423444e-16,3.5339496460705724e-17,-1.9436723053388158e-16,0,0,0,reliable,Spin Chern converges to integers across Nk.
0.595,0.1,0.3,1.0,101,0.00999999999999987,-1.4135798584282297e-16,-4.594134539891746e-16,-6.007714398319976e-16,1.590277340731758e-16,0,0,0,reliable,Spin Chern converges to integers across Nk.
0.6,0.1,0.3,1.0,31,1.3877787807814457e-16,-7.067899292141149e-17,1.4135798584282297e-16,7.067899292141149e-17,-1.0601848938211722e-16,0,0,0,critical_or_gapless,Gap below threshold; invariant at this point is not strictly stable.
0.6,0.1,0.3,1.0,51,1.3877787807814457e-16,-1.7669748230352872e-16,1.4135798584282297e-16,-3.533949646070575e-17,-1.5902773407317586e-16,0,0,0,critical_or_gapless,Gap below threshold; invariant at this point is not strictly stable.
0.6,0.1,0.3,1.0,81,1.3877787807814457e-16,1.0601848938211722e-16,2.8271597168564594e-16,3.8873446106776316e-16,-8.834874115176436e-17,0,0,0,critical_or_gapless,Gap below threshold; invariant at this point is not strictly stable.
0.6,0.1,0.3,1.0,101,1.3877787807814457e-16,2.1203697876423444e-16,7.067899292141149e-17,2.8271597168564594e-16,7.067899292141147e-17,0,0,0,critical_or_gapless,Gap below threshold; invariant at this point is not strictly stable.
0.605,0.1,0.3,1.0,31,0.009999999999999842,0.9999999999999998,-1.0,-2.220446049250313e-16,0.9999999999999999,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.605,0.1,0.3,1.0,51,0.009999999999999842,0.9999999999999998,-0.9999999999999999,-1.1102230246251565e-16,0.9999999999999998,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.605,0.1,0.3,1.0,81,0.009999999999999842,1.0000000000000002,-1.0,2.220446049250313e-16,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.605,0.1,0.3,1.0,101,0.009999999999999842,1.0000000000000002,-1.0,2.220446049250313e-16,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.62,0.1,0.3,1.0,31,0.04000000000000009,1.0000000000000002,-1.0000000000000004,-2.220446049250313e-16,1.0000000000000004,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.62,0.1,0.3,1.0,51,0.04000000000000009,0.9999999999999999,-1.0,-1.1102230246251565e-16,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.62,0.1,0.3,1.0,81,0.04000000000000009,1.0000000000000002,-1.0000000000000007,-4.440892098500626e-16,1.0000000000000004,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.62,0.1,0.3,1.0,101,0.04000000000000009,1.0,-1.0,0.0,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.65,0.1,0.3,1.0,31,0.09999999999999976,1.0000000000000002,-1.0,2.220446049250313e-16,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.65,0.1,0.3,1.0,51,0.09999999999999976,1.0000000000000002,-1.0000000000000002,0.0,1.0000000000000002,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.65,0.1,0.3,1.0,81,0.09999999999999976,1.0000000000000002,-1.0,2.220446049250313e-16,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.65,0.1,0.3,1.0,101,0.09999999999999976,1.0,-0.9999999999999998,2.220446049250313e-16,0.9999999999999999,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.8,0.1,0.3,1.0,31,0.3380050848099047,1.0,-0.9999999999999998,2.220446049250313e-16,0.9999999999999999,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.8,0.1,0.3,1.0,51,0.3380050848099047,1.0,-1.0000000000000002,-2.220446049250313e-16,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.8,0.1,0.3,1.0,81,0.3380050848099047,1.0,-1.0,0.0,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
0.8,0.1,0.3,1.0,101,0.3380050848099047,1.0000000000000002,-1.0,2.220446049250313e-16,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
1.0,0.1,0.3,1.0,31,0.1859942816876157,1.0,-1.0,0.0,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
1.0,0.1,0.3,1.0,51,0.1859942816876157,1.0000000000000002,-1.0000000000000002,0.0,1.0000000000000002,1,-1,1,reliable,Spin Chern converges to integers across Nk.
1.0,0.1,0.3,1.0,81,0.1859942816876157,1.0000000000000002,-0.9999999999999999,3.3306690738754696e-16,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
1.0,0.1,0.3,1.0,101,0.1859942816876157,1.0,-1.0,0.0,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
1.09,0.1,0.3,1.0,31,0.005994281687616551,-1.0,1.0000000000000002,2.220446049250313e-16,-1.0,1,-1,1,uncertain,Strong Nk dependence; convergence not established.
1.09,0.1,0.3,1.0,51,0.005994281687616551,1.0000000000000002,-1.0000000000000002,0.0,1.0000000000000002,1,-1,1,uncertain,Strong Nk dependence; convergence not established.
