v,alpha,state_index,energy
0.5,0.0,0,-1.7954051617757671
0.5,0.0,1,-1.789063084543289
0.5,0.0,2,-1.7881121849820938
0.5,0.0,3,-1.7820134104530938
0.5,0.0,4,-1.7775554069737212
0.5,0.0,5,-1.7771618487073655
0.5,0.0,6,-1.7721509095872179
0.5,0.0,7,-1.7691846499158017
0.5,0.0,8,-1.7626014345021332
0.5,0.0,9,-1.7623305398752789
0.5,0.0,10,-1.7607693908302746
0.5,0.0,11,-1.7556916794904829
0.5,0.0,12,-1.7537771644054019
0.5,0.0,13,-1.747340827583554
0.5,0.0,14,-1.7444672251532956
0.5,0.0,15,-1.744349253072165
0.5,0.0,16,-1.742094103634302
0.5,0.0,17,-1.7368962279179467
0.5,0.0,18,-1.7354128899578996
0.5,0.0,19,-1.732124761779494
0.5,0.0,20,-1.7258979736665432
0.5,0.0,21,-1.7240381519140242
0.5,0.0,22,-1.7239111994144825
0.5,0.0,23,-1.7217752888332463
0.5,0.0,24,-1.7157164200899326
0.5,0.0,25,-1.715122548336616
0.5,0.0,26,-1.7146662339317136
0.5,0.0,27,-1.7083375094257263
0.5,0.0,28,-1.7032843315558854
0.5,0.0,29,-1.7020889831625174
0.5,0.0,30,-1.7020360938539698
0.5,0.0,31,-1.6993476353860861
0.5,0.0,32,-1.6964226680365193
0.5,0.0,33,-1.693135405423155
0.5,0.0,34,-1.6921471885913764
0.5,0.0,35,-1.6892011489644614
0.5,0.0,36,-1.6839717551110074
0.5,0.0,37,-1.6796715479136601
0.5,0.0,38,-1.6795647722650304
0.5,0.0,39,-1.6791715858661709
0.5,0.0,40,-1.67612452101771
0.5,0.0,41,-1.6753860716595312
0.5,0.0,42,-1.6698388254830177
0.5,0.0,43,-1.6687830941118382
0.5,0.0,44,-1.6687256411110052
0.5,0.0,45,-1.6634182225434697
0.5,0.0,46,-1.6586524795407154
0.5,0.0,47,-1.6575653671646342
0.5,0.0,48,-1.6575119735530879
0.5,0.0,49,-1.654466539393363
0.5,0.0,50,-1.6543788291370878
0.5,0.0,51,-1.6504966891389254
0.5,0.0,52,-1.6471619190585476
0.5,0.0,53,-1.646683435879995
0.5,0.0,54,-1.6448748710065695
0.5,0.0,55,-1.6420220340609433
0.5,0.0,56,-1.6374856170066385
0.5,0.0,57,-1.6366489368621897
0.5,0.0,58,-1.6365210625078594
0.5,0.0,59,-1.6335063711470874
0.5,0.0,60,-1.6314044613811391
0.5,0.0,61,-1.6298153337295034
0.5,0.0,62,-1.6264687719977085
0.5,0.0,63,-1.6249399916755538
0.5,0.0,64,-1.623791333565105
0.5,0.0,65,-1.6202910749568866
0.5,0.0,66,-1.619660370955851
0.5,0.0,67,-1.6173650278881986
0.5,0.0,68,-1.6168332653479163
0.5,0.0,69,-1.6162682521744312
0.5,0.0,70,-1.6127527842981482
0.5,0.0,71,-1.609565146854653
0.5,0.0,72,-1.607658482198575
0.5,0.0,73,-1.6067283011037174
0.5,0.0,74,-1.6038892697231975
0.5,0.0,75,-1.6029330952452108
0.5,0.0,76,-1.6011281894708869
0.5,0.0,77,-1.6000918150884662
0.5,0.0,78,-1.5990949903048588
0.5,0.0,79,-1.5983611391803931
0.5,0.0,80,-1.5958985880319612
0.5,0.0,81,-1.5931078950035054
0.5,0.0,82,-1.5905710761100222
0.5,0.0,83,-1.5902387107309137
0.5,0.0,84,-1.5881617403706296
0.5,0.0,85,-1.5863652160592292
0.5,0.0,86,-1.5851359150956572
0.5,0.0,87,-1.5848955779558693
0.5,0.0,88,-1.5831145899705443
0.5,0.0,89,-1.5828113686555219
0.5,0.0,90,-1.5795784767518788
0.5,0.0,91,-1.578065671191858
0.5,0.0,92,-1.5777495853698316
0.5,0.0,93,-1.5756824237010187
0.5,0.0,94,-1.574288455272331
0.5,0.0,95,-1.5729217294101292
0.5,0.0,96,-1.571530155873111
0.5,0.0,97,-1.570791662145489
0.5,0.0,98,-1.56825783747337
0.5,0.0,99,-1.5680074233650345
0.5,0.0,100,-1.5675414575276043
0.5,0.0,101,-1.5644687348944384
0.5,0.0,102,-1.5643210396491631
0.5,0.0,103,-1.5631007807794455
0.5,0.0,104,-1.5610438666921835
0.5,0.0,105,-1.5604161015434248
0.5,0.0,106,-1.5592380946531226
0.5,0.0,107,-1.5577906590268764
0.5,0.0,108,-1.5577536876364104
0.5,0.0,109,-1.557753507474456
0.5,0.0,110,-1.5549878976653122
0.5,0.0,111,-1.5544223111362376
0.5,0.0,112,-1.5543683963430062
0.5,0.0,113,-1.553027276341413
0.5,0.0,114,-1.5508316224762464
0.5,0.0,115,-1.5508271157963749
0.5,0.0,116,-1.550526913104524
0.5,0.0,117,-1.5476551872176403
0.5,0.0,118,-1.547425234459171
0.5,0.0,119,-1.5471334739198304
0.5,0.0,120,-1.5460181309081475
0.5,0.0,121,-1.5459729403136724
0.5,0.0,122,-1.5459673439525015
0.5,0.0,123,-1.545948829492866
0.5,0.0,124,-1.5430948661073662
0.5,0.0,125,-1.5426973059050078
0.5,0.0,126,-1.5426942254525704
0.5,0.0,127,-1.5417390622961231
0.5,0.0,128,-1.5408777615253781
0.5,0.0,129,-1.5408762991987577
0.5,0.0,130,-1.5393763850836881
0.5,0.0,131,-1.539359729338998
0.5,0.0,132,-1.5371769312737646
0.5,0.0,133,-1.5371368309987397
0.5,0.0,134,-1.5364732665959486
0.5,0.0,135,-1.5364619218703022
0.5,0.0,136,-1.536184145343375
0.5,0.0,137,-1.5343249458017565
0.5,0.0,138,-1.5342542352029296
0.5,0.0,139,-1.5315134734109592
0.5,0.0,140,-1.5315020087603868
0.5,0.0,141,-1.5298345127384474
0.5,0.0,142,-1.5295514367949365
0.5,0.0,143,-1.5295471956420446
0.5,0.0,144,-1.5273044456792269
0.5,0.0,145,-1.5272464898685738
0.5,0.0,146,-1.5264043045174298
0.5,0.0,147,-1.526310089190019
0.5,0.0,148,-1.5234999612334459
0.5,0.0,149,-1.5230726942154043
0.5,0.0,150,-1.5229008147343515
0.5,0.0,151,-1.5208673405648743
0.5,0.0,152,-1.5198597088787442
0.5,0.0,153,-1.5193918532649506
0.5,0.0,154,-1.5163089586034728
0.5,0.0,155,-1.5162478936970427
0.5,0.0,156,-1.515596100817762
0.5,0.0,157,-1.5127664275729367
0.5,0.0,158,-1.5127537407019134
0.5,0.0,159,-1.5110085984398114
0.5,0.0,160,-1.5110004242611328
0.5,0.0,161,-1.510405895747772
0.5,0.0,162,-1.5101377072084996
0.5,0.0,163,-1.5100127409033754
0.5,0.0,164,-1.5079400064867015
0.5,0.0,165,-1.5076487923225295
0.5,0.0,166,-1.5063661127709114
0.5,0.0,167,-1.5008046726655377
0.5,0.0,168,-1.5007359244228535
0.5,0.0,169,-1.499986318445681
0.5,0.0,170,-1.4961061516550118
0.5,0.0,171,-1.4958563254586998
0.5,0.0,172,-1.4938491190219116
0.5,0.0,173,-1.4907605191976343
0.5,0.0,174,-1.490318226564919
0.5,0.0,175,-1.490294944548965
0.5,0.0,176,-1.4900216515154243
0.5,0.0,177,-1.490000214219121
0.5,0.0,178,-1.488533551092984
0.5,0.0,179,-1.4878330949413445
0.5,0.0,180,-1.486684400669187
0.5,0.0,181,-1.4864245541087526
0.5,0.0,182,-1.4849340941742006
0.5,0.0,183,-1.4849217016655127
0.5,0.0,184,-1.479448640258476
0.5,0.0,185,-1.4778473198914739
0.5,0.0,186,-1.4765380160594257
0.5,0.0,187,-1.4759708649825538
0.5,0.0,188,-1.473509564550834
0.5,0.0,189,-1.4721529078880131
0.5,0.0,190,-1.4684832166349586
0.5,0.0,191,-1.4667775062823853
0.5,0.0,192,-1.4661486612609365
0.5,0.0,193,-1.463395632635687
0.5,0.0,194,-1.4630492215541828
0.5,0.0,195,-1.4576122568354763
0.5,0.0,196,-1.4574897021117217
0.5,0.0,197,-1.4567159328228898
0.5,0.0,198,-1.455622656663518
0.5,0.0,199,-1.4544365404007147
0.5,0.0,200,-1.454425847763801
0.5,0.0,201,-1.4540842088522046
0.5,0.0,202,-1.4520658785139764
0.5,0.0,203,-1.452042713221634
0.5,0.0,204,-1.4516514286262576
0.5,0.0,205,-1.4504423584980681
0.5,0.0,206,-1.447327848630365
0.5,0.0,207,-1.4408996150183562
0.5,0.0,208,-1.440350926556942
0.5,0.0,209,-1.438009983027389
0.5,0.0,210,-1.435569432195102
0.5,0.0,211,-1.4344188788972263
0.5,0.0,212,-1.4328171401169272
0.5,0.0,213,-1.4270595608667551
0.5,0.0,214,-1.4246254182569553
0.5,0.0,215,-1.4245433696790304
0.5,0.0,216,-1.4238503030183949
0.5,0.0,217,-1.4209251935340472
0.5,0.0,218,-1.4185493810254184
0.5,0.0,219,-1.4179432640281155
0.5,0.0,220,-1.4166809904340867
0.5,0.0,221,-1.4153135046502583
0.5,0.0,222,-1.414886162903524
0.5,0.0,223,-1.41266548769885
0.5,0.0,224,-1.4126561387941896
0.5,0.0,225,-1.4104353110933132
0.5,0.0,226,-1.4102379428620206
0.5,0.0,227,-1.4071840724058113
0.5,0.0,228,-1.4034448659506826
0.5,0.0,229,-1.4030897783801821
0.5,0.0,230,-1.3957436872191378
0.5,0.0,231,-1.3934456040475531
0.5,0.0,232,-1.392776960330678
0.5,0.0,233,-1.388293247555027
0.5,0.0,234,-1.3829932914976575
0.5,0.0,235,-1.3823088164890878
0.5,0.0,236,-1.380699291747795
0.5,0.0,237,-1.380030092020227
0.5,0.0,238,-1.378863302935371
0.5,0.0,239,-1.373609251236856
0.5,0.0,240,-1.3729031941648913
0.5,0.0,241,-1.3701430406404373
0.5,0.0,242,-1.3696344242264686
0.5,0.0,243,-1.369287973156454
0.5,0.0,244,-1.3678047115024956
0.5,0.0,245,-1.3672990013489337
0.5,0.0,246,-1.3670727472324993
0.5,0.0,247,-1.3656540367291443
0.5,0.0,248,-1.362234695667338
0.5,0.0,249,-1.3583252187981125
0.5,0.0,250,-1.35156212383535
0.5,0.0,251,-1.3470289117060066
0.5,0.0,252,-1.346906719950549
0.5,0.0,253,-1.3395028002398406
0.5,0.0,254,-1.3382895437126137
0.5,0.0,255,-1.3357384639151964
0.5,0.0,256,-1.3313931711830225
0.5,0.0,257,-1.3284789516927296
0.5,0.0,258,-1.3281912385448837
0.5,0.0,259,-1.3274129615554968
0.5,0.0,260,-1.3263108309122404
0.5,0.0,261,-1.322038556739705
0.5,0.0,262,-1.3211744245933623
0.5,0.0,263,-1.319832351511458
0.5,0.0,264,-1.3186792729316064
0.5,0.0,265,-1.3164851559922324
0.5,0.0,266,-1.31632049192359
0.5,0.0,267,-1.3125460343341537
0.5,0.0,268,-1.3088789338439049
0.5,0.0,269,-1.3084442519742103
0.5,0.0,270,-1.2957599161030868
0.5,0.0,271,-1.294000931409292
0.5,0.0,272,-1.2917552020741196
0.5,0.0,273,-1.2880729388694834
0.5,0.0,274,-1.283547859244044
0.5,0.0,275,-1.2832462678904042
0.5,0.0,276,-1.278958970789321
0.5,0.0,277,-1.2783801627132658
0.5,0.0,278,-1.273370896033501
0.5,0.0,279,-1.2683290792148894
0.5,0.0,280,-1.26803816113419
0.5,0.0,281,-1.266263953561905
0.5,0.0,282,-1.2631482893931558
0.5,0.0,283,-1.2613971647025162
0.5,0.0,284,-1.261250694631918
0.5,0.0,285,-1.2608875313004968
0.5,0.0,286,-1.2589083554815905
0.5,0.0,287,-1.2504476768631503
0.5,0.0,288,-1.2499841856625398
0.5,0.0,289,-1.2450539198475896
0.5,0.0,290,-1.2381270738604826
0.5,0.0,291,-1.234891487864131
0.5,0.0,292,-1.2332916957194848
0.5,0.0,293,-1.2239913008734915
0.5,0.0,294,-1.222459984055715
0.5,0.0,295,-1.2141931723979325
0.5,0.0,296,-1.2138651978128794
0.5,0.0,297,-1.2105223642853438
0.5,0.0,298,-1.2080734834945046
0.5,0.0,299,-1.2072177545897482
0.5,0.0,300,-1.204204582147071
0.5,0.0,301,-1.2033701490364366
0.5,0.0,302,-1.2027222375799036
0.5,0.0,303,-1.2024681904757137
0.5,0.0,304,-1.2012569449684956
0.5,0.0,305,-1.2011736937263233
0.5,0.0,306,-1.1970622428231548
0.5,0.0,307,-1.1933410624617822
0.5,0.0,308,-1.1918919520993585
0.5,0.0,309,-1.1891808085170037
0.5,0.0,310,-1.186910471462357
0.5,0.0,311,-1.1850718526730784
0.5,0.0,312,-1.1840690021437308
0.5,0.0,313,-1.1836616049694697
0.5,0.0,314,-1.1794738137514202
0.5,0.0,315,-1.1772264243231247
0.5,0.0,316,-1.1767501396073192
0.5,0.0,317,-1.174858391994319
0.5,0.0,318,-1.173729633724679
0.5,0.0,319,-1.1731086702468674
0.5,0.0,320,-1.1729050384647748
0.5,0.0,321,-1.1710281354150551
0.5,0.0,322,-1.1695834586906573
0.5,0.0,323,-1.1676583131103824
0.5,0.0,324,-1.1642281592809605
0.5,0.0,325,-1.162469237285936
0.5,0.0,326,-1.1612647129495066
0.5,0.0,327,-1.158613583840623
0.5,0.0,328,-1.1583573752816807
0.5,0.0,329,-1.1578671753010814
0.5,0.0,330,-1.1576850691628373
0.5,0.0,331,-1.1576396799521325
0.5,0.0,332,-1.1560353645587371
0.5,0.0,333,-1.152653465725767
0.5,0.0,334,-1.1521845883485622
0.5,0.0,335,-1.1520139786338368
0.5,0.0,336,-1.1516434576924808
0.5,0.0,337,-1.1510924132531795
0.5,0.0,338,-1.1463978459028306
0.5,0.0,339,-1.1450405730495317
0.5,0.0,340,-1.1436453315837403
0.5,0.0,341,-1.1413936666631301
0.5,0.0,342,-1.141322092233799
0.5,0.0,343,-1.1407931982673565
0.5,0.0,344,-1.1405384747379124
0.5,0.0,345,-1.1388672167229512
0.5,0.0,346,-1.1387103170882547
0.5,0.0,347,-1.1379075751409276
0.5,0.0,348,-1.1361638132594212
0.5,0.0,349,-1.1337118665213626
0.5,0.0,350,-1.1336575688878596
0.5,0.0,351,-1.1281152367176086
0.5,0.0,352,-1.12779744443722
0.5,0.0,353,-1.1275711205339183
0.5,0.0,354,-1.1263255404867503
0.5,0.0,355,-1.1251399414760643
0.5,0.0,356,-1.1223632809525503
0.5,0.0,357,-1.1222612468409776
0.5,0.0,358,-1.1219412134017392
0.5,0.0,359,-1.1155814975559135
0.5,0.0,360,-1.1150107345567477
0.5,0.0,361,-1.114087042571297
0.5,0.0,362,-1.1133767271813186
0.5,0.0,363,-1.112237608668156
0.5,0.0,364,-1.1094941411848074
0.5,0.0,365,-1.108540069066929
0.5,0.0,366,-1.1073293803107467
0.5,0.0,367,-1.1066370039837745
0.5,0.0,368,-1.103096996618541
0.5,0.0,369,-1.1009605524557025
0.5,0.0,370,-1.0991740831777945
0.5,0.0,371,-1.0991313906333342
0.5,0.0,372,-1.0968788173516153
0.5,0.0,373,-1.0967392928750617
0.5,0.0,374,-1.09538783476487
0.5,0.0,375,-1.0944764208619502
0.5,0.0,376,-1.0908027073557491
