v,alpha,state_index,rank_by_absE,energy,abs_energy,W_corner,W_edge,W_bulk,IPR
0.5,0.0,49,0,-2.2282880666442177e-06,2.2282880666442177e-06,0.917344937820938,0.08056580938956846,0.0020892527894927713,0.42227111142481155
0.5,0.0,50,1,2.2282880666771033e-06,2.2282880666771033e-06,0.9173449378209311,0.0805658093895744,0.0020892527894935745,0.42227111142480545
0.5,0.0,48,2,-0.00012941535548418787,0.00012941535548418787,0.5217540520850465,0.47408740602028876,0.00415854189466542,0.17650248010562558
0.5,0.0,51,3,0.00012941535548423473,0.00012941535548423473,0.5217540520850474,0.4740874060202873,0.00415854189466631,0.1765024801056253
0.5,0.0,47,4,-0.0038798485817555708,0.0038798485817555708,0.07708239332841779,0.7193612495993484,0.2035563570722338,0.09915342351908324
0.5,0.0,52,5,0.003879848581755942,0.003879848581755942,0.07708239332842888,0.7193612495993379,0.20355635707223363,0.09915342351907884
0.5,0.0,46,6,-0.01281629305134865,0.01281629305134865,0.07067154389559334,0.6961672149719182,0.23316124113248718,0.05992994804128584
0.5,0.0,53,7,0.012816293051349001,0.012816293051349001,0.07067154389559398,0.6961672149719194,0.2331612411324865,0.05992994804128663
0.5,0.25,53,0,0.006151393352971544,0.006151393352971544,0.0641996441978141,0.70490811356822,0.23089224223396412,0.0625683590233164
0.5,0.25,54,1,0.009715206035610217,0.009715206035610217,0.39778421479506143,0.5350509308372049,0.06716485436773421,0.09466056429831773
0.5,0.25,52,2,-0.011811311934438129,0.011811311934438129,0.2105469431244937,0.6510527292357068,0.13840032763979934,0.06961002517919615
0.5,0.25,51,3,-0.011891028084053415,0.011891028084053415,0.027216381052238284,0.7754087884409014,0.19737483050686036,0.09543411070006286
0.5,0.25,50,4,-0.013408401806590534,0.013408401806590534,0.05228562385342729,0.7636836563206945,0.18403071982587776,0.06540911237128999
0.5,0.25,55,5,0.01341563863633077,0.01341563863633077,0.26975579889203494,0.5423084821375557,0.18793571897040964,0.07972281963398573
0.5,0.25,49,6,-0.015398793090855727,0.015398793090855727,0.044497261785226824,0.7701306893078912,0.18537204890688186,0.05497233745114088
0.5,0.25,48,7,-0.0319574953798968,0.0319574953798968,0.142011104696512,0.6847031027197481,0.17328579258373938,0.07031782769772565
0.5,0.5,53,0,0.003894608272150314,0.003894608272150314,0.2756847595663948,0.5433887001456469,0.18092654028795896,0.07211598742204597
0.5,0.5,54,1,0.010288371249913551,0.010288371249913551,0.08177036817104708,0.6829646565258147,0.23526497530313856,0.05704501202247986
0.5,0.5,55,2,0.013268251440718339,0.013268251440718339,0.37631651605752003,0.5328552875613678,0.09082819638111177,0.07289038160673508
0.5,0.5,52,3,-0.026806601267239792,0.026806601267239792,0.0534740316764113,0.7636125513092709,0.18291341701431804,0.08146406306948942
0.5,0.5,51,4,-0.030871547736044273,0.030871547736044273,0.14068561624319129,0.6818074419753576,0.1775069417814516,0.05920383759926538
0.5,0.5,50,5,-0.03733909002891521,0.03733909002891521,0.1931672685250851,0.6411764631926888,0.16565626828222613,0.06512826988365493
0.5,0.5,49,6,-0.04108751894697865,0.04108751894697865,0.06298823633510589,0.75982541000143,0.1771863536634643,0.07013964246995312
0.5,0.5,48,7,-0.04273013283640867,0.04273013283640867,0.032422352041875144,0.7867120153482082,0.18086563260991645,0.05789885473385634
0.5,0.75,53,0,-0.0060984268773814744,0.0060984268773814744,0.2554661608792719,0.5731491064479135,0.17138473267281554,0.0639384742282401
0.5,0.75,54,1,0.014998387431464383,0.014998387431464383,0.08450906179051154,0.6784452099729557,0.23704572823653308,0.054304898765174
0.5,0.75,55,2,0.015798147659171854,0.015798147659171854,0.38409977974898013,0.5141770214353499,0.10172319881566959,0.06458510668733788
0.5,0.75,52,3,-0.030032315519472847,0.030032315519472847,0.18861042191211308,0.636583253775714,0.1748063243121734,0.0564800671207375
0.5,0.75,51,4,-0.045756485510640675,0.045756485510640675,0.1001838698549491,0.7325923523470033,0.16722377779804887,0.07137839374539223
0.5,0.75,50,5,-0.05030453940444668,0.05030453940444668,0.16591101428592026,0.6843058860525875,0.14978309966149222,0.06885128931535842
0.5,0.75,49,6,-0.068015325253237,0.068015325253237,0.12143072660324318,0.7184465283781934,0.16012274501856458,0.08763204939875764
