v,alpha,state_index,energy
0.5,0.0,0,-1.7346617488698965
0.5,0.0,1,-1.658693495871215
0.5,0.0,2,-1.6446394073014854
0.5,0.0,3,-1.5760971014816687
0.5,0.0,4,-1.568137326883614
0.5,0.0,5,-1.5360186575126735
0.5,0.0,6,-1.5194237487487026
0.5,0.0,7,-1.516467382229655
0.5,0.0,8,-1.4949396236256
0.5,0.0,9,-1.4948311503098703
0.5,0.0,10,-1.4515002363462433
0.5,0.0,11,-1.4039957555331797
0.5,0.0,12,-1.3733684571310996
0.5,0.0,13,-1.3624930895286496
0.5,0.0,14,-1.341777680222538
0.5,0.0,15,-1.3357554053221374
0.5,0.0,16,-1.2334447129426707
0.5,0.0,17,-1.1806963213904003
0.5,0.0,18,-1.1566877546575989
0.5,0.0,19,-1.117890830036917
0.5,0.0,20,-1.1058136926941702
0.5,0.0,21,-1.092859639414713
0.5,0.0,22,-1.0749678563615095
0.5,0.0,23,-1.0643272122523229
0.5,0.0,24,-1.0389236121301144
0.5,0.0,25,-0.938657814239903
0.5,0.0,26,-0.9240721941097901
0.5,0.0,27,-0.9214406761862605
0.5,0.0,28,-0.9192604056002007
0.5,0.0,29,-0.8730597770377961
0.5,0.0,30,-0.861062836341841
0.5,0.0,31,-0.8484851478601416
0.5,0.0,32,-0.727386869891843
0.5,0.0,33,-0.7192996402149676
0.5,0.0,34,-0.690077651348382
0.5,0.0,35,-0.6872345954141469
0.5,0.0,36,-0.6870912975211093
0.5,0.0,37,-0.6781333418765566
0.5,0.0,38,-0.6187894874100062
0.5,0.0,39,-0.5586007734133596
0.5,0.0,40,-0.306461163584718
0.5,0.0,41,-0.29668751431616003
0.5,0.0,42,-0.06206706017009893
0.5,0.0,43,-0.025687922136819242
0.5,0.0,44,-0.013849177278165096
0.5,0.0,45,-0.013748429519030894
0.5,0.0,46,-0.01281629305134865
0.5,0.0,47,-0.0038798485817555708
0.5,0.0,48,-0.00012941535548418787
0.5,0.0,49,-2.2282880666442177e-06
0.5,0.0,50,2.2282880666771033e-06
0.5,0.0,51,0.00012941535548423473
0.5,0.0,52,0.003879848581755942
0.5,0.0,53,0.012816293051349001
0.5,0.0,54,0.013748429519031189
0.5,0.0,55,0.013849177278165333
0.5,0.0,56,0.025687922136819193
0.5,0.0,57,0.06206706017009866
0.5,0.0,58,0.2966875143161596
0.5,0.0,59,0.30646116358471726
0.5,0.0,60,0.558600773413359
0.5,0.0,61,0.618789487410006
0.5,0.0,62,0.6781333418765574
0.5,0.0,63,0.6870912975211086
0.5,0.0,64,0.6872345954141472
0.5,0.0,65,0.6900776513483824
0.5,0.0,66,0.7192996402149682
0.5,0.0,67,0.7273868698918431
0.5,0.0,68,0.8484851478601414
0.5,0.0,69,0.8610628363418411
0.5,0.0,70,0.8730597770377959
0.5,0.0,71,0.9192604056002004
0.5,0.0,72,0.9214406761862605
0.5,0.0,73,0.9240721941097896
0.5,0.0,74,0.9386578142399032
0.5,0.0,75,1.0389236121301146
0.5,0.0,76,1.0643272122523224
0.5,0.0,77,1.0749678563615095
0.5,0.0,78,1.0928596394147132
0.5,0.0,79,1.1058136926941702
0.5,0.0,80,1.1178908300369168
0.5,0.0,81,1.1566877546575989
0.5,0.0,82,1.180696321390401
0.5,0.0,83,1.2334447129426704
0.5,0.0,84,1.3357554053221379
0.5,0.0,85,1.3417776802225378
0.5,0.0,86,1.3624930895286504
0.5,0.0,87,1.3733684571310996
0.5,0.0,88,1.4039957555331795
0.5,0.0,89,1.4515002363462433
0.5,0.0,90,1.4948311503098708
0.5,0.0,91,1.4949396236256
0.5,0.0,92,1.5164673822296555
0.5,0.0,93,1.519423748748701
0.5,0.0,94,1.5360186575126746
0.5,0.0,95,1.5681373268836138
0.5,0.0,96,1.5760971014816685
0.5,0.0,97,1.6446394073014852
0.5,0.0,98,1.6586934958712152
0.5,0.0,99,1.734661748869898
0.5,0.25,0,-1.6624668001896592
0.5,0.25,1,-1.5964131129633077
0.5,0.25,2,-1.5777138348086592
0.5,0.25,3,-1.5303007636869523
0.5,0.25,4,-1.5225601355035403
0.5,0.25,5,-1.4917255983877062
0.5,0.25,6,-1.4878176645490129
0.5,0.25,7,-1.4792555063945223
0.5,0.25,8,-1.4756474776118376
0.5,0.25,9,-1.4684910358062995
0.5,0.25,10,-1.411809328516522
0.5,0.25,11,-1.3519569644139444
0.5,0.25,12,-1.351956484884233
0.5,0.25,13,-1.3391009380841608
0.5,0.25,14,-1.3307173622446513
0.5,0.25,15,-1.3184066150784302
0.5,0.25,16,-1.2293876942232471
0.5,0.25,17,-1.1848182005812156
0.5,0.25,18,-1.1790136124136572
0.5,0.25,19,-1.1598932938757132
0.5,0.25,20,-1.1352862420287055
0.5,0.25,21,-1.1224792194418243
