v,alpha,min_abs_energy,n_zero_tol,n_near_window,closest_state_index,closest_state_energy
0.5,0.0,2.2282880666442177e-06,0,4,49,-2.2282880666442177e-06
0.5,0.25,0.006151393352971544,0,0,53,0.006151393352971544
0.5,0.5,0.003894608272150314,0,0,53,0.003894608272150314
0.5,0.75,0.0060984268773814744,0,0,53,-0.0060984268773814744
0.5,1.0,0.016475724407005773,0,0,54,0.016475724407005773
0.6,0.0,8.393943634327854e-05,0,2,50,8.393943634327854e-05
0.6,0.25,0.00239846910329908,0,0,50,0.00239846910329908
0.6,0.5,0.006523985206841026,0,0,53,-0.006523985206841026
0.6,0.75,0.008569791631726553,0,0,54,0.008569791631726553
0.6,1.0,0.005536270880565183,0,0,54,0.005536270880565183
0.7,0.0,0.0010171387668090391,0,0,50,0.0010171387668090391
0.7,0.25,0.014589614865742713,0,0,50,-0.014589614865742713
0.7,0.5,0.011089828707977785,0,0,51,0.011089828707977785
0.7,0.75,0.004538479633656247,0,0,54,-0.004538479633656247
0.7,1.0,0.007008395863191172,0,0,54,0.007008395863191172
0.8,0.0,0.006291006959812129,0,0,49,-0.006291006959812129
0.8,0.25,0.04092914818645234,0,0,51,0.04092914818645234
0.8,0.5,0.042506988606226905,0,0,51,0.042506988606226905
0.8,0.75,0.027126416999082862,0,0,51,0.027126416999082862
0.8,1.0,0.0018155332372999607,0,0,53,0.0018155332372999607
