point_id,special_rank,special_score,v,t,lm,w,bott_size,bott_index
v_0p90_t_0p50_lm_0p20,1,3639.8810120428107,0.9,0.5,0.2,1.1,12,-0.0
v_1p10_t_0p50_lm_0p20,2,1601.7740305364464,1.1,0.5,0.2,0.8999999999999999,12,-0.0
v_1p30_t_0p50_lm_0p00,3,698.6732280944523,1.3,0.5,0.0,0.7,12,-0.0
v_1p20_t_0p50_lm_0p20,4,536.1530025821315,1.2,0.5,0.2,0.8,12,0.0
v_0p40_t_0p50_lm_0p30,5,503.0245203858899,0.4,0.5,0.3,1.6,12,0.0
v_0p10_t_0p50_lm_0p20,6,398.76950741359013,0.1,0.5,0.2,1.9,12,-0.0
v_1p20_t_0p50_lm_0p10,7,254.52272352882014,1.2,0.5,0.1,0.8,12,0.0
v_1p20_t_0p50_lm_0p00,8,240.06454777587695,1.2,0.5,0.0,0.8,12,0.0
v_1p10_t_0p50_lm_0p10,9,184.93242371743688,1.1,0.5,0.1,0.8999999999999999,12,-0.0
v_0p40_t_0p50_lm_0p10,10,161.112215808525,0.4,0.5,0.1,1.6,12,0.0
v_1p10_t_0p50_lm_0p00,11,149.54060253008316,1.1,0.5,0.0,0.8999999999999999,12,-0.0
v_1p20_t_0p50_lm_0p30,12,147.24788223069194,1.2,0.5,0.3,0.8,12,0.0
v_1p10_t_0p50_lm_0p40,13,135.73436419814848,1.1,0.5,0.4,0.8999999999999999,12,-0.0
v_0p60_t_0p50_lm_0p20,14,126.1662217801202,0.6,0.5,0.2,1.4,12,0.0
v_0p30_t_0p50_lm_0p30,15,123.08739034212766,0.3,0.5,0.3,1.7,12,-0.0
v_1p30_t_0p50_lm_0p10,16,121.76747422253446,1.3,0.5,0.1,0.7,12,0.0
v_1p30_t_0p50_lm_0p20,17,117.65441416422401,1.3,0.5,0.2,0.7,12,0.0
v_0p60_t_0p50_lm_0p30,18,113.58961508743396,0.6,0.5,0.3,1.4,12,-0.0
v_1p30_t_0p50_lm_0p30,19,111.00940792474944,1.3,0.5,0.3,0.7,12,0.0
v_1p00_t_0p50_lm_0p00,20,110.59939564875452,1.0,0.5,0.0,1.0,12,-0.0
