point_id,special_rank,special_score,v,t,lm,w,size,min_abs_energy,count_absE_le_0p02,count_absE_le_0p05,near_zero_gap_estimate
v_0p90_t_0p50_lm_0p20,1,3639.8810120428107,0.9,0.5,0.2,1.1,12,0.00859655396906409,4,8,0.023404152880982895
v_0p90_t_0p50_lm_0p20,1,3639.8810120428107,0.9,0.5,0.2,1.1,16,0.005635109936104912,4,10,0.01791550343343623
v_0p90_t_0p50_lm_0p20,1,3639.8810120428107,0.9,0.5,0.2,1.1,20,2.2081922503957966e-05,6,14,0.01382288448123618
v_1p10_t_0p50_lm_0p20,2,1601.7740305364464,1.1,0.5,0.2,0.8999999999999999,12,0.009190483751904593,6,16,0.02228463272607053
v_1p10_t_0p50_lm_0p20,2,1601.7740305364464,1.1,0.5,0.2,0.8999999999999999,16,0.003736290745320808,6,50,0.007663826377858996
v_1p10_t_0p50_lm_0p20,2,1601.7740305364464,1.1,0.5,0.2,0.8999999999999999,20,6.07960253849625e-05,42,72,0.0005401514737864105
v_1p30_t_0p50_lm_0p00,3,698.6732280944523,1.3,0.5,0.0,0.7,12,0.005821061003249975,6,22,0.021673121857927094
v_1p30_t_0p50_lm_0p00,3,698.6732280944523,1.3,0.5,0.0,0.7,16,0.0001396719960929485,14,30,0.0020975969836270667
v_1p30_t_0p50_lm_0p00,3,698.6732280944523,1.3,0.5,0.0,0.7,20,0.00013532055488310577,20,54,0.015302276554762071
v_1p20_t_0p50_lm_0p20,4,536.1530025821315,1.2,0.5,0.2,0.8,12,0.0003724781275780549,30,48,0.002002328431296034
v_1p20_t_0p50_lm_0p20,4,536.1530025821315,1.2,0.5,0.2,0.8,16,0.00017851499367141675,20,92,0.0011756860803019706
v_1p20_t_0p50_lm_0p20,4,536.1530025821315,1.2,0.5,0.2,0.8,20,0.0003868524694826965,56,96,0.002040073428868071
v_0p40_t_0p50_lm_0p30,5,503.0245203858899,0.4,0.5,0.3,1.6,12,0.007094342565517026,2,8,0.031227360595016948
v_0p40_t_0p50_lm_0p30,5,503.0245203858899,0.4,0.5,0.3,1.6,16,0.008249905810940214,4,12,0.020675068583352132
