point_id,special_rank,special_score,v,t,lm,w,size,min_abs_energy,count_absE_le_0p02,count_absE_le_0p05,near_zero_gap_estimate
v_0p90_t_0p50_lm_0p20,1,3639.8810120428107,0.9,0.5,0.2,1.1,12,0.00859655396906409,4,8,0.02340415288098289
v_0p90_t_0p50_lm_0p20,1,3639.8810120428107,0.9,0.5,0.2,1.1,16,0.0056351099361049125,4,10,0.017915503433436224
v_0p90_t_0p50_lm_0p20,1,3639.8810120428107,0.9,0.5,0.2,1.1,20,2.208192250395803e-05,6,14,0.01382288448123619
v_1p10_t_0p50_lm_0p20,2,1601.7740305364464,1.1,0.5,0.2,0.8999999999999999,12,0.00919048375190459,6,16,0.022284632726070557
v_1p10_t_0p50_lm_0p20,2,1601.7740305364464,1.1,0.5,0.2,0.8999999999999999,16,0.0037362907453208066,6,50,0.0076638263778589935
v_1p10_t_0p50_lm_0p20,2,1601.7740305364464,1.1,0.5,0.2,0.8999999999999999,20,6.079602538496239e-05,42,72,0.0005401514737864105
v_1p30_t_0p50_lm_0p00,3,698.6732280944523,1.3,0.5,0.0,0.7,12,0.005821061003249969,6,22,0.02167312185792708
v_1p30_t_0p50_lm_0p00,3,698.6732280944523,1.3,0.5,0.0,0.7,16,0.00013967199609294861,14,30,0.0020975969836270715
v_1p30_t_0p50_lm_0p00,3,698.6732280944523,1.3,0.5,0.0,0.7,20,0.00013532055488310577,20,54,0.015302276554762122
v_1p20_t_0p50_lm_0p20,4,536.1530025821315,1.2,0.5,0.2,0.8,12,0.00037247812757805384,30,48,0.0020023284312960317
v_1p20_t_0p50_lm_0p20,4,536.1530025821315,1.2,0.5,0.2,0.8,16,0.00017851499367141677,20,92,0.0011756860803019702
v_1p20_t_0p50_lm_0p20,4,536.1530025821315,1.2,0.5,0.2,0.8,20,0.0003868524694826968,56,96,0.002040073428868065
v_0p40_t_0p50_lm_0p30,5,503.0245203858899,0.4,0.5,0.3,1.6,12,0.007094342565517019,2,8,0.03122736059501691
v_0p40_t_0p50_lm_0p30,5,503.0245203858899,0.4,0.5,0.3,1.6,16,0.008249905810940225,4,12,0.020675068583352135
v_0p40_t_0p50_lm_0p30,5,503.0245203858899,0.4,0.5,0.3,1.6,20,0.00016812516855226642,4,14,0.017283879445890923
v_0p10_t_0p50_lm_0p20,6,398.76950741359013,0.1,0.5,0.2,1.9,12,0.007803369980220773,2,12,0.040141613159378114
v_0p10_t_0p50_lm_0p20,6,398.76950741359013,0.1,0.5,0.2,1.9,16,0.0029426349768353114,6,14,0.029072784309240225
v_0p10_t_0p50_lm_0p20,6,398.76950741359013,0.1,0.5,0.2,1.9,20,0.00022019897770686106,6,18,0.02284267467674875
v_1p20_t_0p50_lm_0p10,7,254.52272352882014,1.2,0.5,0.1,0.8,12,0.0016654746488461156,6,34,0.014922664856604862
v_1p20_t_0p50_lm_0p10,7,254.52272352882014,1.2,0.5,0.1,0.8,16,0.0027029016557285975,14,62,0.012674906942892927
v_1p20_t_0p50_lm_0p10,7,254.52272352882014,1.2,0.5,0.1,0.8,20,0.0019279302626976774,50,78,0.00598219307731348
v_1p20_t_0p50_lm_0p00,8,240.06454777587695,1.2,0.5,0.0,0.8,12,0.013376588714351179,4,30,0.03862936854683191
v_1p20_t_0p50_lm_0p00,8,240.06454777587695,1.2,0.5,0.0,0.8,16,0.0002773852319002613,18,58,0.008803728896248014
v_1p20_t_0p50_lm_0p00,8,240.06454777587695,1.2,0.5,0.0,0.8,20,0.0020906367160338554,46,74,0.004687208216413583
v_1p10_t_0p50_lm_0p10,9,184.93242371743688,1.1,0.5,0.1,0.8999999999999999,12,0.006413485537146198,10,20,0.01289783851626081
v_1p10_t_0p50_lm_0p10,9,184.93242371743688,1.1,0.5,0.1,0.8999999999999999,16,1.8545180128241546e-05,58,66,7.696746855880887e-05
v_1p10_t_0p50_lm_0p10,9,184.93242371743688,1.1,0.5,0.1,0.8999999999999999,20,0.0027854063154901035,20,96,0.009658110618164843
v_0p40_t_0p50_lm_0p10,10,161.112215808525,0.4,0.5,0.1,1.6,12,0.024450058813796836,0,14,0.05691359778793498
v_0p40_t_0p50_lm_0p10,10,161.112215808525,0.4,0.5,0.1,1.6,16,0.005825648922195312,8,16,0.03934486128051039
v_0p40_t_0p50_lm_0p10,10,161.112215808525,0.4,0.5,0.1,1.6,20,0.000713085173781079,8,20,0.00671177129420962
v_1p10_t_0p50_lm_0p00,11,149.54060253008316,1.1,0.5,0.0,0.8999999999999999,12,0.0005844317363696913,6,22,0.029473529530567075
v_1p10_t_0p50_lm_0p00,11,149.54060253008316,1.1,0.5,0.0,0.8999999999999999,16,0.005996521629837224,32,50,0.026697067376145234
v_1p10_t_0p50_lm_0p00,11,149.54060253008316,1.1,0.5,0.0,0.8999999999999999,20,0.0012973907073127436,12,54,0.015451360047680067
v_1p20_t_0p50_lm_0p30,12,147.24788223069194,1.2,0.5,0.3,0.8,12,0.0006933858522585757,16,26,0.004008633998859587
v_1p20_t_0p50_lm_0p30,12,147.24788223069194,1.2,0.5,0.3,0.8,16,0.0022088308102904564,16,36,0.010951316781525444
v_1p20_t_0p50_lm_0p30,12,147.24788223069194,1.2,0.5,0.3,0.8,20,0.002806568560987114,18,64,0.006157321548527378
v_1p10_t_0p50_lm_0p40,13,135.73436419814848,1.1,0.5,0.4,0.8999999999999999,12,0.00746105036692964,4,10,0.015340019087078546
v_1p10_t_0p50_lm_0p40,13,135.73436419814848,1.1,0.5,0.4,0.8999999999999999,16,0.0021788717617396034,6,14,0.014448257067574993
v_1p10_t_0p50_lm_0p40,13,135.73436419814848,1.1,0.5,0.4,0.8999999999999999,20,0.0008191098663038593,6,18,0.011812573817597026
v_0p60_t_0p50_lm_0p20,14,126.1662217801202,0.6,0.5,0.2,1.4,12,0.00013894464333180493,6,12,0.01117148270721598
v_0p60_t_0p50_lm_0p20,14,126.1662217801202,0.6,0.5,0.2,1.4,16,0.008318283516604928,6,14,0.01962093616285164
v_0p60_t_0p50_lm_0p20,14,126.1662217801202,0.6,0.5,0.2,1.4,20,0.0009255738628869045,6,20,0.012650935256215579
v_0p30_t_0p50_lm_0p30,15,123.08739034212766,0.3,0.5,0.3,1.7,12,0.0007565329356083395,6,8,0.013849633950069436
v_0p30_t_0p50_lm_0p30,15,123.08739034212766,0.3,0.5,0.3,1.7,16,0.0008639103985045098,6,10,0.020844106885637124
v_0p30_t_0p50_lm_0p30,15,123.08739034212766,0.3,0.5,0.3,1.7,20,0.0009391220867145855,6,16,0.008682317443360184
v_1p30_t_0p50_lm_0p10,16,121.76747422253446,1.3,0.5,0.1,0.7,12,0.005122094497992108,10,22,0.016693431785981646
v_1p30_t_0p50_lm_0p10,16,121.76747422253446,1.3,0.5,0.1,0.7,16,0.007627975375156533,14,30,0.01633290816430815
v_1p30_t_0p50_lm_0p10,16,121.76747422253446,1.3,0.5,0.1,0.7,20,0.00569976548533067,18,58,0.012679379939208334
v_1p30_t_0p50_lm_0p20,17,117.65441416422401,1.3,0.5,0.2,0.7,12,0.0040119158375468535,8,18,0.014092520848090706
v_1p30_t_0p50_lm_0p20,17,117.65441416422401,1.3,0.5,0.2,0.7,16,0.0015885366833939558,12,32,0.00492169090040432
v_1p30_t_0p50_lm_0p20,17,117.65441416422401,1.3,0.5,0.2,0.7,20,0.0058632097872459545,18,54,0.011975366109975447
v_0p60_t_0p50_lm_0p30,18,113.58961508743396,0.6,0.5,0.3,1.4,12,0.014263324089350993,4,10,0.03078406343254273
v_0p60_t_0p50_lm_0p30,18,113.58961508743396,0.6,0.5,0.3,1.4,16,0.002644735379888938,6,12,0.0090026200092351
v_0p60_t_0p50_lm_0p30,18,113.58961508743396,0.6,0.5,0.3,1.4,20,0.0011574278907822053,10,16,0.01725710055858183
v_1p30_t_0p50_lm_0p30,19,111.00940792474944,1.3,0.5,0.3,0.7,12,0.00983733395871363,6,12,0.02314854258874282
v_1p30_t_0p50_lm_0p30,19,111.00940792474944,1.3,0.5,0.3,0.7,16,0.0014188745432886433,8,28,0.022884226713358925
v_1p30_t_0p50_lm_0p30,19,111.00940792474944,1.3,0.5,0.3,0.7,20,0.0031571647328259853,14,44,0.008994027440953454
v_1p00_t_0p50_lm_0p00,20,110.59939564875452,1.0,0.5,0.0,1.0,12,0.019766777772954637,4,6,0.0582614106534694
v_1p00_t_0p50_lm_0p00,20,110.59939564875452,1.0,0.5,0.0,1.0,16,0.01287264759789241,4,20,0.0341525530136015
v_1p00_t_0p50_lm_0p00,20,110.59939564875452,1.0,0.5,0.0,1.0,20,0.008968898432020153,6,84,0.022389780194834098
