v_group,point_id,v,t,lm,w,status,band_path,ribbon_path
v_0p00,v_0p00_t_0p50_lm_0p00,0.0,0.5,0.0,2.0,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p00/v_0p00_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p00/v_0p00_t_0p50_lm_0p00/ribbon.png
v_0p00,v_0p00_t_0p50_lm_0p10,0.0,0.5,0.1,2.0,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p00/v_0p00_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p00/v_0p00_t_0p50_lm_0p10/ribbon.png
v_0p00,v_0p00_t_0p50_lm_0p20,0.0,0.5,0.2,2.0,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p00/v_0p00_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p00/v_0p00_t_0p50_lm_0p20/ribbon.png
v_0p00,v_0p00_t_0p50_lm_0p30,0.0,0.5,0.3,2.0,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p00/v_0p00_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p00/v_0p00_t_0p50_lm_0p30/ribbon.png
v_0p00,v_0p00_t_0p50_lm_0p40,0.0,0.5,0.4,2.0,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p00/v_0p00_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p00/v_0p00_t_0p50_lm_0p40/ribbon.png
v_0p00,v_0p00_t_0p50_lm_0p50,0.0,0.5,0.5,2.0,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p00/v_0p00_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p00/v_0p00_t_0p50_lm_0p50/ribbon.png
v_0p10,v_0p10_t_0p50_lm_0p00,0.1,0.5,0.0,1.9,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p10/v_0p10_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p10/v_0p10_t_0p50_lm_0p00/ribbon.png
v_0p10,v_0p10_t_0p50_lm_0p10,0.1,0.5,0.1,1.9,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p10/v_0p10_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p10/v_0p10_t_0p50_lm_0p10/ribbon.png
v_0p10,v_0p10_t_0p50_lm_0p20,0.1,0.5,0.2,1.9,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p10/v_0p10_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p10/v_0p10_t_0p50_lm_0p20/ribbon.png
v_0p10,v_0p10_t_0p50_lm_0p30,0.1,0.5,0.3,1.9,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p10/v_0p10_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p10/v_0p10_t_0p50_lm_0p30/ribbon.png
v_0p10,v_0p10_t_0p50_lm_0p40,0.1,0.5,0.4,1.9,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p10/v_0p10_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p10/v_0p10_t_0p50_lm_0p40/ribbon.png
v_0p10,v_0p10_t_0p50_lm_0p50,0.1,0.5,0.5,1.9,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p10/v_0p10_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p10/v_0p10_t_0p50_lm_0p50/ribbon.png
v_0p20,v_0p20_t_0p50_lm_0p00,0.2,0.5,0.0,1.8,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p20/v_0p20_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p20/v_0p20_t_0p50_lm_0p00/ribbon.png
v_0p20,v_0p20_t_0p50_lm_0p10,0.2,0.5,0.1,1.8,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p20/v_0p20_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p20/v_0p20_t_0p50_lm_0p10/ribbon.png
v_0p20,v_0p20_t_0p50_lm_0p20,0.2,0.5,0.2,1.8,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p20/v_0p20_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p20/v_0p20_t_0p50_lm_0p20/ribbon.png
v_0p20,v_0p20_t_0p50_lm_0p30,0.2,0.5,0.3,1.8,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p20/v_0p20_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p20/v_0p20_t_0p50_lm_0p30/ribbon.png
v_0p20,v_0p20_t_0p50_lm_0p40,0.2,0.5,0.4,1.8,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p20/v_0p20_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p20/v_0p20_t_0p50_lm_0p40/ribbon.png
v_0p20,v_0p20_t_0p50_lm_0p50,0.2,0.5,0.5,1.8,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p20/v_0p20_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p20/v_0p20_t_0p50_lm_0p50/ribbon.png
v_0p30,v_0p30_t_0p50_lm_0p00,0.3,0.5,0.0,1.7,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p30/v_0p30_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p30/v_0p30_t_0p50_lm_0p00/ribbon.png
v_0p30,v_0p30_t_0p50_lm_0p10,0.3,0.5,0.1,1.7,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p30/v_0p30_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p30/v_0p30_t_0p50_lm_0p10/ribbon.png
v_0p30,v_0p30_t_0p50_lm_0p20,0.3,0.5,0.2,1.7,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_0p30/v_0p30_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_0p30/v_0p30_t_0p50_lm_0p20/ribbon.png
