point_id,v,t,lm,w,obc_nx,obc_ny,eigvals_count,highlight_window,highlight_count,status,detail,obc_spectrum_path
v_0p00_t_0p50_lm_0p00,0.0,0.5,0.0,2.0,20,20,3200,0.1088483052263832,48,ok,,outputs/first_stage_band_ribbon/points/v_0p00_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_0p00_t_0p50_lm_0p10,0.0,0.5,0.1,2.0,20,20,3200,0.08950504057065042,36,ok,,outputs/first_stage_band_ribbon/points/v_0p00_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_0p00_t_0p50_lm_0p20,0.0,0.5,0.2,2.0,20,20,3200,0.0689689674512027,28,ok,,outputs/first_stage_band_ribbon/points/v_0p00_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_0p00_t_0p50_lm_0p30,0.0,0.5,0.3,2.0,20,20,3200,0.06742031973724602,24,ok,,outputs/first_stage_band_ribbon/points/v_0p00_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_0p00_t_0p50_lm_0p40,0.0,0.5,0.4,2.0,20,20,3200,0.053713384067486936,16,ok,,outputs/first_stage_band_ribbon/points/v_0p00_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_0p00_t_0p50_lm_0p50,0.0,0.5,0.5,2.0,20,20,3200,0.11069656448544646,24,ok,,outputs/first_stage_band_ribbon/points/v_0p00_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_0p10_t_0p50_lm_0p00,0.1,0.5,0.0,1.9,20,20,3200,0.0336000573517069,16,ok,,outputs/first_stage_band_ribbon/points/v_0p10_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_0p10_t_0p50_lm_0p10,0.1,0.5,0.1,1.9,20,20,3200,0.02,8,ok,,outputs/first_stage_band_ribbon/points/v_0p10_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_0p10_t_0p50_lm_0p20,0.1,0.5,0.2,1.9,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p10_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_0p10_t_0p50_lm_0p30,0.1,0.5,0.3,1.9,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p10_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_0p10_t_0p50_lm_0p40,0.1,0.5,0.4,1.9,20,20,3200,0.021753896844184165,6,ok,,outputs/first_stage_band_ribbon/points/v_0p10_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_0p10_t_0p50_lm_0p50,0.1,0.5,0.5,1.9,20,20,3200,0.1034821048592876,24,ok,,outputs/first_stage_band_ribbon/points/v_0p10_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_0p20_t_0p50_lm_0p00,0.2,0.5,0.0,1.8,20,20,3200,0.057424541684185273,24,ok,,outputs/first_stage_band_ribbon/points/v_0p20_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_0p20_t_0p50_lm_0p10,0.2,0.5,0.1,1.8,20,20,3200,0.02,8,ok,,outputs/first_stage_band_ribbon/points/v_0p20_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_0p20_t_0p50_lm_0p20,0.2,0.5,0.2,1.8,20,20,3200,0.02,8,ok,,outputs/first_stage_band_ribbon/points/v_0p20_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_0p20_t_0p50_lm_0p30,0.2,0.5,0.3,1.8,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p20_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
