point_id,v,t,lm,w,classification,classification_cn,lower_bulk_edge,upper_bulk_edge,gap_width,in_gap_edge_state_count,ky_coverage,touches_lower,touches_upper,span_ratio,reason
v_0p00_t_0p50_lm_0p00,0.0,0.5,0.0,2.0,isolated_midgap_state,能隙中间孤立态,-1.0042463589372759,1.0042463589372763,2.008492717874552,484,1.0,0,0,0.2237945593643193,in_gap_edge_states_exist_but_not_connecting_both_edges
v_0p00_t_0p50_lm_0p10,0.0,0.5,0.1,2.0,isolated_midgap_state,能隙中间孤立态,-1.0043244495268193,1.004324449526819,2.0086488990536386,484,1.0,0,0,0.23181110497481913,in_gap_edge_states_exist_but_not_connecting_both_edges
v_0p00_t_0p50_lm_0p20,0.0,0.5,0.2,2.0,isolated_midgap_state,能隙中间孤立态,-1.0045634472880098,1.0045634472880103,2.00912689457602,484,1.0,0,0,0.25573477230704694,in_gap_edge_states_exist_but_not_connecting_both_edges
v_0p00_t_0p50_lm_0p30,0.0,0.5,0.3,2.0,isolated_midgap_state,能隙中间孤立态,-1.0049782515858459,1.004978251585847,2.0099565031716926,484,1.0,0,0,0.2946274696576324,in_gap_edge_states_exist_but_not_connecting_both_edges
v_0p00_t_0p50_lm_0p40,0.0,0.5,0.4,2.0,isolated_midgap_state,能隙中间孤立态,-1.0055963085488904,1.0055963085488913,2.0111926170977816,484,1.0,0,0,0.34710528979659966,in_gap_edge_states_exist_but_not_connecting_both_edges
v_0p00_t_0p50_lm_0p50,0.0,0.5,0.5,2.0,isolated_midgap_state,能隙中间孤立态,-1.0064623642796355,1.0064623642796353,2.0129247285592706,484,1.0,0,0,0.4115539508221593,in_gap_edge_states_exist_but_not_connecting_both_edges
v_0p10_t_0p50_lm_0p00,0.1,0.5,0.0,1.9,isolated_midgap_state,能隙中间孤立态,-0.8056526922707528,1.0032076600149418,1.8088603522856945,484,1.0,0,0,0.2594435689988693,in_gap_edge_states_exist_but_not_connecting_both_edges
v_0p10_t_0p50_lm_0p10,0.1,0.5,0.1,1.9,isolated_midgap_state,能隙中间孤立态,-0.8057636006942762,1.0032773261148795,1.8090409268091556,484,1.0,0,0,0.26872888990277705,in_gap_edge_states_exist_but_not_connecting_both_edges
v_0p10_t_0p50_lm_0p20,0.1,0.5,0.2,1.9,isolated_midgap_state,能隙中间孤立态,-0.8061053813298094,1.003490527072692,1.8095959084025013,484,1.0,0,0,0.29619417644773643,in_gap_edge_states_exist_but_not_connecting_both_edges
v_0p10_t_0p50_lm_0p30,0.1,0.5,0.3,1.9,isolated_midgap_state,能隙中间孤立态,-0.806707073631852,1.0038605114240935,1.8105675850559455,484,1.0,0,0,0.3407628905980334,in_gap_edge_states_exist_but_not_connecting_both_edges
