point_id,v,t,lm,w,band_lower_edge,band_upper_edge,band_window_width,classification,has_edge_state,has_isolated_state,has_connecting_edge_branch,in_window_edge_state_count,ky_coverage,touches_lower,touches_upper,span_ratio,reason
v_0p00_t_0p50_lm_0p00,0.0,0.5,0.0,2.0,-2.000000000000001,-2.000000000000004,-3.1086244689504383e-15,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_0p00_t_0p50_lm_0p10,0.0,0.5,0.1,2.0,-2.2,-2.009975124224179,0.1900248757758214,connecting_edge_branch,1,0,1,140,0.5785123966942148,1,1,0.9448263215845857,touches_both_band_edges_with_large_span
v_0p00_t_0p50_lm_0p20,0.0,0.5,0.2,2.0,-2.236067977499789,-2.039607805437114,0.19646017206267485,connecting_edge_branch,1,0,1,132,0.5454545454545454,1,1,0.9531730086963845,touches_both_band_edges_with_large_span
v_0p00_t_0p50_lm_0p30,0.0,0.5,0.3,2.0,-2.236067977499788,-2.088061301782111,0.148006675717677,connecting_edge_branch,1,0,1,72,0.2975206611570248,1,1,0.8374099187206517,touches_both_band_edges_with_large_span
v_0p00_t_0p50_lm_0p40,0.0,0.5,0.4,2.0,-2.2360679774997885,-2.1540659228538015,0.08200205464598698,isolated_midgap_state,1,1,0,24,0.09917355371900827,1,0,0.5323771077205248,edge_states_exist_but_not_connecting_band2_and_band3
v_0p00_t_0p50_lm_0p50,0.0,0.5,0.5,2.0,-2.23606797749979,-2.23606797749979,0.0,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_0p10_t_0p50_lm_0p00,0.1,0.5,0.0,1.9,-2.000000000000001,-2.0000000000000036,-2.6645352591003757e-15,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_0p10_t_0p50_lm_0p10,0.1,0.5,0.1,1.9,-2.047091055358388,-2.0104973174542806,0.03659373790410747,isolated_midgap_state,1,1,0,52,0.21487603305785125,1,1,0.8691309157193504,edge_states_exist_but_not_connecting_band2_and_band3
v_0p10_t_0p50_lm_0p20,0.1,0.5,0.2,1.9,-2.0470910553583885,-2.04164878389476,0.005442271463628412,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_0p10_t_0p50_lm_0p30,0.1,0.5,0.3,1.9,-2.092485884517128,-2.04709105535839,0.04539482915873805,isolated_midgap_state,1,1,0,4,0.01652892561983471,1,0,1.9565629745941224e-14,edge_states_exist_but_not_connecting_band2_and_band3
v_0p10_t_0p50_lm_0p40,0.1,0.5,0.4,1.9,-2.1615528128088295,-2.0470910553583903,0.11446175745043918,isolated_midgap_state,1,1,0,36,0.1487603305785124,1,0,0.6063522122422129,edge_states_exist_but_not_connecting_band2_and_band3
v_0p10_t_0p50_lm_0p50,0.1,0.5,0.5,1.9,-2.2470910553583887,-2.0470910553583894,0.1999999999999993,isolated_midgap_state,1,1,0,64,0.2644628099173554,1,0,0.8100778627668943,edge_states_exist_but_not_connecting_band2_and_band3
v_0p20_t_0p50_lm_0p00,0.2,0.5,0.0,1.8,-1.9999999999999958,-2.0,-4.218847493575595e-15,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_0p20_t_0p50_lm_0p10,0.2,0.5,0.1,1.8,-2.011077027627482,-1.859126028197401,0.15195099943008095,isolated_midgap_state,1,1,0,116,0.4793388429752066,1,0,0.6964179848511126,edge_states_exist_but_not_connecting_band2_and_band3
v_0p20_t_0p50_lm_0p20,0.2,0.5,0.2,1.8,-2.043908891458575,-1.8591260281974016,0.18478286326117344,isolated_midgap_state,1,1,0,104,0.4297520661157025,1,0,0.7802209580245107,edge_states_exist_but_not_connecting_band2_and_band3
v_0p20_t_0p50_lm_0p30,0.2,0.5,0.3,1.8,-2.0973665961010277,-1.8591260281974005,0.23824056790362724,isolated_midgap_state,1,1,0,108,0.4462809917355372,1,0,0.8655792760478132,edge_states_exist_but_not_connecting_band2_and_band3
v_0p20_t_0p50_lm_0p40,0.2,0.5,0.4,1.8,-2.1697715603592203,-1.8591260281974007,0.31064553216181956,connecting_edge_branch,1,0,1,116,0.4793388429752066,1,1,0.9239148629857757,touches_both_band_edges_with_large_span
v_0p20_t_0p50_lm_0p50,0.2,0.5,0.5,1.8,-2.2591260281973984,-1.8591260281974007,0.3999999999999977,isolated_midgap_state,1,1,0,128,0.512396694214876,1,0,0.9187343420087832,edge_states_exist_but_not_connecting_band2_and_band3
v_0p30_t_0p50_lm_0p00,0.3,0.5,0.0,1.7,-1.9999999999999951,-2.0,-4.884981308350689e-15,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_0p30_t_0p50_lm_0p10,0.3,0.5,0.1,1.7,-2.0117242768623687,-1.8000000000000005,0.21172427686236817,connecting_edge_branch,1,0,1,128,0.5289256198347108,1,1,0.9603540984842637,touches_both_band_edges_with_large_span
v_0p30_t_0p50_lm_0p20,0.3,0.5,0.2,1.7,-2.046424919657298,-1.6723082923316033,0.3741166273256946,connecting_edge_branch,1,0,1,184,0.7272727272727273,1,1,0.9386605841907001,touches_both_band_edges_with_large_span
v_0p30_t_0p50_lm_0p30,0.3,0.5,0.3,1.7,-2.1027756377319937,-1.6723082923316024,0.43046734540039133,connecting_edge_branch,1,0,1,176,0.6776859504132231,1,1,0.9623244465853348,touches_both_band_edges_with_large_span
