point_id,v,t,lm,w,band_lower_edge,band_upper_edge,band_window_width,classification,has_edge_state,has_isolated_state,has_connecting_edge_branch,in_window_edge_state_count,ky_coverage,touches_lower,touches_upper,span_ratio,reason
v_0p00_t_0p50_lm_0p00,0.0,0.5,0.0,2.0,-0.9999999999999999,0.9999999999999999,1.9999999999999998,isolated_midgap_state,1,1,0,484,1.0,0,0,0.22474487139158977,edge_states_exist_but_not_connecting_band4_and_band5
v_0p00_t_0p50_lm_0p10,0.0,0.5,0.1,2.0,-0.9999999999999991,0.9999999999999989,1.999999999999998,isolated_midgap_state,1,1,0,484,1.0,0,0,0.2328135603980392,edge_states_exist_but_not_connecting_band4_and_band5
v_0p00_t_0p50_lm_0p20,0.0,0.5,0.2,2.0,-0.9999999999999991,0.9999999999999994,1.9999999999999987,isolated_midgap_state,1,1,0,484,1.0,0,0,0.25690180446018157,edge_states_exist_but_not_connecting_band4_and_band5
v_0p00_t_0p50_lm_0p30,0.0,0.5,0.3,2.0,-0.9999999999999991,0.9999999999999998,1.999999999999999,isolated_midgap_state,1,1,0,484,1.0,0,0,0.2960941993256896,edge_states_exist_but_not_connecting_band4_and_band5
v_0p00_t_0p50_lm_0p40,0.0,0.5,0.4,2.0,-0.9999999999999993,0.9999999999999973,1.9999999999999967,isolated_midgap_state,1,1,0,484,1.0,0,0,0.34904779809725417,edge_states_exist_but_not_connecting_band4_and_band5
v_0p00_t_0p50_lm_0p50,0.0,0.5,0.5,2.0,-1.0000000000000004,1.0000000000000002,2.000000000000001,isolated_midgap_state,1,1,0,484,1.0,0,0,0.41421356237309503,edge_states_exist_but_not_connecting_band4_and_band5
v_0p10_t_0p50_lm_0p00,0.1,0.5,0.0,1.9,-0.7999999999999993,0.9999999999999999,1.7999999999999992,isolated_midgap_state,1,1,0,484,1.0,0,0,0.26072065867641825,edge_states_exist_but_not_connecting_band4_and_band5
v_0p10_t_0p50_lm_0p10,0.1,0.5,0.1,1.9,-0.7999999999999995,0.9999999999999989,1.7999999999999985,isolated_midgap_state,1,1,0,484,1.0,0,0,0.2700786444722865,edge_states_exist_but_not_connecting_band4_and_band5
v_0p10_t_0p50_lm_0p20,0.1,0.5,0.2,1.9,-0.7999999999999987,0.9999999999999994,1.799999999999998,isolated_midgap_state,1,1,0,484,1.0,0,0,0.2977732054402627,edge_states_exist_but_not_connecting_band4_and_band5
v_0p10_t_0p50_lm_0p30,0.1,0.5,0.3,1.9,-0.7999999999999978,0.9999999999999998,1.7999999999999976,isolated_midgap_state,1,1,0,484,1.0,0,0,0.34276346883709197,edge_states_exist_but_not_connecting_band4_and_band5
v_0p10_t_0p50_lm_0p40,0.1,0.5,0.4,1.9,-0.7999999999999994,0.9999999999999973,1.7999999999999967,isolated_midgap_state,1,1,0,484,1.0,0,0,0.40332126800468737,edge_states_exist_but_not_connecting_band4_and_band5
v_0p10_t_0p50_lm_0p50,0.1,0.5,0.5,1.9,-0.7999999999999994,0.7999999999999994,1.5999999999999988,isolated_midgap_state,1,1,0,484,1.0,0,0,0.5373691387791314,edge_states_exist_but_not_connecting_band4_and_band5
