point_id,v,t,lm,w,status,chern,z2,wilson,topology_status
v_0p00_t_0p50_lm_0p00,0.0,0.5,0.0,2.0,ok,-2.0843349085869001e-16,0,0.33241484989605846,ok
v_0p00_t_0p50_lm_0p10,0.0,0.5,0.1,2.0,ok,1.3791339941966603e-16,1,-0.6010551682867188,ok
v_0p00_t_0p50_lm_0p20,0.0,0.5,0.2,2.0,ok,-1.7740247744754911e-16,1,-1.162438580533706,ok
v_0p00_t_0p50_lm_0p30,0.0,0.5,0.3,2.0,ok,2.9673774386799666e-17,1,-0.5911504049841493,ok
v_0p00_t_0p50_lm_0p40,0.0,0.5,0.4,2.0,ok,2.79140448714701e-16,0,-2.0110067425603355,ok
v_0p00_t_0p50_lm_0p50,0.0,0.5,0.5,2.0,ok,-2.583460885202795e-17,0,2.4507150300590954,ok
v_0p10_t_0p50_lm_0p00,0.1,0.5,0.0,1.9,ok,3.1576243232098886e-16,0,2.0378627264230187,ok
v_0p10_t_0p50_lm_0p10,0.1,0.5,0.1,1.9,ok,1.5620255344096868e-16,0,0.06525008238166524,ok
v_0p10_t_0p50_lm_0p20,0.1,0.5,0.2,1.9,ok,1.0839568853986121e-16,1,-0.7784762832028677,ok
v_0p10_t_0p50_lm_0p30,0.1,0.5,0.3,1.9,ok,-7.36172250379111e-17,0,-1.8979177989005858,ok
v_0p10_t_0p50_lm_0p40,0.1,0.5,0.4,1.9,ok,-1.3897789997348688e-16,0,-0.21095514204453045,ok
v_0p10_t_0p50_lm_0p50,0.1,0.5,0.5,1.9,ok,4.2844942584329004e-17,1,-0.9378009516681998,ok
v_0p20_t_0p50_lm_0p00,0.2,0.5,0.0,1.8,ok,7.034695623230308e-17,1,-0.8713214584719904,ok
v_0p20_t_0p50_lm_0p10,0.2,0.5,0.1,1.8,ok,3.400026805341688e-16,1,-0.8611186269610395,ok
v_0p20_t_0p50_lm_0p20,0.2,0.5,0.2,1.8,ok,1.423849555074137e-17,0,0.30604843733977705,ok
v_0p20_t_0p50_lm_0p30,0.2,0.5,0.3,1.8,ok,2.651750126326645e-16,0,-0.40318006701629505,ok
v_0p20_t_0p50_lm_0p40,0.2,0.5,0.4,1.8,ok,-1.3413328025309086e-16,0,-0.16669402259292482,ok
v_0p20_t_0p50_lm_0p50,0.2,0.5,0.5,1.8,ok,-6.482764226736991e-17,1,1.2065433345747885,ok
v_0p30_t_0p50_lm_0p00,0.3,0.5,0.0,1.7,ok,2.895508392458233e-16,1,-0.7359403131772994,ok
v_0p30_t_0p50_lm_0p10,0.3,0.5,0.1,1.7,ok,6.435308752636712e-17,1,0.69953766521984,ok
v_0p30_t_0p50_lm_0p20,0.3,0.5,0.2,1.7,ok,-2.804403135151875e-17,1,-1.2499397281188969,ok
v_0p30_t_0p50_lm_0p30,0.3,0.5,0.3,1.7,ok,-9.10106224879717e-17,1,-0.5267055009321215,ok
v_0p30_t_0p50_lm_0p40,0.3,0.5,0.4,1.7,ok,-1.4991941515504332e-16,0,0.04375522922613461,ok
v_0p30_t_0p50_lm_0p50,0.3,0.5,0.5,1.7,ok,5.805654774539584e-17,0,0.3568637507114099,ok
