v,L,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,IPR,classification
0.3,20,83,-0.00038352522974712764,0.00038352522974712764,0.2509876371651223,0.7448933165640766,0.004119046270799999,0.011562505415123759,edge-like or edge-corner mixed state
0.3,20,82,-0.0003835252297471278,0.0003835252297471278,0.2509876371651223,0.7448933165640764,0.0041190462708,0.011562505415123756,edge-like or edge-corner mixed state
0.3,20,84,0.0009593840440646825,0.0009593840440646825,0.2623657082180471,0.736706708675843,0.0009275831061100988,0.012512462885809289,edge-like or edge-corner mixed state
0.3,20,85,0.0009593840440646857,0.0009593840440646857,0.26236570821804633,0.7367067086758409,0.000927583106110096,0.012512462885809216,edge-like or edge-corner mixed state
0.3,30,75,-0.0003242469708158712,0.0003242469708158712,0.19119708828207604,0.8079866736700083,0.0008162380479154381,0.008197768356976116,edge-like or edge-corner mixed state
0.3,30,74,-0.00032424697081587136,0.00032424697081587136,0.191197088282076,0.8079866736700081,0.0008162380479154377,0.00819776835697611,edge-like or edge-corner mixed state
0.3,40,70,0.0012505480681360272,0.0012505480681360272,0.17121612749758852,0.8279358721220937,0.0008480003803173106,0.005964919666390093,edge-like or edge-corner mixed state
0.3,40,71,0.0012505480681360285,0.0012505480681360285,0.17121612749758838,0.8279358721220929,0.00084800038031731,0.005964919666390082,edge-like or edge-corner mixed state
0.4,20,84,0.003061487421433001,0.003061487421433001,0.300087104058203,0.6838008282726906,0.016112067669105386,0.009855667924111886,edge-like or edge-corner mixed state
0.4,20,85,0.003061487421433009,0.003061487421433009,0.3000871040582033,0.6838008282726916,0.016112067669105407,0.00985566792411191,edge-like or edge-corner mixed state
0.4,20,86,0.003102775668974026,0.003102775668974026,0.30391749949087227,0.6927934838044566,0.003289016704670475,0.01124373876378076,edge-like or edge-corner mixed state
0.4,20,87,0.0031027756689740358,0.0031027756689740358,0.3039174994908722,0.6927934838044567,0.0032890167046704766,0.011243738763780759,edge-like or edge-corner mixed state
0.4,20,88,0.010544941434634717,0.010544941434634717,0.28837028093406963,0.7089681007339075,0.002661618332024201,0.01115414018634485,edge-like or edge-corner mixed state
