v,lm,delta_chi_mean,delta_chi_max,r_break_mean,r_break_max,comment
0.0,0.0,0.552344770738994,0.552344770738994,0.276172385369497,0.276172385369497,No near-exact chiral candidate found; treating Gamma as approximate.
0.01,0.0,0.5522224561330673,0.5570620037553528,0.27611122806653365,0.2785310018776764,No near-exact chiral candidate found; treating Gamma as approximate.
0.02,0.0,0.5520838554824298,0.5618529249054715,0.2760419277412149,0.2809264624527357,No near-exact chiral candidate found; treating Gamma as approximate.
0.03,0.0,0.5519289812135774,0.5667190556181376,0.2759644906067887,0.2833595278090688,No near-exact chiral candidate found; treating Gamma as approximate.
0.04,0.0,0.5517578479566537,0.5716619504750294,0.27587892397832686,0.2858309752375147,No near-exact chiral candidate found; treating Gamma as approximate.
0.05,0.0,0.5515704725097981,0.5766831975986554,0.27578523625489904,0.2883415987993277,No near-exact chiral candidate found; treating Gamma as approximate.
0.06,0.0,0.5513668737904663,0.5817844190005448,0.27568343689523317,0.2908922095002724,No near-exact chiral candidate found; treating Gamma as approximate.
0.07,0.0,0.5511470727738701,0.5869672708837493,0.27557353638693505,0.29348363544187467,No near-exact chiral candidate found; treating Gamma as approximate.
0.08,0.0,0.5509110924186874,0.5922334438930915,0.2754555462093437,0.29611672194654576,No near-exact chiral candidate found; treating Gamma as approximate.
0.09,0.0,0.550658957580224,0.5975846633059372,0.275329478790112,0.2987923316529686,No near-exact chiral candidate found; treating Gamma as approximate.
0.1,0.0,0.5503906949112122,0.6030226891555273,0.2751953474556061,0.30151134457776363,No near-exact chiral candidate found; treating Gamma as approximate.
0.11,0.0,0.5501063327504528,0.6085493162781118,0.2750531663752264,0.3042746581390559,No near-exact chiral candidate found; treating Gamma as approximate.
0.12,0.0,0.5498059009995195,0.6141663742742572,0.27490295049975977,0.3070831871371286,No near-exact chiral candidate found; treating Gamma as approximate.
0.13,0.0,0.5494894309877542,0.6198757273737437,0.2747447154938771,0.3099378636868719,No near-exact chiral candidate found; treating Gamma as approximate.
0.14,0.0,0.549156955325802,0.6256792741924413,0.274578477662901,0.31283963709622065,No near-exact chiral candidate found; treating Gamma as approximate.
0.15,0.0,0.5488085077479384,0.6315789473684211,0.2744042538739692,0.31578947368421056,No near-exact chiral candidate found; treating Gamma as approximate.
0.16,0.0,0.5484441229434557,0.6375767130633384,0.27422206147172784,0.3187883565316692,No near-exact chiral candidate found; treating Gamma as approximate.
0.17,0.0,0.5480638363773843,0.6436745703137872,0.27403191818869216,0.3218372851568936,No near-exact chiral candidate found; treating Gamma as approximate.
