v,lm,t,w,delta_Gamma,delta_X,delta_Y,delta_M,z2_fu_kane,z2_wilson_scan,inversion_error,parity_quality,comment
0.0,0.1,0.3,1.0,1,1,1,1,0,0,0.0,2.220446049250313e-16,ok
0.1,0.1,0.3,1.0,1,1,1,1,0,0,0.0,2.220446049250313e-16,ok
0.2,0.1,0.3,1.0,1,1,1,1,0,0,0.0,4.440892098500626e-16,ok
0.3,0.1,0.3,1.0,1,1,1,1,0,0,0.0,2.220446049250313e-16,ok
0.4,0.1,0.3,1.0,1,1,1,1,0,0,0.0,5.551115123125783e-16,ok
0.5,0.1,0.3,1.0,1,1,1,1,0,0,0.0,2.220446049250313e-16,ok
0.6,0.1,0.3,1.0,1,1,1,-1,1,-1,0.0,6.661338147750939e-16,ok
0.7,0.1,0.3,1.0,1,1,1,1,0,0,0.0,2.220446049250313e-16,ok
0.8,0.1,0.3,1.0,1,1,1,1,0,0,0.0,2.220446049250313e-16,ok
0.9,0.1,0.3,1.0,1,1,1,1,0,0,0.0,2.220446049250313e-16,ok
1.0,0.1,0.3,1.0,1,1,1,1,0,0,0.0,2.220446049250313e-16,ok
1.1,0.1,0.3,1.0,1,1,1,1,0,0,0.0,5.551115123125783e-16,ok
