point_label,v,lm,t,w,L,min_abs_E,nearzero_count_0p01,nearzero_count_0p02,ipr_closest_state,ipr_nearzero_subspace,edge_weight_subspace,corner_weight_subspace,classification_subspace
A,0.9,0.2,0.5,1.1,12,0.008596553969064367,2,4,0.007322826308851449,0.014450214452293497,0.9193945953800087,0.4811341194393156,corner-like
A,0.9,0.2,0.5,1.1,16,0.005635109936104982,2,4,0.005494277376574195,0.010088385075249166,0.9112894437907811,0.3610330669881735,corner-like
A,0.9,0.2,0.5,1.1,20,2.208192250395799e-05,2,6,0.0043065386453576835,0.007705595908715689,0.9071230354869826,0.28871983242961896,corner-like
B,1.1,0.2,0.5,0.8999999999999999,12,0.009190483751904604,2,6,0.0034835160354939193,0.009284412999468182,0.721235374080266,0.3382217820266422,corner-like
B,1.1,0.2,0.5,0.8999999999999999,16,0.0037362907453206617,6,6,0.002987507330975645,0.006616418508341533,0.7185264094581257,0.18029830157591042,edge-like
B,1.1,0.2,0.5,0.8999999999999999,20,6.0796025384962414e-05,26,42,0.0013258706680033079,0.002576250054952017,0.38993030174765886,0.08571729712927822,mixed
C,1.9,0.0,0.5,0.10000000000000009,12,0.8030895710706272,0,0,0.003291571252595674,0.013164822298807426,0.16520260321913754,0.04944235842411375,bulk-like
C,1.9,0.0,0.5,0.10000000000000009,16,0.8018160759318924,0,0,0.001929454633268179,0.007717310626928207,0.07815858246992591,0.01118343827305832,bulk-like
C,1.9,0.0,0.5,0.10000000000000009,20,0.801193578549539,0,0,0.0009699847133635221,0.0050654628230032295,0.04254048197694806,0.0033453587300092667,bulk-like
D,1.9,0.2,0.5,0.10000000000000009,12,0.8030939500135954,0,0,0.0032906896357718955,0.013161225269948798,0.16530343453575497,0.04947463838478521,bulk-like
D,1.9,0.2,0.5,0.10000000000000009,16,0.8018187911783781,0,0,0.0019290476852518207,0.007715658214648629,0.0782164507662028,0.011193244774718353,bulk-like
D,1.9,0.2,0.5,0.10000000000000009,20,0.8011954194473248,0,0,0.0009722009219094821,0.005064574999455252,0.04257531263896608,0.0033487666236090437,bulk-like
E_A,0.9,0.0,0.5,1.1,12,0.02789116938369482,0,0,0.004008227861436321,0.00974928693222401,0.7203738495157952,0.38283617469087516,corner-like
E_A,0.9,0.0,0.5,1.1,16,0.0002391616604891088,2,6,0.0021973586960803105,0.004540078650080712,0.5971741401326398,0.22951790201941483,edge-like
E_A,0.9,0.0,0.5,1.1,20,0.002032653098504868,8,12,0.0019357559885364675,0.0030273487124874874,0.5427118762708719,0.17093522795860494,edge-like
E_B,0.9,0.0,0.5,1.1,12,0.02789116938369482,0,0,0.004008227861436321,0.00974928693222401,0.7203738495157952,0.38283617469087516,corner-like
E_B,0.9,0.0,0.5,1.1,16,0.0002391616604891088,2,6,0.0021973586960803105,0.004540078650080712,0.5971741401326398,0.22951790201941483,edge-like
E_B,0.9,0.0,0.5,1.1,20,0.0020326530985048715,8,12,0.002154163784497374,0.0030022328844085677,0.5413274613494167,0.16594193057914466,edge-like
