point_label,direction,v,lm,t,w,classification,lower_edge,upper_edge,gap_width,in_gap_edge_count,span_ratio,touches_lower,touches_upper,comment
A,x_open,0.9,0.2,0.5,1.1,empty_gap,-0.005392237270091421,0.008854130150794639,0.01424636742088606,0,0.0,0,0,no_edge_state_in_gap
A,y_open,0.9,0.2,0.5,1.1,empty_gap,-0.005392237270090604,0.0088541301507946,0.014246367420885205,0,0.0,0,0,no_edge_state_in_gap
B,x_open,1.1,0.2,0.5,0.8999999999999999,empty_gap,-0.001413996858704627,0.00021127865899469594,0.0016252755176993229,0,0.0,0,0,no_edge_state_in_gap
B,y_open,1.1,0.2,0.5,0.8999999999999999,empty_gap,-0.0014139968587030987,0.000211278658994328,0.0016252755176974266,0,0.0,0,0,no_edge_state_in_gap
C,x_open,1.9,0.0,0.5,0.10000000000000009,empty_gap,-1.7999999999999945,0.8000712092723822,2.6000712092723766,0,0.0,0,0,no_edge_state_in_gap
C,y_open,1.9,0.0,0.5,0.10000000000000009,empty_gap,-1.799999999999995,0.8000712092723823,2.600071209272377,0,0.0,0,0,no_edge_state_in_gap
D,x_open,1.9,0.2,0.5,0.10000000000000009,empty_gap,-1.400070717196553,0.8000713281242722,2.200142045320825,0,0.0,0,0,no_edge_state_in_gap
D,y_open,1.9,0.2,0.5,0.10000000000000009,empty_gap,-1.4000707171965519,0.800071328124272,2.200142045320824,0,0.0,0,0,no_edge_state_in_gap
E_A,x_open,0.9,0.0,0.5,1.1,empty_gap,-0.005489518788410419,0.00019644971760473333,0.005685968506015152,0,0.0,0,0,no_edge_state_in_gap
E_A,y_open,0.9,0.0,0.5,1.1,empty_gap,-0.005489518788410433,0.00019644971760476092,0.005685968506015194,0,0.0,0,0,no_edge_state_in_gap
E_B,x_open,0.9,0.0,0.5,1.1,empty_gap,-0.005489518788410419,0.00019644971760473333,0.005685968506015152,0,0.0,0,0,no_edge_state_in_gap
E_B,y_open,0.9,0.0,0.5,1.1,empty_gap,-0.005489518788410433,0.00019644971760476092,0.005685968506015194,0,0.0,0,0,no_edge_state_in_gap
