rank,center_label,v,lm,t,w,gap,kx_min,ky_min,chern,z2,comment
1,A,1.0000000000000002,0.1,0.5,0.9999999999999998,0.21980390271855635,0.4166666666666667,0.5,6.525548544872907e-17,1,direct_gap=3.705e-01
2,A,0.9900000000000002,0.1,0.5,1.0099999999999998,0.2196115772464871,0.5,0.4166666666666667,-1.6388215589895083e-17,1,direct_gap=3.733e-01
3,A,0.9800000000000002,0.1,0.5,1.0199999999999998,0.21942291681490148,0.4166666666666667,0.5,1.0451401823391205e-16,0,direct_gap=3.761e-01
4,A,0.9700000000000002,0.1,0.5,1.0299999999999998,0.21923781860929858,0.4166666666666667,0.5,-2.782589377175647e-17,1,direct_gap=3.789e-01
5,A,0.9600000000000002,0.1,0.5,1.0399999999999998,0.2190561835898977,0.5833333333333334,0.5,-5.290081890048454e-17,0,direct_gap=3.818e-01
6,A,0.9500000000000002,0.1,0.5,1.0499999999999998,0.21887791632159698,0.5833333333333334,0.5,2.2873326292587767e-17,0,direct_gap=3.847e-01
7,A,0.9400000000000002,0.1,0.5,1.0599999999999998,0.21870292481294346,0.5,0.4166666666666667,-8.586749353850622e-18,0,direct_gap=3.876e-01
8,A,0.9300000000000002,0.1,0.5,1.0699999999999998,0.21853112036358385,0.4166666666666667,0.5,-1.17426688616125e-16,0,direct_gap=3.907e-01
9,A,0.9200000000000002,0.1,0.5,1.0799999999999998,0.21836241741967793,0.5,0.4166666666666667,3.954654298375826e-17,1,direct_gap=3.939e-01
10,A,0.9100000000000001,0.1,0.5,1.0899999999999999,0.2181967334368019,0.5,0.4166666666666667,6.740666212259114e-17,1,direct_gap=3.973e-01
1,B,1.1300000000000001,0.16999999999999998,0.5,0.8699999999999999,0.0004418706333423894,0.5,1.0,2.181627673812726e-17,1,direct_gap=4.419e-04
2,B,1.12,0.11,0.5,0.8799999999999999,0.0008506979363765987,1.0,0.5,7.405016327648919e-17,0,direct_gap=8.507e-04
3,B,1.1500000000000001,0.24999999999999992,0.5,0.8499999999999999,0.0014053789935297711,1.0,0.5,-1.4419100739301064e-16,1,direct_gap=1.405e-03
4,B,1.1400000000000001,0.20999999999999996,0.5,0.8599999999999999,0.003982143375762748,0.0,0.5,9.681479350589449e-17,1,direct_gap=3.982e-03
5,B,1.12,0.12,0.5,0.8799999999999999,0.004206404507045819,1.0,0.5,4.903432665462223e-17,0,direct_gap=4.206e-03
6,B,1.1600000000000001,0.2799999999999999,0.5,0.8399999999999999,0.004459425484921176,0.0,0.5,-2.5700183332600324e-16,0,direct_gap=4.459e-03
7,B,1.1400000000000001,0.21999999999999995,0.5,0.8599999999999999,0.004961741562468314,1.0,0.5,-1.8779581324077316e-16,0,direct_gap=4.962e-03
8,B,1.12,0.1,0.5,0.8799999999999999,0.005492801757983556,1.0,0.5,-6.086227190876219e-17,0,direct_gap=5.493e-03
9,B,1.1600000000000001,0.2899999999999999,0.5,0.8399999999999999,0.0067702297991466265,1.0,0.5,-3.918253589214176e-17,1,direct_gap=6.770e-03
10,B,1.1300000000000001,0.17999999999999997,0.5,0.8699999999999999,0.007022334341698522,1.0,0.5,-1.1415139329600097e-16,1,direct_gap=7.022e-03
