v,t,w,lm,state,energy,state_index_in_spin_block,major_component,component_0_weight,component_1_weight,component_2_weight,component_3_weight
0.6,0.3,1.0,0.0,valence,0.1999999999999998,1,0,0.25000000000000044,0.2499999999999995,0.25000000000000044,0.2499999999999996
0.6,0.3,1.0,0.0,conduction,0.39999999999999974,2,1,0.037335662309777536,0.4626643376902231,0.4626643376902219,0.03733566230977734
0.65,0.3,1.0,0.0,valence,0.2499999999999999,1,1,0.24999999999999964,0.2500000000000004,0.24999999999999964,0.2500000000000004
0.65,0.3,1.0,0.0,conduction,0.34999999999999987,2,0,0.4857850217694596,0.014214978230540649,0.014214978230540623,0.48578502176945926
0.68,0.3,1.0,0.0,valence,0.27999999999999997,1,3,0.249999999999999,0.25,0.2500000000000002,0.25000000000000067
0.68,0.3,1.0,0.0,conduction,0.32000000000000006,3,1,0.13208552424203757,0.3679144757579629,0.3679144757579623,0.13208552424203732
0.7,0.3,1.0,0.0,valence,0.2999999999999998,1,2,0.3656113952427794,0.08498230844231856,0.44079034808414935,0.10861594823075277
0.7,0.3,1.0,0.0,conduction,0.3000000000000001,2,0,0.3842667778301123,0.04856526564663355,0.19960413190966783,0.3675638246135863
0.72,0.3,1.0,0.0,valence,0.2800000000000004,2,1,0.061183984399645876,0.43881601560035816,0.43881601560035227,0.06118398439964366
0.72,0.3,1.0,0.0,conduction,0.32,3,3,0.24999999999999606,0.24999999999999767,0.2500000000000021,0.2500000000000042
0.75,0.3,1.0,0.0,valence,0.25000000000000006,2,0,0.5000000000000007,5.207714569623087e-31,1.0896342705337946e-30,0.4999999999999994
0.75,0.3,1.0,0.0,conduction,0.35000000000000014,3,3,0.24999999999999933,0.2499999999999999,0.2500000000000001,0.25000000000000056
0.8,0.3,1.0,0.0,valence,0.1999999999999996,1,2,0.042747205508041945,0.4572527944919579,0.4572527944919582,0.04274720550804203
0.8,0.3,1.0,0.0,conduction,0.4000000000000002,3,0,0.2500000000000002,0.2500000000000002,0.24999999999999967,0.24999999999999978
