v,t,w,lm,E_valence_M_global,E_conduction_M_global,Delta_M_global,state_a_band_index,state_b_band_index,E_state_a,E_state_b,Delta_pair,band_character_sign,signed_m_M
0.0,0.0,1.0,0.0,-1.0,1.0,2.0,0,2,-1.0,1.0,2.0,-1.0,-1.0
0.002,0.0,1.0,0.0,-0.9979999999999999,0.9979999999999999,1.9959999999999998,1,3,-0.9979999999999999,0.998,1.996,-1.0,-0.998
0.004,0.0,1.0,0.0,-0.996,0.996,1.992,0,2,-0.996,0.996,1.992,-1.0,-0.996
0.006,0.0,1.0,0.0,-0.9939999999999999,0.9939999999999999,1.9879999999999998,1,3,-0.9939999999999999,0.994,1.988,-1.0,-0.994
0.008,0.0,1.0,0.0,-0.992,0.992,1.984,0,2,-0.992,0.992,1.984,-1.0,-0.992
0.01,0.0,1.0,0.0,-0.99,0.99,1.98,0,2,-0.99,0.99,1.98,-1.0,-0.99
0.012,0.0,1.0,0.0,-0.988,0.988,1.976,0,2,-0.988,0.988,1.976,-1.0,-0.988
0.014,0.0,1.0,0.0,-0.986,0.986,1.972,0,2,-0.986,0.986,1.972,-1.0,-0.986
0.016,0.0,1.0,0.0,-0.984,0.984,1.968,0,2,-0.984,0.984,1.968,-1.0,-0.984
0.018000000000000002,0.0,1.0,0.0,-0.9819999999999999,0.9819999999999999,1.9639999999999997,1,3,-0.9819999999999999,0.982,1.964,-1.0,-0.982
0.02,0.0,1.0,0.0,-0.98,0.98,1.96,0,2,-0.98,0.98,1.96,-1.0,-0.98
0.022,0.0,1.0,0.0,-0.978,0.978,1.956,0,2,-0.978,0.978,1.956,-1.0,-0.978
0.024,0.0,1.0,0.0,-0.9759999999999999,0.9759999999999999,1.9519999999999997,1,3,-0.9759999999999999,0.976,1.952,-1.0,-0.976
0.026000000000000002,0.0,1.0,0.0,-0.974,0.974,1.948,0,2,-0.974,0.974,1.948,-1.0,-0.974
0.028,0.0,1.0,0.0,-0.972,0.972,1.944,0,2,-0.972,0.972,1.944,-1.0,-0.972
0.03,0.0,1.0,0.0,-0.97,0.97,1.94,0,2,-0.97,0.97,1.94,-1.0,-0.97
0.032,0.0,1.0,0.0,-0.968,0.968,1.936,0,2,-0.968,0.968,1.936,-1.0,-0.968
0.034,0.0,1.0,0.0,-0.966,0.966,1.932,0,2,-0.966,0.966,1.932,-1.0,-0.966
0.036000000000000004,0.0,1.0,0.0,-0.964,0.964,1.928,0,2,-0.964,0.964,1.928,-1.0,-0.964
0.038,0.0,1.0,0.0,-0.962,0.962,1.924,0,2,-0.962,0.962,1.924,-1.0,-0.962
