corridor,v,t,lm,w,gap,chern,obc_min_abs_energy,trigger
rank_02_v_1p10_t_0p50_lm_0p20,0.9,0.5,0.0,1.1,-3.608224830031759e-16,-5.363453357158059e-17,0.00023916166048921865,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.9,0.5,0.0,1.1,-3.608224830031759e-16,-5.363453357158059e-17,0.0002391616604892187,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,1.02,0.5,0.0,0.98,-5.204170427930421e-16,3.0884201179384637e-16,0.003042034565174956,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,1.02,0.5,0.0,0.98,-5.204170427930421e-16,3.0884201179384637e-16,0.003042034565174962,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,1.1,0.5,0.0,0.8999999999999999,-5.273559366969494e-16,4.246752388853515e-17,0.005996521629837185,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,1.1,0.5,0.0,0.8999999999999999,-5.273559366969494e-16,4.246752388853515e-17,0.005996521629837204,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,0.94,0.5,0.0,1.06,-6.522560269672795e-16,1.568155483191535e-16,0.016809652069974763,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.94,0.5,0.0,1.06,-6.522560269672795e-16,1.568155483191535e-16,0.016809652069974795,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,1.18,0.5,0.0,0.8200000000000001,-6.661338147750939e-16,9.21320516538e-18,0.0016552314135132304,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.78,0.5,0.0,1.22,-6.661338147750939e-16,-2.1017394571377115e-17,0.0056810341458780585,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,1.14,0.5,0.0,0.8600000000000001,-7.216449660063518e-16,-5.287962970549685e-17,0.0003540987602998892,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.86,0.5,0.0,1.1400000000000001,-7.771561172376096e-16,1.38496526355258e-17,0.006234275800815134,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,1.22,0.5,0.0,0.78,-8.326672684688674e-16,-1.4308698170693604e-16,0.006850761972721226,|gap|<=0.02 or obc_min<=0.001
