folder,v,t,lm,bulk_valence_max,bulk_conduction_min,window_low,window_high,edge_states_in_gap,edge_threshold_used,obc_selected_count,obc_selected_e_min,obc_selected_e_max
v_0p60_t_0p90_lm_0p80,0.60,0.90,0.80,-2.202403e-01,2.034321e-02,-2.202403e-01,2.034321e-02,0,0.45,4,-2.815871e-01,8.219335e-02
v_0p60_t_0p80_lm_0p70,0.60,0.80,0.70,-2.331735e-01,3.362141e-02,-2.331735e-01,3.362141e-02,36,0.45,6,-2.210498e-01,2.227388e-02
v_1p00_t_0p90_lm_1p00,1.00,0.90,1.00,-3.294847e-02,2.326640e-01,-3.294847e-02,2.326640e-01,36,0.45,6,-2.327887e-02,2.225417e-01
v_0p50_t_0p80_lm_0p60,0.50,0.80,0.60,-7.332015e-04,5.381019e-03,-7.332015e-04,5.381019e-03,0,0.45,4,-7.824545e-03,2.913650e-02
v_0p30_t_0p60_lm_0p80,0.30,0.60,0.80,-6.401469e-03,9.588203e-04,-1.272132e-02,7.278676e-03,0,0.45,4,-2.121001e-02,1.813547e-02
v_0p90_t_1p00_lm_1p00,0.90,1.00,1.00,-1.203889e-01,1.203889e-01,-1.203889e-01,1.203889e-01,0,0.45,4,-1.824894e-01,1.824894e-01
v_0p70_t_1p00_lm_0p60,0.70,1.00,0.60,-1.075485e-03,9.853936e-03,-1.075485e-03,9.853936e-03,0,0.45,2,7.951664e-03,7.951664e-03
v_0p60_t_0p70_lm_0p80,0.60,0.70,0.80,-3.362141e-02,2.331735e-01,-3.362141e-02,2.331735e-01,36,0.45,6,-2.227388e-02,2.210498e-01
v_0p60_t_1p00_lm_0p50,0.60,1.00,0.50,-5.172837e-04,2.754456e-04,-5.172837e-04,2.754456e-04,0,0.45,2,6.922540e-05,6.922540e-05
v_0p30_t_0p50_lm_0p70,0.30,0.50,0.70,-4.422208e-04,1.419058e-03,-4.422208e-04,1.419058e-03,0,0.45,4,7.939566e-03,2.582689e-02
v_0p50_t_0p90_lm_0p50,0.50,0.90,0.50,-1.102375e-02,3.115125e-04,-1.102375e-02,3.115125e-04,4,0.45,2,-8.091792e-03,-8.091792e-03
v_0p70_t_0p80_lm_0p80,0.70,0.80,0.80,-1.332139e-01,1.332139e-01,-1.332139e-01,1.332139e-01,36,0.45,6,-1.220637e-01,1.220637e-01
v_0p80_t_0p90_lm_0p80,0.80,0.90,0.80,-2.328929e-01,3.324538e-02,-2.328929e-01,3.324538e-02,36,0.45,6,-2.219018e-01,2.283630e-02
v_0p50_t_0p90_lm_0p70,0.50,0.90,0.70,-5.379770e-04,6.904561e-03,-6.816708e-03,1.318329e-02,0,0.45,4,-1.771742e-02,2.190667e-02
v_0p50_t_0p60_lm_0p90,0.50,0.60,0.90,-2.305824e-03,4.482744e-03,-8.911540e-03,1.108846e-02,0,0.45,2,-1.387683e-03,-1.387683e-03
v_0p70_t_0p70_lm_1p00,0.70,0.70,1.00,-1.272866e-03,4.712546e-03,-8.280160e-03,1.171984e-02,0,0.45,2,-9.701180e-04,-9.701180e-04
v_0p50_t_0p20_lm_0p30,0.50,0.20,0.30,-1.514759e-03,1.952340e-02,-1.514759e-03,1.952340e-02,12,0.45,3,7.093380e-03,1.676565e-02
v_0p50_t_0p50_lm_1p00,0.50,0.50,1.00,-2.680413e-03,9.724648e-04,-1.085397e-02,9.146026e-03,0,0.45,2,6.364367e-03,6.364367e-03
v_0p50_t_1p00_lm_0p50,0.50,1.00,0.50,-9.724648e-04,2.680413e-03,-9.146026e-03,1.085397e-02,0,0.45,2,-6.364367e-03,-6.364367e-03
v_0p70_t_0p10_lm_0p20,0.70,0.10,0.20,-5.412735e-03,1.762090e-02,-5.412735e-03,1.762090e-02,40,0.45,8,6.123154e-03,1.677001e-02
v_0p70_t_1p00_lm_0p70,0.70,1.00,0.70,-4.712546e-03,1.272866e-03,-1.171984e-02,8.280160e-03,0,0.45,2,9.701180e-04,9.701180e-04
