point_id,v,t,lm,gap,chern,z2,edge_state,corner_state,Wilson_loop,z2_flip_axes,max_chern_delta,min_neighbor_abs_gap,is_chern_jump,phase_family,special_score
v_0p30_t_0p60_lm_0p70,0.3,0.6,0.7,-1.8041124150158794e-16,0.9999999999999999,1,1,1,-1.1369130652341408,3,1.0000000000000004,0.19999999999999774,1,C2_critical_corner_reconstruction,14.799999999999985
v_0p90_t_0p90_lm_1p00,0.9,0.9,1.0,-3.191891195797325e-16,1.0000000000000002,1,1,1,-1.16611008619477,3,1.0000000000000004,0.19999999999999674,1,C2_critical_corner_reconstruction,14.799999999999974
v_0p80_t_0p90_lm_0p90,0.8,0.9,0.9,-4.2774418918664897e-16,-1.0000000000000002,1,1,1,-1.3289575134521954,3,1.0000000000000004,0.19999999999999674,1,C2_critical_corner_reconstruction,14.799999999999965
v_0p60_t_0p80_lm_0p80,0.6,0.8,0.8,-6.220887844026741e-17,-1.0,0,1,1,0.45801966592985316,3,1.0,0.19999999999999718,1,C2_critical_corner_reconstruction,14.199999999999994
v_0p60_t_1p00_lm_0p60,0.6,1.0,0.6,-1.6653345369377348e-16,-1.0,0,1,1,1.5643258555604818,2,1.0000000000000002,0.19999999999999776,1,C2_critical_corner_reconstruction,12.799999999999986
v_0p50_t_0p90_lm_0p60,0.5,0.9,0.6,-2.220446049250313e-16,-1.0,0,1,1,0.010834125745029085,2,1.0000000000000002,0.1999999999999966,1,C2_critical_corner_reconstruction,12.799999999999981
v_0p10_t_0p70_lm_0p50,0.1,0.7,0.5,-6.938893903907228e-16,3.34889002522584e-17,0,1,0,1.9642924176325758,3,1.0,5.412337245047638e-16,1,C1_critical_inversion_core,10.999999999999945
v_0p40_t_1p00_lm_0p50,0.4,1.0,0.5,-1.0547118733938987e-15,7.13136420945417e-17,0,1,0,-0.23046501168412517,3,1.0,5.551115123125783e-17,1,C1_critical_inversion_core,10.999999999999915
v_0p50_t_0p60_lm_0p90,0.5,0.6,0.9,0.0,7.067899292141149e-17,1,1,0,-1.093240447172733,3,2.6703525311934393e-16,0.19999999999999651,0,C1_critical_inversion_core,9.799999999999999
v_0p50_t_0p50_lm_1p00,0.5,0.5,1.0,5.551115123125783e-17,2.1203697876423444e-16,1,1,0,-1.0583402352592561,3,4.2499493524324243e-16,7.771561172376096e-16,0,C1_critical_inversion_core,9.799999999999995
v_0p80_t_0p10_lm_0p10,0.8,0.1,0.1,1.3603833764214585e-16,-1.1950378368665615e-16,1,1,0,0.9592106007324835,3,2.164640000952717e-16,0.1999999999999992,0,C1_critical_inversion_core,9.799999999999988
v_0p50_t_0p60_lm_0p10,0.5,0.6,0.1,-1.6653345369377348e-16,3.4502769078347676e-16,1,1,0,-1.4126511715908705,3,6.1356241396140665e-16,0.1999999999999989,0,C1_critical_inversion_core,9.799999999999985
