v,t,z2_flips,max_chern_jump,min_abs_gap,has_edge,has_corner,z2_pattern
0.8,1.0,9,5.489900457585336e-16,4.163336342344337e-16,1,0,0-1-0-1-0-1-0-1-1-0-1
0.2,0.3,9,1.0000000000000004,1.2212453270876722e-15,1,1,0-0-1-0-1-0-1-0-1-0-1
0.5,0.1,8,6.198153043036326e-16,2.220446049250313e-16,1,0,1-0-1-0-1-0-1-0-0-0-1
0.5,0.3,8,5.1760508424285e-16,2.914335439641036e-16,1,0,0-1-0-1-0-1-1-0-0-1-0
0.9,0.5,8,7.288667321432066e-16,5.273559366969494e-16,1,0,0-1-0-0-1-0-1-0-1-0-0
0.1,0.6,8,6.760070219867169e-16,5.412337245047638e-16,1,0,1-0-1-1-0-1-0-1-1-0-1
1.0,0.1,8,6.02289008069933e-16,5.54295646180894e-16,1,0,0-1-0-1-0-0-1-0-1-1-0
0.1,0.0,8,2.9436270497688866e-16,6.245004513516506e-16,1,0,0-1-1-0-1-0-1-1-0-1-0
0.9,0.3,8,4.964189249091027e-16,8.743006318923108e-16,1,0,0-0-1-0-1-0-1-1-0-1-0
0.8,0.6,8,3.502757844277902e-16,9.159339953157541e-16,1,0,0-1-0-0-0-1-0-1-0-1-0
0.2,0.2,8,4.721088321142743e-16,1.1934897514720433e-15,1,1,1-0-1-0-1-0-0-1-0-1-1
0.1,1.0,8,3.5168797685919707e-16,2.6922908347160046e-15,1,1,0-0-1-0-1-1-0-1-0-1-0
0.4,0.6,7,5.035027331343752e-16,8.326672684688674e-17,1,0,0-1-0-1-0-1-0-0-0-0-1
0.5,0.4,7,5.439026136458217e-16,1.1102230246251565e-16,1,0,0-1-0-0-1-0-1-1-0-0-1
0.4,0.7,7,6.0188007247649275e-16,1.3442792967232145e-16,1,0,0-1-0-1-0-1-1-0-0-0-1
0.8,0.1,7,1.4941384587767747e-16,1.3603833764214585e-16,1,0,0-1-1-0-1-0-1-0-0-1-1
0.6,1.0,7,1.0,1.6653345369377348e-16,1,1,1-0-1-0-0-1-0-0-1-0-0
0.8,0.8,7,5.343494856722456e-16,1.942890293094024e-16,1,0,1-0-1-0-1-0-1-1-1-0-0
