point_id,v,t,w,lm,J,soc_state,kz_slices,gap_kz0,chern_kz0,wilson_kz0,z2_kz0,chern_kz_mean,chern_kz_std,gap_kz_min,gap_kz_max,z2_kz_ones_count,phase_label,phase_reason
v_0.10_soc_on,0.1,0.3,1.0,0.1,0.0,soc_on,21,-0.40000000000000063,-1.3695124302925313e-17,0.5826017823061869,1,-2.4113716067149673e-17,1.6637181320634628e-16,-0.40000000000000063,1.6804318502617217,12,overlap_or_semimetal_like,gap_kz_min <= 0
v_0.10_soc_off,0.1,0.3,1.0,0.0,0.0,soc_off,21,-0.40000000000000013,-1.2318414691835393e-16,-0.5588197600481671,1,-6.723062978443628e-17,1.4187852513831433e-16,-0.40000000000000013,1.7103238876962903,12,overlap_or_semimetal_like,gap_kz_min <= 0
v_0.30_soc_on,0.3,0.3,1.0,0.1,0.0,soc_on,21,-0.2,7.82386317462967e-17,1.0978517836195456,1,-7.023860778333343e-17,1.3122784462072449e-16,-0.2,1.2804318502617216,12,overlap_or_semimetal_like,gap_kz_min <= 0
v_0.30_soc_off,0.3,0.3,1.0,0.0,0.0,soc_off,21,-0.3999999999999998,1.992508397465869e-16,-0.3002580043686002,0,-9.336924932292255e-18,1.3318662235015517e-16,-0.3999999999999998,1.3103238876962902,12,overlap_or_semimetal_like,gap_kz_min <= 0
v_0.50_soc_on,0.5,0.3,1.0,0.1,0.0,soc_on,21,0.19999999999999946,-2.216021461805487e-16,-1.756278483816096,0,-2.0947725550488414e-17,1.5784456650128544e-16,0.002416317026025905,0.8804318502617217,4,near_transition_z2_active,0 < gap_kz_min < 0.01 and z2_kz_ones_count > 0
v_0.50_soc_off,0.5,0.3,1.0,0.0,0.0,soc_off,21,-0.1999999999999998,7.824221852993077e-17,0.25976478496387995,0,-2.3850633876038336e-17,1.0014907588711337e-16,-0.1999999999999998,0.9103238876962909,7,overlap_or_semimetal_like,gap_kz_min <= 0
v_0.80_soc_on,0.8,0.3,1.0,0.1,0.0,soc_on,21,0.4770329614269001,-6.126353175913975e-17,1.5104053792405867,0,-2.3351927517603534e-17,1.2550858079334023e-16,0.04396650566989674,0.4770329614269001,11,gapped_z2_like_candidate,gap_kz_min >= 0.01 and z2_kz_ones_count > 0
v_0.80_soc_off,0.8,0.3,1.0,0.0,0.0,soc_off,21,-9.159339953157541e-16,1.1641621186387964e-17,0.4882370413701724,0,-9.113888599088365e-19,1.1504818231373931e-16,-1.0824674490095276e-15,0.3103238876962905,9,overlap_or_semimetal_like,gap_kz_min <= 0
v_1.00_soc_on,1.0,0.3,1.0,0.1,0.0,soc_on,21,0.47703296142690005,2.1234147088708488e-16,-0.9420731126361639,1,-3.3941498215395786e-18,1.370012973502092e-16,0.004459518267290852,0.47703296142690005,8,near_transition_z2_active,0 < gap_kz_min < 0.01 and z2_kz_ones_count > 0
v_1.00_soc_off,1.0,0.3,1.0,0.0,0.0,soc_off,21,-8.87510917483128e-16,-9.887740515540269e-17,-0.5037041323606156,1,-1.6073816052223787e-17,1.2932548515424383e-16,-1.3282850912792133e-15,-2.4683511366241107e-16,13,overlap_or_semimetal_like,gap_kz_min <= 0
