kz_frac,chern_slice,gap_slice,wilson_winding,z2
0.000000000000000000e+00,7.823863174629670493e-17,-2.000000000000000111e-01,1.097851783619545607e+00,1.000000000000000000e+00
4.761904761904761640e-02,-1.612718653987120593e-16,-1.910646609801034956e-01,6.081363602317357842e-01,1.000000000000000000e+00
9.523809523809523281e-02,-9.894425142758046378e-17,-1.644582446289130084e-01,-1.006081256247112199e+00,1.000000000000000000e+00
1.428571428571428492e-01,-1.138598124345786307e-16,-1.207750943219366713e-01,1.114224172160468429e+00,1.000000000000000000e+00
1.904761904761904656e-01,-2.174842535759619352e-16,1.702694164161189239e-02,-3.484080970820750411e-01,0.000000000000000000e+00
2.380952380952380820e-01,1.011462728215312690e-16,2.271170050722773059e-01,4.103981356680876380e-01,0.000000000000000000e+00
2.857142857142856984e-01,1.213543990962863076e-16,4.024163170260258160e-01,1.459650111063738542e+00,1.000000000000000000e+00
3.333333333333333148e-01,-2.074832406906418043e-17,5.999999999999993117e-01,-1.023841279500460333e+00,1.000000000000000000e+00
3.809523809523809312e-01,-3.022100974714480954e-17,8.154543610137672260e-01,-1.763612192924355115e+00,0.000000000000000000e+00
4.285714285714285476e-01,-1.271069368991369920e-16,1.043966505669896350e+00,-1.003203919563932622e+00,1.000000000000000000e+00
4.761904761904761640e-01,7.006466937890079301e-18,1.280431850261720461e+00,1.416880726687782310e+00,1.000000000000000000e+00
5.238095238095237249e-01,-3.433170949972276035e-16,1.280431850261721571e+00,-6.321797981781924758e-01,1.000000000000000000e+00
5.714285714285713969e-01,5.194274811102855614e-17,1.043966505669896794e+00,-7.391203766470083591e-01,1.000000000000000000e+00
6.190476190476190688e-01,-8.369494363921860644e-17,8.154543610137676701e-01,4.658593880910172347e-01,0.000000000000000000e+00
6.666666666666666297e-01,-1.133061944572339729e-16,6.000000000000001998e-01,-9.560581718032725718e-01,1.000000000000000000e+00
7.142857142857141906e-01,1.904817609175550516e-16,4.024163170260268707e-01,1.448335477900207502e-02,0.000000000000000000e+00
7.619047619047618625e-01,-1.563209231180561263e-16,2.271170050722777778e-01,-2.414258004426556199e-03,0.000000000000000000e+00
8.095238095238095344e-01,-1.036443759760278383e-16,1.702694164161211443e-02,2.990661893353438461e-01,0.000000000000000000e+00
8.571428571428570953e-01,-2.137320025113293821e-16,-1.207750943219356721e-01,-3.974907778471353237e-01,0.000000000000000000e+00
9.047619047619046562e-01,9.292256811189327482e-18,-1.644582446289138411e-01,9.383004889521017189e-01,1.000000000000000000e+00
9.523809523809523281e-01,-2.508213116405067194e-16,-1.910646609801032458e-01,-1.969222722543371384e+00,0.000000000000000000e+00
