kz_frac,chern_slice,gap_slice,wilson_winding,z2
0.000000000000000000e+00,1.164162118638796429e-17,-9.159339953157541458e-16,4.882370413701723755e-01,0.000000000000000000e+00
4.761904761904761640e-02,-4.428853511943140208e-17,-1.082467449009527627e-15,-1.269039110999777176e+00,1.000000000000000000e+00
9.523809523809523281e-02,-2.694418286738994201e-17,-7.771561172376095783e-16,-9.497768497837959512e-01,1.000000000000000000e+00
1.428571428571428492e-01,-1.638965826082203367e-17,-8.881784197001252323e-16,1.468506673965602305e+00,1.000000000000000000e+00
1.904761904761904656e-01,-1.068226345629272986e-16,-7.494005416219806648e-16,-2.018007737225202991e+00,0.000000000000000000e+00
2.380952380952380820e-01,-7.492434195156698721e-17,-5.828670879282071837e-16,3.767055714806892830e-01,0.000000000000000000e+00
2.857142857142856984e-01,1.411251712306459823e-16,-4.163336342344337027e-16,8.760789861025932712e-01,1.000000000000000000e+00
3.333333333333333148e-01,-1.993346048580463398e-16,-7.216449660063517513e-16,-5.882319970387954733e-01,1.000000000000000000e+00
3.809523809523809312e-01,-7.580103018037856163e-17,-2.775557561562891351e-16,-2.995385291459094823e+00,1.000000000000000000e+00
4.285714285714285476e-01,2.380180971978249248e-16,1.329748792524222956e-01,1.877558773522128410e+00,0.000000000000000000e+00
4.761904761904761640e-01,-1.522217804704858010e-16,3.103238876962894910e-01,-4.811989376130693108e-01,0.000000000000000000e+00
5.238095238095237249e-01,-1.219587911740551867e-16,3.103238876962904902e-01,9.078613516099438563e-01,1.000000000000000000e+00
5.714285714285713969e-01,1.734539592997660794e-16,1.329748792524222401e-01,-3.692382083579854868e-01,0.000000000000000000e+00
6.190476190476190688e-01,7.628408237203157176e-17,-6.661338147750939243e-16,2.472941920528394233e-01,0.000000000000000000e+00
6.666666666666666297e-01,-4.653162571801779847e-17,-8.881784197001252323e-16,-2.394441592440162303e+00,0.000000000000000000e+00
7.142857142857141906e-01,1.471085259453599954e-16,-9.159339953157541458e-16,-2.371092535973061063e-02,0.000000000000000000e+00
7.619047619047618625e-01,-2.347143167498703555e-17,-5.828670879282071837e-16,5.825571761054633146e-01,1.000000000000000000e+00
8.095238095238095344e-01,1.129809351422200280e-16,-7.771561172376095783e-16,-2.326285471938888794e+00,0.000000000000000000e+00
8.571428571428570953e-01,-1.272319634149771979e-16,-6.661338147750939243e-16,-1.410387563196924543e-01,0.000000000000000000e+00
9.047619047619046562e-01,3.784502059194375850e-18,-4.440892098500626162e-16,-4.690785004168863681e-01,0.000000000000000000e+00
9.523809523809523281e-01,9.238451976156908061e-17,-4.440892098500626162e-16,-6.733339974780381265e-01,1.000000000000000000e+00
