point_id,v,t,w,lm,soc_state,kz_frac,ribbon_nx,ribbon_nk,obc_nx,obc_ny,obc_total_modes,obc_min_abs_energy
v_0.10_soc_off,0.1,0.3,1.0,0.0,soc_off,0.0,40,121,12,12,1152,0.009415450055827551
v_0.10_soc_on,0.1,0.3,1.0,0.1,soc_on,0.0,40,121,12,12,1152,0.00295166605601234
v_0.30_soc_off,0.3,0.3,1.0,0.0,soc_off,0.0,40,121,12,12,1152,0.016906086035221347
v_0.30_soc_on,0.3,0.3,1.0,0.1,soc_on,0.0,40,121,12,12,1152,0.004359692619964122
v_0.50_soc_off,0.5,0.3,1.0,0.0,soc_off,0.0,40,121,12,12,1152,0.03777559580646942
v_0.50_soc_on,0.5,0.3,1.0,0.1,soc_on,0.0,40,121,12,12,1152,0.0072134258751639395
v_0.80_soc_off,0.8,0.3,1.0,0.0,soc_off,0.0,40,121,12,12,1152,0.028505965867127326
v_0.80_soc_on,0.8,0.3,1.0,0.1,soc_on,0.0,40,121,12,12,1152,0.0050073110617457365
v_1.00_soc_off,1.0,0.3,1.0,0.0,soc_off,0.0,40,121,12,12,1152,0.022598668580635622
v_1.00_soc_on,1.0,0.3,1.0,0.1,soc_on,0.0,40,121,12,12,1152,0.0025249728048148306
