point_id,v,t,w,lm,target_energy,selected_index,selected_energy,abs_delta,nx,ny,wavefunction_path,spectrum_path
v_0.10_soc_on,0.1,0.3,1.0,0.1,0.0,1604,0.0025431535428393176,0.0025431535428393176,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.10_soc_on/obc_wavefunction_target_E0p000.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.10_soc_on/obc_spectrum_e_vs_index_marked_E0p000.png
v_0.10_soc_on,0.1,0.3,1.0,0.1,0.1,1632,0.10306476045308448,0.0030647604530844724,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.10_soc_on/obc_wavefunction_target_E0p100.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.10_soc_on/obc_spectrum_e_vs_index_marked_E0p100.png
v_0.10_soc_on,0.1,0.3,1.0,0.1,0.2,1671,0.1789290773712324,0.021070922628767613,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.10_soc_on/obc_wavefunction_target_E0p200.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.10_soc_on/obc_spectrum_e_vs_index_marked_E0p200.png
v_0.10_soc_on,0.1,0.3,1.0,0.1,0.3,1672,0.3162277572915903,0.016227757291590317,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.10_soc_on/obc_wavefunction_target_E0p300.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.10_soc_on/obc_spectrum_e_vs_index_marked_E0p300.png
v_0.10_soc_on,0.1,0.3,1.0,0.1,0.4,1679,0.316227774742078,0.083772225257922,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.10_soc_on/obc_wavefunction_target_E0p400.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.10_soc_on/obc_spectrum_e_vs_index_marked_E0p400.png
v_0.10_soc_on,0.1,0.3,1.0,0.1,0.5,1680,0.5034034156408161,0.003403415640816143,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.10_soc_on/obc_wavefunction_target_E0p500.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.10_soc_on/obc_spectrum_e_vs_index_marked_E0p500.png
v_0.30_soc_on,0.3,0.3,1.0,0.1,0.0,1613,-0.00038352522974719665,0.00038352522974719665,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.30_soc_on/obc_wavefunction_target_E0p000.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.30_soc_on/obc_spectrum_e_vs_index_marked_E0p000.png
v_0.30_soc_on,0.3,0.3,1.0,0.1,0.1,1639,0.09479817323269626,0.005201826767303741,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.30_soc_on/obc_wavefunction_target_E0p100.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.30_soc_on/obc_spectrum_e_vs_index_marked_E0p100.png
v_0.30_soc_on,0.3,0.3,1.0,0.1,0.2,1664,0.201429684751872,0.0014296847518719957,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.30_soc_on/obc_wavefunction_target_E0p200.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.30_soc_on/obc_spectrum_e_vs_index_marked_E0p200.png
v_0.30_soc_on,0.3,0.3,1.0,0.1,0.3,1672,0.31621581878173166,0.016215818781731672,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.30_soc_on/obc_wavefunction_target_E0p300.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.30_soc_on/obc_spectrum_e_vs_index_marked_E0p300.png
v_0.30_soc_on,0.3,0.3,1.0,0.1,0.4,1679,0.3162397041000438,0.0837602958999562,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.30_soc_on/obc_wavefunction_target_E0p400.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.30_soc_on/obc_spectrum_e_vs_index_marked_E0p400.png
v_0.30_soc_on,0.3,0.3,1.0,0.1,0.5,1680,0.5160584624413423,0.016058462441342347,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.30_soc_on/obc_wavefunction_target_E0p500.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.30_soc_on/obc_spectrum_e_vs_index_marked_E0p500.png
v_0.50_soc_on,0.5,0.3,1.0,0.1,0.0,1621,-0.002051572877438984,0.002051572877438984,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.50_soc_on/obc_wavefunction_target_E0p000.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.50_soc_on/obc_spectrum_e_vs_index_marked_E0p000.png
v_0.50_soc_on,0.5,0.3,1.0,0.1,0.1,1646,0.10111377321945575,0.0011137732194557437,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.50_soc_on/obc_wavefunction_target_E0p100.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.50_soc_on/obc_spectrum_e_vs_index_marked_E0p100.png
v_0.50_soc_on,0.5,0.3,1.0,0.1,0.2,1662,0.20093781667287822,0.0009378166728782056,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.50_soc_on/obc_wavefunction_target_E0p200.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.50_soc_on/obc_spectrum_e_vs_index_marked_E0p200.png
v_0.50_soc_on,0.5,0.3,1.0,0.1,0.3,1672,0.3147132796581465,0.014713279658146505,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.50_soc_on/obc_wavefunction_target_E0p300.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.50_soc_on/obc_spectrum_e_vs_index_marked_E0p300.png
v_0.50_soc_on,0.5,0.3,1.0,0.1,0.4,1683,0.39893322465713,0.00106677534287003,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.50_soc_on/obc_wavefunction_target_E0p400.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.50_soc_on/obc_spectrum_e_vs_index_marked_E0p400.png
v_0.50_soc_on,0.5,0.3,1.0,0.1,0.5,1716,0.5013803854682535,0.0013803854682534755,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.50_soc_on/obc_wavefunction_target_E0p500.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.50_soc_on/obc_spectrum_e_vs_index_marked_E0p500.png
v_0.80_soc_on,0.8,0.3,1.0,0.1,0.0,1641,-0.0009945022199137144,0.0009945022199137144,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.80_soc_on/obc_wavefunction_target_E0p000.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.80_soc_on/obc_spectrum_e_vs_index_marked_E0p000.png
v_0.80_soc_on,0.8,0.3,1.0,0.1,0.1,1660,0.10803915322239684,0.00803915322239683,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.80_soc_on/obc_wavefunction_target_E0p100.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.80_soc_on/obc_spectrum_e_vs_index_marked_E0p100.png
v_0.80_soc_on,0.8,0.3,1.0,0.1,0.2,1669,0.19217218873372366,0.007827811266276352,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.80_soc_on/obc_wavefunction_target_E0p200.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.80_soc_on/obc_spectrum_e_vs_index_marked_E0p200.png
v_0.80_soc_on,0.8,0.3,1.0,0.1,0.3,1749,0.2987271623718671,0.0012728376281329057,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.80_soc_on/obc_wavefunction_target_E0p300.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.80_soc_on/obc_spectrum_e_vs_index_marked_E0p300.png
v_0.80_soc_on,0.8,0.3,1.0,0.1,0.4,1854,0.4010683949622549,0.0010683949622548594,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.80_soc_on/obc_wavefunction_target_E0p400.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.80_soc_on/obc_spectrum_e_vs_index_marked_E0p400.png
v_0.80_soc_on,0.8,0.3,1.0,0.1,0.5,1954,0.5001861788336668,0.00018617883366678356,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.80_soc_on/obc_wavefunction_target_E0p500.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_0.80_soc_on/obc_spectrum_e_vs_index_marked_E0p500.png
v_1.00_soc_on,1.0,0.3,1.0,0.1,-0.5,1365,-0.5023901267034725,0.002390126703472495,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_1.00_soc_on/obc_wavefunction_target_Em0p500.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_1.00_soc_on/obc_spectrum_e_vs_index_marked_Em0p500.png
v_1.00_soc_on,1.0,0.3,1.0,0.1,-0.4,1431,-0.4001190579748889,0.00011905797488886982,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_1.00_soc_on/obc_wavefunction_target_Em0p400.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_1.00_soc_on/obc_spectrum_e_vs_index_marked_Em0p400.png
v_1.00_soc_on,1.0,0.3,1.0,0.1,-0.3,1456,-0.291206148833232,0.008793851166768007,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_1.00_soc_on/obc_wavefunction_target_Em0p300.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_1.00_soc_on/obc_spectrum_e_vs_index_marked_Em0p300.png
v_1.00_soc_on,1.0,0.3,1.0,0.1,-0.2,1533,-0.20090074680164577,0.0009007468016457576,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_1.00_soc_on/obc_wavefunction_target_Em0p200.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_1.00_soc_on/obc_spectrum_e_vs_index_marked_Em0p200.png
v_1.00_soc_on,1.0,0.3,1.0,0.1,-0.1,1599,-0.10079920618650877,0.0007992061865087635,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_1.00_soc_on/obc_wavefunction_target_Em0p100.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_1.00_soc_on/obc_spectrum_e_vs_index_marked_Em0p100.png
v_1.00_soc_on,1.0,0.3,1.0,0.1,-0.0,1648,0.0013170479630087927,0.0013170479630087927,20,20,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_1.00_soc_on/obc_wavefunction_target_Em0p000.png,energy_sweep_user_spec_v1_neg_rest_pos_soc_on_lm0p1/v_1.00_soc_on/obc_spectrum_e_vs_index_marked_Em0p000.png
