v,case,P_x,P_y,gamma_x,gamma_y,interpretation
0.2,no_soc_block_4x4,0.5000000000000003,0.5000000000000003,3.1415926535897953,3.1415926535897953,"nontrivial SSH-like polarization (~1/2,1/2)"
0.2,soc_spin_up_block,0.49999999999999994,0.5,3.1415926535897927,3.141592653589793,"nontrivial SSH-like polarization (~1/2,1/2)"
0.2,soc_spin_down_block,0.49999999999999983,0.49999999999999994,3.1415926535897922,3.1415926535897927,"nontrivial SSH-like polarization (~1/2,1/2)"
0.2,soc_full_spinful_occ4,0.0,0.0,6.283185307179586,6.283185307179586,"trivial total polarization (~0,0)"
0.4,no_soc_block_4x4,0.5000000000000003,0.5000000000000004,3.1415926535897953,3.1415926535897962,"nontrivial SSH-like polarization (~1/2,1/2)"
0.4,soc_spin_up_block,0.5,0.4999999999999998,3.141592653589793,3.141592653589792,"nontrivial SSH-like polarization (~1/2,1/2)"
0.4,soc_spin_down_block,0.5,0.5,3.141592653589793,3.141592653589793,"nontrivial SSH-like polarization (~1/2,1/2)"
0.4,soc_full_spinful_occ4,4.278600088590752e-17,5.413170820569149e-18,2.6883237211930686e-16,3.401195536505334e-17,"trivial total polarization (~0,0)"
0.5,no_soc_block_4x4,0.49999999999999994,0.5000000000000003,3.1415926535897927,3.1415926535897953,"nontrivial SSH-like polarization (~1/2,1/2)"
0.5,soc_spin_up_block,0.49999999999999994,0.49999999999999994,3.1415926535897927,3.1415926535897927,"nontrivial SSH-like polarization (~1/2,1/2)"
0.5,soc_spin_down_block,0.5,0.49999999999999994,3.141592653589793,3.1415926535897927,"nontrivial SSH-like polarization (~1/2,1/2)"
0.5,soc_full_spinful_occ4,1.666269931097438e-17,3.395791586456967e-17,1.0469482748866563e-16,2.1336387802270473e-16,"trivial total polarization (~0,0)"
0.6,no_soc_block_4x4,0.5000000000000001,0.5000000000000002,3.1415926535897936,3.1415926535897944,"nontrivial SSH-like polarization (~1/2,1/2)"
0.6,soc_spin_up_block,0.49610897769282764,0.4961810976669796,3.1171446393994597,3.1175977825614054,"nontrivial SSH-like polarization (~1/2,1/2)"
0.6,soc_spin_down_block,0.4965641925016159,0.5033931121845141,3.1200048383976484,3.1629122062131443,"nontrivial SSH-like polarization (~1/2,1/2)"
0.6,soc_full_spinful_occ4,0.00013991621571568823,0.005150938352197267,0.0008791195108209818,0.032364300172713696,"trivial total polarization (~0,0)"
0.8,no_soc_block_4x4,0.5081967213114758,0.5081967213114755,3.1930941725011035,3.1930941725011017,"nontrivial SSH-like polarization (~1/2,1/2)"
0.8,soc_spin_up_block,0.5081967213114755,0.4918032786885245,3.1930941725011017,3.0900911346784845,"nontrivial SSH-like polarization (~1/2,1/2)"
0.8,soc_spin_down_block,0.4918032786885245,0.5081967213114755,3.0900911346784845,3.1930941725011017,"nontrivial SSH-like polarization (~1/2,1/2)"
0.8,soc_full_spinful_occ4,4.456361195595649e-17,3.90372895714122e-17,2.8000143187651836e-16,2.45278524267212e-16,"trivial total polarization (~0,0)"
1.0,no_soc_block_4x4,0.5081967213114753,0.5081967213114758,3.1930941725011004,3.1930941725011035,"nontrivial SSH-like polarization (~1/2,1/2)"
1.0,soc_spin_up_block,0.5081967213114755,0.4918032786885246,3.193094172501102,3.090091134678485,"nontrivial SSH-like polarization (~1/2,1/2)"
1.0,soc_spin_down_block,0.49180327868852464,0.5081967213114754,3.0900911346784854,3.1930941725011013,"nontrivial SSH-like polarization (~1/2,1/2)"
1.0,soc_full_spinful_occ4,6.624345161358711e-17,9.573527524805923e-17,4.1621988187535243e-16,6.015224748173992e-16,"trivial total polarization (~0,0)"
1.2,no_soc_block_4x4,0.008196721311475441,0.9918032786885242,0.05150151891130828,6.231683788268276,"trivial total polarization (~0,0)"
1.2,soc_spin_up_block,0.9918032786885245,0.008196721311475409,6.231683788268278,0.05150151891130808,"trivial total polarization (~0,0)"
1.2,soc_spin_down_block,0.008196721311475424,0.9918032786885245,0.05150151891130817,6.231683788268278,"trivial total polarization (~0,0)"
1.2,soc_full_spinful_occ4,4.3881873783006414e-17,0.0,2.7571794460489497e-16,6.283185307179586,"trivial total polarization (~0,0)"
