v,direction,scan_param,center_index,wannier_center
0.1,x,-3.141592653589793,0,0.14894526742303327
0.1,x,-3.141592653589793,1,0.4100587315495042
0.1,x,-3.141592653589793,2,0.5795649855159621
0.1,x,-3.141592653589793,3,0.8614310155115004
0.1,x,-3.0640224646122673,0,0.07832766320666515
0.1,x,-3.0640224646122673,1,0.3097927966343208
0.1,x,-3.0640224646122673,2,0.6737773214863516
0.1,x,-3.0640224646122673,3,0.9381022186726617
0.1,x,-2.9864522756347416,0,0.2527593920810476
0.1,x,-2.9864522756347416,1,0.3976648504031994
0.1,x,-2.9864522756347416,2,0.6017343694773044
0.1,x,-2.9864522756347416,3,0.7478413880384488
0.1,x,-2.908882086657216,0,0.24688888571068746
0.1,x,-2.908882086657216,1,0.3735327731805798
0.1,x,-2.908882086657216,2,0.6264487086606918
0.1,x,-2.908882086657216,3,0.753129632448041
0.1,x,-2.83131189767969,0,0.12650936783358085
0.1,x,-2.83131189767969,1,0.39263936202439226
0.1,x,-2.83131189767969,2,0.6085374174999635
0.1,x,-2.83131189767969,3,0.8723138526420631
0.1,x,-2.7537417087021643,0,0.1649329477507039
0.1,x,-2.7537417087021643,1,0.2892963382870535
0.1,x,-2.7537417087021643,2,0.7048080109322076
0.1,x,-2.7537417087021643,3,0.8409627030300355
0.1,x,-2.6761715197246385,0,0.2589752737475545
0.1,x,-2.6761715197246385,1,0.3101662826897492
0.1,x,-2.6761715197246385,2,0.6720316844187946
0.1,x,-2.6761715197246385,3,0.758826759143902
0.1,x,-2.5986013307471127,0,0.26082741815115423
0.1,x,-2.5986013307471127,1,0.35301930260173514
0.1,x,-2.5986013307471127,2,0.6370916914522005
0.1,x,-2.5986013307471127,3,0.7490615877949104
0.1,x,-2.521031141769587,0,0.31107832886402587
0.1,x,-2.521031141769587,1,0.3443790710967882
0.1,x,-2.521031141769587,2,0.6447350070259725
0.1,x,-2.521031141769587,3,0.699807593013213
0.1,x,-2.443460952792061,0,0.06155996019283411
0.1,x,-2.443460952792061,1,0.3391266281597793
0.1,x,-2.443460952792061,2,0.6437752169745536
0.1,x,-2.443460952792061,3,0.9555381946728333
0.1,x,-2.3658907638145354,0,0.18782314602776376
0.1,x,-2.3658907638145354,1,0.39978480861311483
0.1,x,-2.3658907638145354,2,0.6195774079218173
0.1,x,-2.3658907638145354,3,0.7928146374373042
0.1,x,-2.2883205748370097,0,0.14967593607632254
0.1,x,-2.2883205748370097,1,0.3782928934255263
0.1,x,-2.2883205748370097,2,0.6235224891680768
0.1,x,-2.2883205748370097,3,0.8485086813300747
0.1,x,-2.210750385859484,0,0.10529660143874363
0.1,x,-2.210750385859484,1,0.1374250370742083
0.1,x,-2.210750385859484,2,0.8543411055373722
0.1,x,-2.210750385859484,3,0.9029372559496763
0.1,x,-2.133180196881958,0,0.1586301882519863
0.1,x,-2.133180196881958,1,0.26843546080773767
0.1,x,-2.133180196881958,2,0.7274647627170931
0.1,x,-2.133180196881958,3,0.8454695882231831
0.1,x,-2.0556100079044324,0,0.17406300050476975
0.1,x,-2.0556100079044324,1,0.2812625574656878
0.1,x,-2.0556100079044324,2,0.7258951578210615
0.1,x,-2.0556100079044324,3,0.8187792842084805
0.1,x,-1.9780398189269068,0,0.20333087410598638
0.1,x,-1.9780398189269068,1,0.3167132391137586
0.1,x,-1.9780398189269068,2,0.6837228417850032
0.1,x,-1.9780398189269068,3,0.7962330449952519
0.1,x,-1.900469629949381,0,0.21716415339488823
0.1,x,-1.900469629949381,1,0.32200896123241746
