v,direction,estimated_z2,crossing_parity,wannier_sector_gap,t,w,lm
0.1,x,0,0,0.04849127754365784,0.3,1.0,0.1
0.1,y,0,0,0.08075229548308915,0.3,1.0,0.1
0.2,x,0,0,0.06257698208844636,0.3,1.0,0.1
0.2,y,0,0,0.03396772885983179,0.3,1.0,0.1
0.3,x,0,0,0.11790157369444787,0.3,1.0,0.1
0.3,y,0,0,0.09241010742502681,0.3,1.0,0.1
0.4,x,0,0,0.06455768244037574,0.3,1.0,0.1
0.4,y,0,0,0.055144233094789274,0.3,1.0,0.1
0.5,x,0,0,0.09863533385038908,0.3,1.0,0.1
0.5,y,0,0,0.08901364490363534,0.3,1.0,0.1
0.6,x,0,0,0.15834233895811062,0.3,1.0,0.1
0.6,y,0,0,0.12241507947987335,0.3,1.0,0.1
0.7,x,0,0,0.10226786659133008,0.3,1.0,0.1
0.7,y,0,0,0.08988658938297611,0.3,1.0,0.1
0.8,x,0,0,0.08384158411153475,0.3,1.0,0.1
0.8,y,0,0,0.09045524316078368,0.3,1.0,0.1
