v,t,z2_flips,min_abs_gap,has_edge,has_corner,z2_pattern
0.8,1.0,9,4.163336342344337e-16,1,0,0-1-0-1-0-1-0-1-1-0-1
0.2,0.3,9,1.2212453270876722e-15,1,1,0-0-1-0-1-0-1-0-1-0-1
0.5,0.1,8,2.220446049250313e-16,1,0,1-0-1-0-1-0-1-0-0-0-1
0.5,0.3,8,2.914335439641036e-16,1,0,0-1-0-1-0-1-1-0-0-1-0
0.9,0.5,8,5.273559366969494e-16,1,0,0-1-0-0-1-0-1-0-1-0-0
0.1,0.6,8,5.412337245047638e-16,1,0,1-0-1-1-0-1-0-1-1-0-1
1.0,0.1,8,5.54295646180894e-16,1,0,0-1-0-1-0-0-1-0-1-1-0
0.1,0.0,8,6.245004513516506e-16,1,0,0-1-1-0-1-0-1-1-0-1-0
0.9,0.3,8,8.743006318923108e-16,1,0,0-0-1-0-1-0-1-1-0-1-0
0.8,0.6,8,9.159339953157541e-16,1,0,0-1-0-0-0-1-0-1-0-1-0
0.2,0.2,8,1.1934897514720433e-15,1,1,1-0-1-0-1-0-0-1-0-1-1
0.1,1.0,8,2.6922908347160046e-15,1,1,0-0-1-0-1-1-0-1-0-1-0
