point_id,v,t,lm,gap,chern,z2,edge_state,corner_state,Wilson_loop,category
v_0p00_t_0p00_lm_0p30,0.0,0.0,0.3,0.7999999999999996,-6.532765346004787e-17,1,0,0,-0.8519746806191896,robust_nontrivial
v_0p00_t_0p00_lm_0p50,0.0,0.0,0.5,-7.363859260972749e-16,-6.702605395988921e-17,1,1,0,0.5327187784318699,near_transition
v_0p00_t_0p10_lm_0p00,0.0,0.1,0.0,1.5999999999999999,-9.67504695710789e-18,1,0,0,-1.3345358240219445,robust_nontrivial
v_0p00_t_0p10_lm_0p20,0.0,0.1,0.2,1.1999999999999988,2.3709562766312036e-16,1,0,0,-0.5705605413630981,robust_nontrivial
v_0p00_t_0p10_lm_0p30,0.0,0.1,0.3,0.7999999999999996,-2.417462511125848e-16,1,0,0,1.1507439095453218,robust_nontrivial
v_0p00_t_0p10_lm_0p50,0.0,0.1,0.5,-1.5574709561725398e-15,-4.604860674960462e-17,0,1,0,-0.37580973555342745,near_transition
v_0p00_t_0p20_lm_0p40,0.0,0.2,0.4,0.3999999999999986,-1.99012509186665e-16,1,0,0,-1.2133855291587727,robust_nontrivial
v_0p00_t_0p20_lm_0p50,0.0,0.2,0.5,-3.530832067218416e-16,1.6641841791843937e-17,1,1,0,1.4638840399105955,near_transition
v_0p00_t_0p30_lm_0p20,0.0,0.3,0.2,0.7999999999999992,2.025988406036526e-16,1,0,0,-0.7630142659762528,robust_nontrivial
v_0p00_t_0p30_lm_0p30,0.0,0.3,0.3,0.7999999999999978,2.9113461302435073e-16,1,0,0,-0.678994589928174,robust_nontrivial
v_0p00_t_0p30_lm_0p50,0.0,0.3,0.5,-1.004296187742555e-15,1.8338134182188512e-17,1,1,0,-0.6340322954321765,near_transition
v_0p00_t_0p40_lm_0p00,0.0,0.4,0.0,0.39999999999999997,-2.0497236728423833e-16,1,0,0,-1.3353256030612484,robust_nontrivial
v_0p00_t_0p40_lm_0p20,0.0,0.4,0.2,0.3999999999999996,1.6369465297987095e-16,1,0,0,-0.5878034273007252,robust_nontrivial
v_0p00_t_0p40_lm_0p40,0.0,0.4,0.4,0.39999999999999863,1.3131176276461965e-16,1,0,0,-1.1068287575415723,robust_nontrivial
v_0p00_t_0p40_lm_0p50,0.0,0.4,0.5,-1.1085075567806953e-15,5.676183955366663e-18,0,1,0,0.3347452516789598,near_transition
v_0p00_t_0p50_lm_0p00,0.0,0.5,0.0,-9.246520377345352e-16,-3.7048668475748467e-16,1,1,0,0.8181682331875754,near_transition
v_0p00_t_0p50_lm_0p10,0.0,0.5,0.1,-7.886446013010754e-16,-2.407398467897228e-17,0,1,0,-0.056844590910076626,near_transition
v_0p00_t_0p50_lm_0p20,0.0,0.5,0.2,-4.379148013447344e-16,-1.1033355161495256e-16,0,1,0,0.0930502264234026,near_transition
v_0p00_t_0p50_lm_0p30,0.0,0.5,0.3,-6.449025199889795e-16,7.19862601764885e-17,1,1,0,0.5061749983079312,near_transition
v_0p00_t_0p50_lm_0p40,0.0,0.5,0.4,-8.308121764321789e-16,-1.781497682412701e-16,0,1,0,-0.35844784555070214,near_transition
v_0p00_t_0p50_lm_0p50,0.0,0.5,0.5,-2.6795375277751073e-16,1.4135798584282297e-16,0,1,0,0.2933593169662377,near_transition
v_0p00_t_0p50_lm_0p60,0.0,0.5,0.6,-1.1914127323494468e-15,1.5771285909345101e-16,0,1,0,0.3745342663245995,near_transition
v_0p00_t_0p50_lm_0p70,0.0,0.5,0.7,-1.1962979246705728e-15,9.762218870655961e-17,1,1,0,-0.5398870240603811,near_transition
v_0p00_t_0p50_lm_0p80,0.0,0.5,0.8,-1.1280113548301116e-15,-9.99371540438111e-17,1,1,0,0.631949971523897,near_transition
v_0p00_t_0p50_lm_0p90,0.0,0.5,0.9,-1.6362684672787278e-15,4.12752661581336e-18,0,1,0,0.47488574044740917,near_transition
v_0p00_t_0p50_lm_1p00,0.0,0.5,1.0,-6.01212569936255e-16,4.240460254549275e-16,0,1,0,-0.20003771869641676,near_transition
v_0p00_t_0p60_lm_0p50,0.0,0.6,0.5,-1.4025366375646498e-15,1.474862003100784e-16,1,1,0,0.5616352479006702,near_transition
v_0p00_t_0p70_lm_0p50,0.0,0.7,0.5,-6.232455619048058e-16,7.2779861607314e-17,1,1,0,-1.3787250353418985,near_transition
v_0p00_t_0p70_lm_0p70,0.0,0.7,0.7,0.7999999999999972,-1.9534229754466014e-16,1,0,0,-1.3751427353186183,robust_nontrivial
v_0p00_t_0p80_lm_0p50,0.0,0.8,0.5,-6.993653380750374e-16,8.763584161255247e-17,1,1,0,-0.6878255376369663,near_transition
v_0p00_t_0p80_lm_0p60,0.0,0.8,0.6,0.3999999999999981,1.2915798501329243e-16,1,0,0,1.4106400818771505,robust_nontrivial
v_0p00_t_0p80_lm_0p80,0.0,0.8,0.8,1.1999999999999966,-1.1425906226296515e-16,1,0,0,-1.1701659908383268,robust_nontrivial
v_0p00_t_0p90_lm_0p50,0.0,0.9,0.5,-1.4460599658788308e-15,4.818734426753346e-18,0,1,0,-0.19568608386933456,near_transition
v_0p00_t_0p90_lm_0p60,0.0,0.9,0.6,0.3999999999999978,1.4020925416035283e-17,1,0,0,0.6662689702880875,robust_nontrivial
v_0p00_t_0p90_lm_0p90,0.0,0.9,0.9,1.5999999999999983,-4.8894296068776723e-17,1,0,0,1.3479005063116893,robust_nontrivial
v_0p00_t_0p90_lm_1p00,0.0,0.9,1.0,1.5999999999999988,1.7726699916966477e-16,1,0,0,-0.5110402316821214,robust_nontrivial
v_0p00_t_1p00_lm_0p50,0.0,1.0,0.5,-8.094233822648517e-16,-2.118910503807396e-16,1,1,0,-0.8608169042187525,near_transition
v_0p00_t_1p00_lm_0p60,0.0,1.0,0.6,0.39999999999999897,-4.3210944280165137e-16,1,0,0,0.5902080108040996,robust_nontrivial
v_0p00_t_1p00_lm_0p70,0.0,1.0,0.7,0.7999999999999999,-4.2811018445494003e-17,1,0,0,0.6292284921630376,robust_nontrivial
v_0p00_t_1p00_lm_0p90,0.0,1.0,0.9,1.599999999999998,-8.469297856465105e-17,1,0,0,0.7724417933602665,robust_nontrivial
v_0p00_t_1p00_lm_1p00,0.0,1.0,1.0,1.9999999999999973,6.241054372055545e-16,1,0,0,-0.5817268995979709,robust_nontrivial
v_0p10_t_0p00_lm_0p10,0.1,0.0,0.1,1.5999999999999983,-2.0223538640844025e-16,1,0,0,-1.417957723665815,robust_nontrivial
v_0p10_t_0p00_lm_0p20,0.1,0.0,0.2,1.2000000000000002,-1.1238166465319982e-16,1,0,0,-1.1784689122227585,robust_nontrivial
v_0p10_t_0p00_lm_0p40,0.1,0.0,0.4,0.3999999999999997,1.9252448720539415e-16,1,0,0,-1.1558199552089141,robust_nontrivial
v_0p10_t_0p00_lm_0p50,0.1,0.0,0.5,-6.245004513516506e-16,3.371936156982024e-16,0,1,0,-0.20132643548368223,near_transition
v_0p10_t_0p10_lm_0p10,0.1,0.1,0.1,1.3999999999999995,-1.160911913275276e-16,1,0,0,0.9310908386479746,robust_nontrivial
v_0p10_t_0p10_lm_0p20,0.1,0.1,0.2,1.1999999999999993,1.9732883602240397e-16,1,0,0,0.5688628739925511,robust_nontrivial
v_0p10_t_0p10_lm_0p50,0.1,0.1,0.5,-7.632783294297951e-16,-4.253384386872911e-16,0,1,0,0.33994792577951655,near_transition
v_0p10_t_0p20_lm_0p30,0.1,0.2,0.3,0.7999999999999994,2.960510077213938e-16,1,0,0,0.6208228234295758,robust_nontrivial
v_0p10_t_0p20_lm_0p50,0.1,0.2,0.5,-8.187894806610529e-16,-4.544476810633449e-16,0,1,0,-2.4783568909875315,near_transition
v_0p10_t_0p30_lm_0p00,0.1,0.3,0.0,0.7999999999999995,-3.7431712335864163e-16,1,0,0,0.8859746242461766,robust_nontrivial
v_0p10_t_0p30_lm_0p10,0.1,0.3,0.1,0.7999999999999992,-4.1379116279214246e-16,1,0,0,0.8244555536973842,robust_nontrivial
v_0p10_t_0p30_lm_0p30,0.1,0.3,0.3,0.6000000000000002,-2.7201237138689678e-16,1,0,0,-0.542063410452397,robust_nontrivial
v_0p10_t_0p30_lm_0p50,0.1,0.3,0.5,-3.191891195797325e-16,-1.0267108923583294e-16,0,1,0,0.15930030255718708,near_transition
v_0p10_t_0p40_lm_0p00,0.1,0.4,0.0,0.3999999999999998,-4.9248809676141757e-17,1,0,0,-0.8078072060707142,robust_nontrivial
v_0p10_t_0p40_lm_0p20,0.1,0.4,0.2,0.39999999999999897,4.051397088087518e-17,1,0,0,1.150614016674911,robust_nontrivial
v_0p10_t_0p40_lm_0p40,0.1,0.4,0.4,0.19999999999999987,6.000075488936758e-17,1,0,0,1.397496941443046,robust_nontrivial
v_0p10_t_0p40_lm_0p50,0.1,0.4,0.5,-5.134781488891349e-16,-4.245039187804541e-16,1,1,0,-0.5938114906482588,near_transition
v_0p10_t_0p50_lm_0p00,0.1,0.5,0.0,-5.134781488891349e-16,3.0546141936642807e-16,0,1,0,0.3011817037803562,near_transition
v_0p10_t_0p50_lm_0p10,0.1,0.5,0.1,-1.942890293094024e-16,2.7282639788229126e-16,1,1,0,0.6175666985788765,near_transition
v_0p10_t_0p50_lm_0p20,0.1,0.5,0.2,-2.914335439641036e-16,-2.998866038743381e-16,1,1,0,0.5946346269688292,near_transition
v_0p10_t_0p50_lm_0p30,0.1,0.5,0.3,-6.661338147750939e-16,2.0070266836923647e-17,1,1,0,-0.9531605393250204,near_transition
v_0p10_t_0p50_lm_0p40,0.1,0.5,0.4,1.249000902703301e-16,8.288303077384546e-17,0,1,0,-1.8252483865949323,near_transition
v_0p10_t_0p50_lm_0p50,0.1,0.5,0.5,0.19999999999999912,9.637548488926414e-17,1,0,0,-1.0835185594334453,robust_nontrivial
v_0p10_t_0p50_lm_0p60,0.1,0.5,0.6,-1.27675647831893e-15,0.0,0,1,0,1.8911452472888688,near_transition
v_0p10_t_0p50_lm_0p70,0.1,0.5,0.7,-9.575673587391975e-16,7.520654459227807e-17,0,1,0,0.14779555113536397,near_transition
v_0p10_t_0p50_lm_0p80,0.1,0.5,0.8,-5.828670879282072e-16,-1.0259538311400225e-16,1,1,0,0.7930567127957604,near_transition
v_0p10_t_0p50_lm_0p90,0.1,0.5,0.9,-9.853229343548264e-16,2.6142731719918853e-16,0,1,0,-0.2330616663611494,near_transition
v_0p10_t_0p50_lm_1p00,0.1,0.5,1.0,-2.2343238370581275e-15,-1.8963679815708652e-16,0,1,0,-0.30756013109496205,near_transition
