center_rank,center_point_id,v,t,lm,w,gap,chern,obc_min_abs_energy,obc_count_absE_le_0p02
2.0,v_1p10_t_0p50_lm_0p20,0.9,0.5,0.0,1.1,-3.608224830031759e-16,-5.363453357158059e-17,0.00023916166048921865,6.0
2.0,v_1p10_t_0p50_lm_0p20,0.9,0.5,0.04,1.1,0.08290525431697793,1.855743616263725e-17,0.004976474149343393,6.0
2.0,v_1p10_t_0p50_lm_0p20,0.9,0.5,0.08,1.1,0.17157545852721912,2.636784071481975e-16,0.0024693363547466244,6.0
2.0,v_1p10_t_0p50_lm_0p20,0.9,0.5,0.12,1.1,0.26587743560300475,2.5226046735065674e-16,0.0007205635881443926,2.0
2.0,v_1p10_t_0p50_lm_0p20,0.9,0.5,0.16,1.1,0.3656002793295742,-6.469342948315194e-17,0.005605220804396347,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.9,0.5,0.2,1.1,0.47046999107196186,-1.3580509979176279e-17,0.005635109936104917,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.9,0.5,0.24,1.1,0.5801666550941995,-8.556226669873828e-17,0.0004995285189957413,6.0
2.0,v_1p10_t_0p50_lm_0p20,0.9,0.5,0.28,1.1,0.6943419299367567,-1.29186054989401e-16,0.0051179215155535565,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.9,0.5,0.32,1.1,0.8126350615946409,2.1065437364951382e-16,0.007923420794187864,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.9,0.5,0.36,1.1,0.9346862743635832,3.280163650792219e-17,0.008641441401314634,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.9,0.5,0.4,1.1,1.046753925605393,8.586591063202152e-17,0.006936799632527964,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.94,0.5,0.0,1.06,-6.522560269672795e-16,1.568155483191535e-16,0.016809652069974763,8.0
2.0,v_1p10_t_0p50_lm_0p20,0.94,0.5,0.04,1.06,0.08301458127346373,1.5441352187363834e-16,0.012487347524839446,6.0
2.0,v_1p10_t_0p50_lm_0p20,0.94,0.5,0.08,1.06,0.172007462660591,-1.0188494413674852e-17,0.00928091602423244,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.94,0.5,0.12,1.06,0.2668302535354809,6.38350945033019e-18,0.004086859161833547,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.94,0.5,0.16,1.06,0.3672488428533117,4.192287496085037e-17,0.006128804521192069,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.94,0.5,0.2,1.06,0.4729607230614828,-4.009489367237669e-17,0.0017578773869845548,6.0
2.0,v_1p10_t_0p50_lm_0p20,0.94,0.5,0.24,1.06,0.5836150566231071,-7.623493730967255e-17,0.006638021663077639,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.94,0.5,0.28,1.06,0.6988327656516558,1.377981327557677e-16,0.003236809762611238,6.0
2.0,v_1p10_t_0p50_lm_0p20,0.94,0.5,0.32,1.06,0.815482233928877,-1.0115012841145125e-16,0.0012002642810157206,6.0
2.0,v_1p10_t_0p50_lm_0p20,0.94,0.5,0.36,1.06,0.858663176927055,5.592134997685964e-17,0.003447277975993135,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.94,0.5,0.4,1.06,0.9052637226384709,1.635062804216023e-16,0.003241273435176667,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.98,0.5,0.0,1.02,-9.020562075079397e-16,-1.502329806337493e-16,0.0025134995110471375,6.0
2.0,v_1p10_t_0p50_lm_0p20,0.98,0.5,0.04,1.02,0.08313244499429265,1.928441525696215e-16,0.002608694512864141,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.98,0.5,0.08,1.02,0.17247275993122288,-8.116756151168672e-17,0.00873522201149234,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.98,0.5,0.12,1.02,0.26785495179437807,2.9340566173821457e-18,0.006500637464145249,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.98,0.5,0.16,1.02,0.36901824119142057,1.2817507927096334e-16,0.0029213923075005633,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.98,0.5,0.2,1.02,0.47562767398418543,-9.647075056002729e-17,0.0004289353708902943,6.0
2.0,v_1p10_t_0p50_lm_0p20,0.98,0.5,0.24,1.02,0.5872976536833548,1.8834404260874394e-16,0.004972568387559905,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.98,0.5,0.28,1.02,0.632040763476636,-1.9528510065329046e-16,0.003799233849303584,6.0
2.0,v_1p10_t_0p50_lm_0p20,0.98,0.5,0.32,1.02,0.6725851647327556,-1.7945846778136962e-17,0.005585022266778314,4.0
2.0,v_1p10_t_0p50_lm_0p20,0.98,0.5,0.36,1.02,0.7169448296546159,2.0824927560794442e-16,0.0017742590015067635,6.0
2.0,v_1p10_t_0p50_lm_0p20,0.98,0.5,0.4,1.02,0.7647281407014306,7.817857760943199e-17,0.0004730746485716174,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.02,0.5,0.0,0.98,-5.204170427930421e-16,3.0884201179384637e-16,0.003042034565174956,10.0
2.0,v_1p10_t_0p50_lm_0p20,1.02,0.5,0.04,0.98,0.08325988426254692,1.4190491987992748e-17,0.006858243597896243,4.0
2.0,v_1p10_t_0p50_lm_0p20,1.02,0.5,0.08,0.98,0.17297532698451254,-2.1758926855564486e-17,0.006481321409303412,4.0
2.0,v_1p10_t_0p50_lm_0p20,1.02,0.5,0.12,0.98,0.26895986045035425,1.644047891781433e-16,0.005546812746353245,4.0
2.0,v_1p10_t_0p50_lm_0p20,1.02,0.5,0.16,0.98,0.3709219175087896,2.851512955460923e-17,0.004699408387839927,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.02,0.5,0.2,0.98,0.41863233964690943,1.2496189624714392e-16,0.0015653616081199146,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.02,0.5,0.24,0.98,0.45138067911126745,-1.576095718662334e-16,0.0021826305254037774,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.02,0.5,0.28,0.98,0.4888589346167669,9.700457701543307e-17,0.005893719159788703,4.0
2.0,v_1p10_t_0p50_lm_0p20,1.02,0.5,0.32,0.98,0.530612840926933,4.079357752091946e-17,0.0024747939002380476,6.0
