termination,v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,max_position_x,max_position_y,classification,in_gap_window,bulk_gap_used,window_status
B,0.5,10,10,394,-0.07917796857000967,0.07917796857000967,0.4359286361279521,0.5552079306975978,0.008863433174448918,9,1,bulk_or_mixed_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,395,-0.07917796857000926,0.07917796857000926,0.43592863612794974,0.5552079306976012,0.008863433174448347,9,8,bulk_or_mixed_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,396,-0.06764521677486895,0.06764521677486895,0.34445243266497694,0.6269033002132169,0.028644267121806167,1,0,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,397,-0.06764521677486883,0.06764521677486883,0.34445243266497294,0.6269033002132229,0.028644267121805775,1,0,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,398,-0.06419827680974813,0.06419827680974813,0.3296344925049813,0.6413442060948733,0.02902130140014601,1,9,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,399,-0.0641982768097479,0.0641982768097479,0.32963449250498256,0.6413442060948716,0.0290213014001458,8,9,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,400,-0.046172097327182124,0.046172097327182124,0.3703426726355854,0.6237549568158174,0.005902370548596346,9,1,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,401,-0.04617209732718209,0.04617209732718209,0.37034267263558374,0.6237549568158204,0.00590237054859639,9,8,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,402,-0.0439897124515002,0.0439897124515002,0.39132807532819003,0.5829548978304412,0.025717026841368583,0,8,bulk_or_mixed_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,403,-0.0439897124515,0.0439897124515,0.39132807532818953,0.582954897830443,0.025717026841368052,0,8,bulk_or_mixed_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,404,-0.02689953045780336,0.02689953045780336,0.35266742897652004,0.6077766391396162,0.03955593188386365,8,0,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,405,-0.026899530457803293,0.026899530457803293,0.3526674289765203,0.6077766391396169,0.039555931883863665,1,9,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,406,-0.021185231995650033,0.021185231995650033,0.34560101418706424,0.624160626977893,0.030238358835042972,1,0,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,407,-0.02118523199564993,0.02118523199564993,0.3456010141870629,0.624160626977894,0.0302383588350432,8,0,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,408,0.00027502683569968333,0.00027502683569968333,0.3055575003444133,0.673056561559807,0.021385938095779274,9,7,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,409,0.0002750268357000401,0.0002750268357000401,0.3055575003444132,0.6730565615598076,0.021385938095779104,0,2,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,410,0.0009746238632006678,0.0009746238632006678,0.31835586294161156,0.6729693146902107,0.008674822368177808,0,2,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,411,0.0009746238632011129,0.0009746238632011129,0.31835586294161206,0.6729693146902099,0.008674822368177848,9,7,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,412,0.026284711211269345,0.026284711211269345,0.3131420843225411,0.6508752598547656,0.03598265582269423,1,0,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,413,0.02628471121126938,0.02628471121126938,0.3131420843225414,0.6508752598547638,0.03598265582269452,1,9,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,414,0.03850923539437103,0.03850923539437103,0.34832417997324716,0.6087333324638069,0.04294248756294757,1,0,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,415,0.03850923539437113,0.03850923539437113,0.3483241799732456,0.6087333324638067,0.0429424875629477,1,9,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,416,0.06271042612509312,0.06271042612509312,0.2314686381560186,0.723379687018308,0.04515167482567425,9,3,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,417,0.06271042612509328,0.06271042612509328,0.23146863815601898,0.7233796870183081,0.04515167482567378,0,3,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,418,0.06790724808755817,0.06790724808755817,0.3120540806349534,0.6766819321476852,0.011263987217361552,0,6,edge_state,0.07999999999999981,0.1999999999999995,ok
B,0.5,10,10,419,0.06790724808755824,0.06790724808755824,0.31205408063495194,0.6766819321476867,0.011263987217361585,9,3,edge_state,0.07999999999999981,0.1999999999999995,ok
