ky,largest_gap_size,largest_gap_center_mod,largest_gap_index,centers_sorted
0.0,0.3251862457298388,0.000219928908680167,3,0.1628130517735997;0.3937458930042412;0.6058142491783984;0.8376268060437609
0.06283185307179587,0.4148729290110269,0.0008122556609930776,3,0.2082487201665065;0.3274082080357486;0.6709672806422655;0.7933757911554795
0.12566370614359174,0.3160896998593458,0.49978191619892764,1,0.1576005956303004;0.3417370662692548;0.6578267661286006;0.8428355719718439
0.1884955592153876,0.6838989369924511,0.9956478048315621,3,0.3375972733277876;0.4472482951230963;0.5614560952137788;0.6536983363353366
0.25132741228718347,0.5083648328519774,0.494529952540796,1,0.1873102559483534;0.2403475361148072;0.7487123689667847;0.8236298389700547
0.3141592653589793,0.3320008978038942,0.001768001730184432,3,0.1677684506321315;0.4227514114305078;0.5737125851091234;0.8357675528282373
0.3769911184307752,0.7264581458084971,0.0009758904431986792,3,0.3642049633474473;0.4032963588735843;0.5947518602400177;0.6377468175389502
0.4398229715025711,0.5838547084577832,0.4989782472276465,1,0.1558233792445058;0.2070508929987549;0.7909056014565381;0.8462201263002020
0.5026548245743669,0.45352066109553224,0.4987360729912389,1,0.2107454212152586;0.2719757424434728;0.7254964035390050;0.7917824328022642
0.5654866776461628,0.5337369111655358,0.4992564258224738,1,0.1437332821455262;0.2323879702397059;0.7661248814052417;0.8577538662095272
0.6283185307179586,0.6802394609949491,0.0010384070889841723,3,0.3411581375864587;0.3814642514171744;0.6164589344048585;0.6609186765915096
0.6911503837897546,0.6062621594122499,0.4957255623933091,1,0.0632502608068539;0.1925944826871842;0.7988566420994341;0.9452986144065285
0.7539822368615504,0.34018855034177653,0.5005381487853595,1,0.1585772890706431;0.3304438736144713;0.6706324239562478;0.8403464133586387
0.8168140899333463,0.45378255441127147,0.9994116409934792,3,0.2263029181991149;0.3057165300264990;0.6954601879865434;0.7725203637878435
0.8796459430051422,0.4914144631109718,0.5001492951556946,1,0.1596645771401800;0.2544420636002087;0.7458565267111805;0.8400368325484306
0.942477796076938,0.4711338150835751,0.5003795221276778,1,0.1636583990130011;0.2648126145858902;0.7359464296694653;0.8355825567316435
1.0053096491487339,0.6467624744451395,0.9974136171789396,3,0.3207948544015092;0.4139996966283155;0.5911730690138057;0.6740323799563699
1.0681415022205298,0.5691213986263276,0.4976722963648235,1,0.1017060365314419;0.2131115970516597;0.7822329956779873;0.9029493707389118
1.1309733552923256,0.3505500143902035,0.5042803528272166,1,0.1613712318044715;0.3290053456321149;0.6795553600223184;0.8300680625410952
1.1938052083641215,0.45244008934827695,0.0013592608005816853,3,0.2275793054747202;0.3259196010446703;0.6713618773541667;0.7751392161264432
1.2566370614359172,0.6657094918792259,0.4928976583536788,1,0.1487069942391219;0.1600429124140659;0.8257524042932918;0.8654976890535206
1.3194689145077132,0.49363652817841785,0.4975439753943536,1,0.1474608964686848;0.2507257113051446;0.7443622394835625;0.8574511527426076
1.3823007675795091,0.5427738642262043,0.9906474668465501,3,0.2620343989596523;0.3426870875412302;0.6760179787656697;0.7192605347334480
1.4451326206513049,0.47089322300725733,0.013106031303531385,3,0.2485526428071601;0.2841562923503833;0.6896316450425541;0.7776594197999027
1.5079644737231008,0.4736020816552273,0.4943486731670582,1,0.2125679526694935;0.2575476323394446;0.7311497139946719;0.7987347009963893
1.5707963267948968,0.5742038952977147,0.4977860137695397,1,0.1561351261863437;0.2106840661206824;0.7848879614183970;0.8482928462745766
1.6336281798666925,0.38136451624793444,0.9982908706172734,3,0.1889731287412406;0.3249836447379804;0.6784346140274726;0.8076086124933062
1.6964600329384885,0.5264274434380618,0.4936785151408565,1,0.1585649027456507;0.2304647934218256;0.7568922368598874;0.8540780669726353
1.7592918860102844,0.40672101052539134,0.9883637015800222,3,0.1917242068427178;0.3101120028264530;0.7131605940135023;0.7850031963173265
1.8221237390820801,0.45872159980201954,0.0017194946792322696,3,0.2310802945802419;0.2972200085639318;0.6993410020776034;0.7723586947782224
1.884955592153876,0.5430076918332785,0.006671891268531072,3,0.2781757371851703;0.3813853048849999;0.6052709125779372;0.7351680453518918
1.9477874452256718,0.5012532186457955,0.49856769725819633,1,0.1198125830955916;0.2479410879352986;0.7491943065810941;0.8830520223880156
2.0106192982974678,0.5383164202659176,0.5027111239703801,1,0.1570244541531784;0.2335529138374213;0.7718693341033389;0.8375532979060605
2.0734511513692637,0.4987733315691891,0.5069315081389546,1,0.2049496270434524;0.2575448423543600;0.7563181739235492;0.7811873566786383
2.1362830044410597,0.6924497679159602,0.989557458331941,3,0.3357823422899211;0.4216940439491306;0.5991910393869865;0.6433325743739609
2.199114857512855,0.38201077513904913,0.5031210564491833,1,0.1032637162560447;0.3121156688796587;0.6941264440187078;0.8904941708455888
2.261946710584651,0.4214194641910112,0.5204677893426211,1,0.1600302704997106;0.3097580572471155;0.7311775214381266;0.7990341508150469
2.324778563656447,0.3954979142333267,0.00040522668538045536,3,0.1981541838020437;0.3491415764065495;0.6500479702226887;0.8026562695687171
2.387610416728243,0.7049454285443666,0.5004222760063084,1,0.0741316365664612;0.1479495617341251;0.8528949902784917;0.9250238114209217
2.450442269800039,0.3285766496644028,0.49490099982890073,1,0.0650122195739140;0.3306126749966993;0.6591893246611021;0.9451857807682837
