v,bulk_gap,gap_kx,gap_ky,n_occ,gap_status
0.1,1.3957592415578384,2.8305438760066455,-2.8305438760066455,4,gapped
0.2,1.2052599251912999,2.8927536315232745,-2.892753631523275,4,gapped
0.3,1.011852792247815,2.9549633870399044,-2.9549633870399044,4,gapped
0.4,0.8185364675383158,-3.017173142556534,3.0171731425565333,4,gapped
0.5,0.6243979581602837,-3.017173142556534,3.0171731425565333,4,gapped
0.6,0.4327544501730032,-3.017173142556534,3.0171731425565333,4,gapped
0.7,0.24593918433788375,-3.017173142556534,3.0171731425565333,4,gapped
0.8,0.07061338643397554,3.0793828980731632,-3.017173142556534,4,gapped
1.0,0.024006351382206362,-1.461929254640795,-3.141592653589793,4,gapped
1.2,0.0859812975544466,-3.017173142556534,3.0793828980731632,4,gapped
