v,bulk_gap,gap_kx,gap_ky,n_occ,gap_status
0.8,0.06686451112581511,3.016761157420663,-3.0583716561437058,4,gapped
0.82,0.035495729955612364,-3.016761157420662,3.0583716561437067,4,near_gap_closing
0.84,0.01807411486099523,-3.0583716561437058,3.0583716561437067,4,near_gap_closing
0.86,0.03890240260291739,-3.0583716561437058,3.0583716561437067,4,near_gap_closing
0.88,0.06759402292808882,3.0583716561437067,-3.0583716561437058,4,gapped
0.9,0.08585180851744766,-2.933540159974575,3.0999821548667503,4,gapped
0.92,0.08339434780908925,2.8087086638054446,-3.141592653589793,4,gapped
0.94,0.07282018288587529,-2.683877167636313,-3.141592653589793,4,gapped
0.96,0.05797824026456967,-2.475824674021095,-3.141592653589793,4,gapped
0.98,0.0402514594672454,-2.1013301855137025,-3.141592653589793,4,near_gap_closing
1.0,0.024006289258985403,-1.4355622059450046,-3.141592653589793,4,near_gap_closing
1.02,0.0239154906941951,1.4771727046680487,-3.141592653589793,4,near_gap_closing
1.04,0.040284485058156225,2.1429406842367467,-3.141592653589793,4,near_gap_closing
1.06,0.05831291079444876,-3.141592653589793,2.5590456714671825,4,gapped
1.08,0.0733654150658222,-2.7670981650824005,-3.141592653589793,4,gapped
1.1,0.07776285421210197,-2.933540159974575,3.0999821548667503,4,gapped
1.12,0.05464252956656597,3.0583716561437067,-3.016761157420662,4,gapped
1.14,0.027239172446623744,3.016761157420663,-3.0583716561437058,4,near_gap_closing
1.16,0.020085771011147606,-3.0583716561437058,3.0583716561437067,4,near_gap_closing
1.18,0.04639916579214551,3.0583716561437067,-3.0583716561437058,4,near_gap_closing
1.2,0.07945237645363598,3.0583716561437067,-3.0583716561437058,4,gapped
