v,bulk_gap,spin_conserved,commutator_norm_H_sz,C_up,C_down,C_spin,C_up_rounded,C_down_rounded,C_spin_rounded,integer_error_up,integer_error_down,Z2_crossing_raw,Z2_from_spin_chern,Z2_final,QSH_supported,warning
0.8,0.06686451112581511,1,0.0,1.236882376124701e-16,-3.533949646070574e-17,7.951386703658793e-17,0,0,0,1.236882376124701e-16,3.533949646070574e-17,0,0,0,0,
0.82,0.035495729955612364,1,0.0,1.5902773407317583e-16,3.533949646070574e-17,6.184411880623504e-17,0,0,0,1.5902773407317583e-16,3.533949646070574e-17,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.84,0.01807411486099523,1,0.0,1.0,-0.9999999999999999,1.0,1,-1,1,0.0,1.1102230246251565e-16,1,1,1,1,
0.86,0.03890240260291739,1,0.0,1.0,-0.9999999999999998,0.9999999999999999,1,-1,1,0.0,2.220446049250313e-16,1,1,1,1,
0.88,0.06759402292808882,1,0.0,1.0,-0.9999999999999999,1.0,1,-1,1,0.0,1.1102230246251565e-16,0,1,1,1,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.9,0.08585180851744766,1,0.0,1.0,-0.9999999999999999,1.0,1,-1,1,0.0,1.1102230246251565e-16,0,1,1,1,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.92,0.08339434780908925,1,0.0,0.9999999999999998,-1.0000000000000002,1.0,1,-1,1,2.220446049250313e-16,2.220446049250313e-16,1,1,1,1,
0.94,0.07282018288587529,1,0.0,1.0000000000000002,-1.0,1.0,1,-1,1,2.220446049250313e-16,0.0,0,1,1,1,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.96,0.05797824026456967,1,0.0,1.0,-0.9999999999999998,0.9999999999999999,1,-1,1,0.0,2.220446049250313e-16,1,1,1,1,
0.98,0.0402514594672454,1,0.0,1.0000000000000002,-0.9999999999999999,1.0,1,-1,1,2.220446049250313e-16,1.1102230246251565e-16,0,1,1,1,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
1.0,0.024006289258985403,1,0.0,1.0,-1.0,1.0,1,-1,1,0.0,0.0,1,1,1,1,
1.02,0.0239154906941951,1,0.0,-1.0000000000000002,1.0,-1.0,-1,1,-1,2.220446049250313e-16,0.0,1,1,1,0,
1.04,0.040284485058156225,1,0.0,-1.0000000000000002,1.0,-1.0,-1,1,-1,2.220446049250313e-16,0.0,1,1,1,0,
1.06,0.05831291079444876,1,0.0,-1.0000000000000002,1.0,-1.0,-1,1,-1,2.220446049250313e-16,0.0,0,1,1,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
1.08,0.0733654150658222,1,0.0,-1.0,1.0,-1.0,-1,1,-1,0.0,0.0,1,1,1,0,
1.1,0.07776285421210197,1,0.0,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1,1,-1,2.220446049250313e-16,2.220446049250313e-16,0,1,1,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
1.12,0.05464252956656597,1,0.0,-1.0,0.9999999999999999,-1.0,-1,1,-1,0.0,1.1102230246251565e-16,1,1,1,0,
1.14,0.027239172446623744,1,0.0,-1.0,1.0000000000000002,-1.0,-1,1,-1,0.0,2.220446049250313e-16,1,1,1,0,
1.16,0.020085771011147606,1,0.0,8.834874115176436e-17,-1.236882376124701e-16,1.0601848938211723e-16,0,0,0,8.834874115176436e-17,1.236882376124701e-16,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
1.18,0.04639916579214551,1,0.0,-3.44560090491881e-16,8.834874115176436e-17,-2.1645441582182268e-16,0,0,0,3.44560090491881e-16,8.834874115176436e-17,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
1.2,0.07945237645363598,1,0.0,-1.766974823035287e-17,-8.834874115176436e-18,-4.417437057588218e-18,0,0,0,1.766974823035287e-17,8.834874115176436e-18,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
