v,nk,C_up,C_down,C_spin,C_up_rounded,C_down_rounded,C_spin_rounded,integer_error_up,integer_error_down,converged
0.88,41,0.9999999999999998,-1.0,0.9999999999999999,1,-1,1,2.220446049250313e-16,0.0,1
0.88,61,1.0,-0.9999999999999999,1.0,1,-1,1,0.0,1.1102230246251565e-16,1
0.88,81,0.9999999999999998,-0.9999999999999998,0.9999999999999998,1,-1,1,2.220446049250313e-16,2.220446049250313e-16,1
0.88,101,1.0000000000000004,-1.0,1.0000000000000002,1,-1,1,4.440892098500626e-16,0.0,1
0.9,41,1.0,-1.0,1.0,1,-1,1,0.0,0.0,1
0.9,61,1.0,-0.9999999999999999,1.0,1,-1,1,0.0,1.1102230246251565e-16,1
0.9,81,0.9999999999999998,-1.0000000000000002,1.0,1,-1,1,2.220446049250313e-16,2.220446049250313e-16,1
0.9,101,1.0,-1.0000000000000002,1.0,1,-1,1,0.0,2.220446049250313e-16,1
0.92,41,1.0000000000000002,-1.0000000000000002,1.0000000000000002,1,-1,1,2.220446049250313e-16,2.220446049250313e-16,1
0.92,61,0.9999999999999998,-1.0000000000000002,1.0,1,-1,1,2.220446049250313e-16,2.220446049250313e-16,1
0.92,81,1.0,-1.0,1.0,1,-1,1,0.0,0.0,1
0.92,101,1.0000000000000002,-1.0000000000000002,1.0000000000000002,1,-1,1,2.220446049250313e-16,2.220446049250313e-16,1
0.94,41,1.0,-1.0000000000000002,1.0,1,-1,1,0.0,2.220446049250313e-16,1
0.94,61,1.0000000000000002,-1.0,1.0,1,-1,1,2.220446049250313e-16,0.0,1
0.94,81,1.0000000000000002,-1.0000000000000002,1.0000000000000002,1,-1,1,2.220446049250313e-16,2.220446049250313e-16,1
0.94,101,0.9999999999999999,-1.0,1.0,1,-1,1,1.1102230246251565e-16,0.0,1
0.96,41,1.0,-0.9999999999999999,1.0,1,-1,1,0.0,1.1102230246251565e-16,1
0.96,61,1.0,-0.9999999999999998,0.9999999999999999,1,-1,1,0.0,2.220446049250313e-16,1
0.96,81,0.9999999999999998,-1.0000000000000002,1.0,1,-1,1,2.220446049250313e-16,2.220446049250313e-16,1
0.96,101,1.0000000000000002,-0.9999999999999999,1.0,1,-1,1,2.220446049250313e-16,1.1102230246251565e-16,1
0.98,41,1.0,-1.0,1.0,1,-1,1,0.0,0.0,1
0.98,61,1.0000000000000002,-0.9999999999999999,1.0,1,-1,1,2.220446049250313e-16,1.1102230246251565e-16,1
0.98,81,1.0000000000000004,-1.0000000000000002,1.0000000000000004,1,-1,1,4.440892098500626e-16,2.220446049250313e-16,1
0.98,101,1.0000000000000002,-1.0,1.0,1,-1,1,2.220446049250313e-16,0.0,1
1.0,41,1.0,-0.9999999999999999,1.0,1,-1,1,0.0,1.1102230246251565e-16,1
1.0,61,1.0,-1.0,1.0,1,-1,1,0.0,0.0,1
1.0,81,0.9999999999999999,-0.9999999999999998,0.9999999999999998,1,-1,1,1.1102230246251565e-16,2.220446049250313e-16,1
1.0,101,1.0,-1.0000000000000002,1.0,1,-1,1,0.0,2.220446049250313e-16,1
1.02,41,-1.0000000000000002,1.0,-1.0,-1,1,-1,2.220446049250313e-16,0.0,1
1.02,61,-1.0000000000000002,1.0,-1.0,-1,1,-1,2.220446049250313e-16,0.0,1
1.02,81,-1.0,1.0,-1.0,-1,1,-1,0.0,0.0,1
1.02,101,-0.9999999999999999,1.0,-1.0,-1,1,-1,1.1102230246251565e-16,0.0,1
