v,nested_allowed,nested_reliable,p_y_nu_x,p_x_nu_y,qxy,min_sector_overlap_x,min_sector_overlap_y,nested_supports_hoti,comment
0.1,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
0.2,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
0.3,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
0.4,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
0.5,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
0.6,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
0.7,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
0.8,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
0.9,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
1.0,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
1.1,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
1.2,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
1.3,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
1.4,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
1.5,0,0,nan,nan,nan,0.0,0.0,0,nested_not_allowed_by_wannier_gap
