lm,v,bulk_gap,spin_conserved,commutator_norm_H_sz,C_up,C_down,C_spin,C_up_rounded,C_down_rounded,C_spin_rounded,integer_error_up,integer_error_down,crossings_ref_0p45,crossings_ref_0p50,crossings_ref_0p55,Z2_crossing_raw,Z2_from_spin_chern,Z2_final,QSH_supported,warning
0.1,0.1,1.5113389222328681,1,0.0,-5.038204357821509e-17,1.5442549119411015e-17,-3.2912296348813057e-17,0,0,0,5.038204357821509e-17,1.5442549119411015e-17,80,76,66,0,0,0,0,
0.1,0.2,1.3147228770131711,1,0.0,-1.2364936952363418e-16,-1.821296674641626e-16,2.9240148970264207e-17,0,0,0,1.2364936952363418e-16,1.821296674641626e-16,66,62,56,0,0,0,0,
0.1,0.3,1.1190422434238938,1,0.0,-1.1957781202534073e-16,1.2754142093017724e-16,-1.2355961647775898e-16,0,0,0,1.1957781202534073e-16,1.2754142093017724e-16,76,80,71,0,0,0,0,
0.1,0.4,0.9247395985822477,1,0.0,1.5881415160706643e-16,1.8447334359621917e-16,-1.2829595994576369e-17,0,0,0,1.5881415160706643e-16,1.8447334359621917e-16,71,70,69,0,0,0,0,
0.1,0.5,0.7325810821533132,1,0.0,-1.9806358561584426e-16,5.585815352635648e-17,-1.2696086957110036e-16,0,0,0,1.9806358561584426e-16,5.585815352635648e-17,83,80,57,0,0,0,0,
0.1,0.6,0.5440047606874248,1,0.0,-2.5048377405127716e-16,-1.82759137531926e-16,-3.386231825967558e-17,0,0,0,2.5048377405127716e-16,1.82759137531926e-16,80,87,75,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.1,0.7,0.3620052322956887,1,0.0,-2.8311881202960266e-17,6.426246231962649e-17,-4.628717176129338e-17,0,0,0,2.8311881202960266e-17,6.426246231962649e-17,77,80,88,0,0,0,0,
0.1,0.8,0.19367418534244046,1,0.0,1.8354938143609427e-16,1.674532288585764e-16,8.048076288758934e-18,0,0,0,1.8354938143609427e-16,1.674532288585764e-16,91,78,72,0,0,0,0,
0.1,0.9,0.057937972660556177,1,0.0,-5.0533959176278635e-17,8.895666260825508e-17,-6.974531089226686e-17,0,0,0,5.0533959176278635e-17,8.895666260825508e-17,87,85,83,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.1,1.0,7.622553749832773e-32,1,0.0,-1.4135798584282297e-16,-3.5339496460705744e-16,1.0601848938211723e-16,0,0,0,1.4135798584282297e-16,3.5339496460705744e-16,86,78,81,0,0,0,0,
