model,v,state_index,energy,abs_energy,energy_window,selection_mode
model_b_t34_full_soc,0.1,398,-0.0003527059353727333,0.0003527059353727333,0.02,window_with_jump_cut
model_b_t34_full_soc,0.1,399,-0.0003527059353725174,0.0003527059353725174,0.02,window_with_jump_cut
model_b_t34_full_soc,0.2,396,0.0008798041325628523,0.0008798041325628523,0.02,window_with_jump_cut
model_b_t34_full_soc,0.2,397,0.0008798041325628843,0.0008798041325628843,0.02,window_with_jump_cut
model_b_t34_full_soc,0.3,394,-0.0009752255984088204,0.0009752255984088204,0.02,window_with_jump_cut
model_b_t34_full_soc,0.3,395,-0.0009752255984084962,0.0009752255984084962,0.02,window_with_jump_cut
model_b_t34_full_soc,0.4,392,0.0004999376802043094,0.0004999376802043094,0.02,window_with_jump_cut
model_b_t34_full_soc,0.4,393,0.0004999376802045984,0.0004999376802045984,0.02,window_with_jump_cut
model_b_t34_full_soc,0.5,388,-0.0007997846632955183,0.0007997846632955183,0.02,window_with_jump_cut
model_b_t34_full_soc,0.5,389,-0.0007997846632954368,0.0007997846632954368,0.02,window_with_jump_cut
model_b_t34_full_soc,0.6,386,-0.0010380861371385493,0.0010380861371385493,0.02,window_with_jump_cut
model_b_t34_full_soc,0.6,387,-0.0010380861371385465,0.0010380861371385465,0.02,window_with_jump_cut
model_b_t34_full_soc,0.6,388,0.0003199808290893165,0.0003199808290893165,0.02,window_with_jump_cut
model_b_t34_full_soc,0.6,389,0.00031998082908939873,0.00031998082908939873,0.02,window_with_jump_cut
model_b_t34_full_soc,0.7,388,0.0014542095357784105,0.0014542095357784105,0.02,window_with_jump_cut
model_b_t34_full_soc,0.7,389,0.0014542095357787314,0.0014542095357787314,0.02,window_with_jump_cut
model_b_t34_full_soc,0.8,398,-0.0024142882582471425,0.0024142882582471425,0.02,window_with_jump_cut
model_b_t34_full_soc,0.8,399,-0.0024142882582467947,0.0024142882582467947,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,398,0.01988674434469031,0.01988674434469031,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,399,0.019886744344690892,0.019886744344690892,0.02,window_with_jump_cut
model_b_t34_full_soc,1.0,398,0.022800680119402075,0.022800680119402075,0.02,fallback_two_closest
model_b_t34_full_soc,1.0,399,0.022800680119402377,0.022800680119402377,0.02,fallback_two_closest
model_b_t34_full_soc,1.1,398,-0.02412881439525232,0.02412881439525232,0.02,fallback_two_closest
model_b_t34_full_soc,1.1,399,-0.024128814395252024,0.024128814395252024,0.02,fallback_two_closest
model_b_t34_full_soc,1.2,398,-0.09360061917272991,0.09360061917272991,0.02,fallback_two_closest
model_b_t34_full_soc,1.2,399,-0.09360061917272947,0.09360061917272947,0.02,fallback_two_closest
model_b_t34_full_soc,1.3,398,-0.17406610313804663,0.17406610313804663,0.057009062163904965,fallback_two_closest
model_b_t34_full_soc,1.3,399,-0.17406610313804663,0.17406610313804663,0.057009062163904965,fallback_two_closest
model_b_t34_full_soc,1.4,398,-0.2606301733760196,0.2606301733760196,0.09847596616596788,fallback_two_closest
model_b_t34_full_soc,1.4,399,-0.2606301733760193,0.2606301733760193,0.09847596616596788,fallback_two_closest
model_b_t34_full_soc,1.5,398,-0.3508721503232785,0.3508721503232785,0.12,fallback_two_closest
model_b_t34_full_soc,1.5,399,-0.350872150323278,0.350872150323278,0.12,fallback_two_closest
model_b_t34_full_soc,1.6,398,-0.4434825065088072,0.4434825065088072,0.12,fallback_two_closest
model_b_t34_full_soc,1.6,399,-0.4434825065088068,0.4434825065088068,0.12,fallback_two_closest
