model,v,bulk_gap,energy_window,num_states_summed,min_abs_energy_in_window,max_abs_energy_in_window,W_corner_sum,W_edge_sum,W_bulk_sum
model_b_t34_full_soc,0.1,1.3957695521299236,0.5583078208519695,80,0.0003527059353725174,0.3162277660168392,0.39993668964497997,0.5999738245341354,8.948582088463849e-05
model_b_t34_full_soc,0.2,1.2051681028219523,0.48206724112878097,80,0.0008798041325628523,0.3162277660196784,0.3992899308026392,0.5996327009242836,0.0010773682730772839
model_b_t34_full_soc,0.3,1.012350382975014,0.40494015319000565,80,0.0009752255984084962,0.31622776754376064,0.3966782974193366,0.5981944796185181,0.005127222962145144
model_b_t34_full_soc,0.4,0.817874845550107,0.32714993822004285,80,0.0004999376802043094,0.3162279462106216,0.38981456119939073,0.594356250319356,0.015829188481253104
model_b_t34_full_soc,0.5,0.6254680554388378,0.25018722217553513,76,0.0007997846632954368,0.10236952240056787,0.34961881766873315,0.6105008391708309,0.03988034316043594
model_b_t34_full_soc,0.6,0.4350377177202084,0.17401508708808336,76,0.0003199808290893165,0.10790149810178698,0.3291993333261968,0.5898130313909176,0.08098763528288537
model_b_t34_full_soc,0.7,0.2480111024145765,0.0992044409658306,68,0.0014542095357784105,0.09765050390323779,0.26789312560042733,0.5830281549967742,0.14907871940279843
model_b_t34_full_soc,0.8,0.07123465815865199,0.028493863263460796,22,0.0024142882582467947,0.02732259364660579,0.2395345525629607,0.5391849999761333,0.22128044746090597
model_b_t34_full_soc,0.9,0.08692423960557258,0.03476969584222903,6,0.01988674434469031,0.030491613345847646,0.22215953689435194,0.540374429053087,0.2374660340525611
model_b_t34_full_soc,1.0,0.024006388438083805,0.02,2,0.022800680119402075,0.022800680119402377,0.25945168739784263,0.5209423195165204,0.219605993085637
model_b_t34_full_soc,1.1,0.0828760070201982,0.033150402808079286,2,0.024128814395252024,0.02412881439525232,0.14553000525401438,0.46986611811330437,0.3846038766326813
model_b_t34_full_soc,1.2,0.08103853966190609,0.03241541586476244,2,0.09360061917272947,0.09360061917272991,0.09530291679687866,0.4235855125166297,0.4811115706864915
model_b_t34_full_soc,1.3,0.2591321007450226,0.10365284029800903,2,0.17406610313804663,0.17406610313804663,0.07061741051583376,0.38809269419941206,0.5412898952847541
model_b_t34_full_soc,1.4,0.4476180280271267,0.17904721121085068,2,0.2606301733760193,0.2606301733760196,0.056841959620768254,0.3618347946982017,0.58132324568103
model_b_t34_full_soc,1.5,0.640238440664509,0.2560953762658036,2,0.350872150323278,0.3508721503232785,0.04835113885052419,0.34226759273030116,0.6093812684191748
