model,v,state_index,energy,abs_energy,energy_window,selection_mode
model_c_t34_soc34_only,0.1,388,-9.388731712119138e-11,9.388731712119138e-11,0.02,window
model_c_t34_soc34_only,0.1,389,-9.388729174675937e-11,9.388729174675937e-11,0.02,window
model_c_t34_soc34_only,0.1,390,-9.363878839370095e-11,9.363878839370095e-11,0.02,window
model_c_t34_soc34_only,0.1,391,-9.363868417655233e-11,9.363868417655233e-11,0.02,window
model_c_t34_soc34_only,0.1,392,-9.363868301517758e-11,9.363868301517758e-11,0.02,window
model_c_t34_soc34_only,0.1,393,-9.363846345413867e-11,9.363846345413867e-11,0.02,window
model_c_t34_soc34_only,0.1,394,-9.346505964569028e-11,9.346505964569028e-11,0.02,window
model_c_t34_soc34_only,0.1,395,-9.346489408678819e-11,9.346489408678819e-11,0.02,window
model_c_t34_soc34_only,0.1,396,-9.346486789253063e-11,9.346486789253063e-11,0.02,window
model_c_t34_soc34_only,0.1,397,-9.346485632052533e-11,9.346485632052533e-11,0.02,window
model_c_t34_soc34_only,0.1,398,-4.1048461363357e-16,4.1048461363357e-16,0.02,window
model_c_t34_soc34_only,0.1,399,-1.6380307836034317e-16,1.6380307836034317e-16,0.02,window
model_c_t34_soc34_only,0.1,400,1.789500339494069e-17,1.789500339494069e-17,0.02,window
model_c_t34_soc34_only,0.1,401,3.791641179525239e-16,3.791641179525239e-16,0.02,window
model_c_t34_soc34_only,0.1,402,9.34646990824102e-11,9.34646990824102e-11,0.02,window
model_c_t34_soc34_only,0.1,403,9.346475189922789e-11,9.346475189922789e-11,0.02,window
model_c_t34_soc34_only,0.1,404,9.346485085019319e-11,9.346485085019319e-11,0.02,window
model_c_t34_soc34_only,0.1,405,9.346487890717365e-11,9.346487890717365e-11,0.02,window
model_c_t34_soc34_only,0.1,406,9.363858819737837e-11,9.363858819737837e-11,0.02,window
model_c_t34_soc34_only,0.1,407,9.363860249870671e-11,9.363860249870671e-11,0.02,window
model_c_t34_soc34_only,0.1,408,9.363868364721652e-11,9.363868364721652e-11,0.02,window
model_c_t34_soc34_only,0.1,409,9.363871245455394e-11,9.363871245455394e-11,0.02,window
model_c_t34_soc34_only,0.1,410,9.388719222072373e-11,9.388719222072373e-11,0.02,window
model_c_t34_soc34_only,0.1,411,9.388736416855811e-11,9.388736416855811e-11,0.02,window
model_c_t34_soc34_only,0.2,387,-9.275087053526767e-08,9.275087053526767e-08,0.02,window
model_c_t34_soc34_only,0.2,388,-9.275087047073429e-08,9.275087047073429e-08,0.02,window
model_c_t34_soc34_only,0.2,389,-9.275087027434349e-08,9.275087027434349e-08,0.02,window
model_c_t34_soc34_only,0.2,390,-9.21131432596722e-08,9.21131432596722e-08,0.02,window
model_c_t34_soc34_only,0.2,391,-9.211314320999075e-08,9.211314320999075e-08,0.02,window
model_c_t34_soc34_only,0.2,392,-9.21131431631253e-08,9.21131431631253e-08,0.02,window
model_c_t34_soc34_only,0.2,393,-9.2113142809041e-08,9.2113142809041e-08,0.02,window
model_c_t34_soc34_only,0.2,394,-9.161366483538511e-08,9.161366483538511e-08,0.02,window
model_c_t34_soc34_only,0.2,395,-9.161366467603071e-08,9.161366467603071e-08,0.02,window
model_c_t34_soc34_only,0.2,396,-9.161366459825629e-08,9.161366459825629e-08,0.02,window
model_c_t34_soc34_only,0.2,397,-9.161366449398272e-08,9.161366449398272e-08,0.02,window
model_c_t34_soc34_only,0.2,398,-3.082306658688173e-14,3.082306658688173e-14,0.02,window
model_c_t34_soc34_only,0.2,399,-3.025132657465539e-14,3.025132657465539e-14,0.02,window
model_c_t34_soc34_only,0.2,400,3.0282004944158704e-14,3.0282004944158704e-14,0.02,window
model_c_t34_soc34_only,0.2,401,3.0549111681892606e-14,3.0549111681892606e-14,0.02,window
model_c_t34_soc34_only,0.2,402,9.161366432540955e-08,9.161366432540955e-08,0.02,window
model_c_t34_soc34_only,0.2,403,9.16136645073944e-08,9.16136645073944e-08,0.02,window
model_c_t34_soc34_only,0.2,404,9.161366458028483e-08,9.161366458028483e-08,0.02,window
model_c_t34_soc34_only,0.2,405,9.161366488951991e-08,9.161366488951991e-08,0.02,window
model_c_t34_soc34_only,0.2,406,9.211314307486527e-08,9.211314307486527e-08,0.02,window
model_c_t34_soc34_only,0.2,407,9.211314321581013e-08,9.211314321581013e-08,0.02,window
model_c_t34_soc34_only,0.2,408,9.211314326277311e-08,9.211314326277311e-08,0.02,window
model_c_t34_soc34_only,0.2,409,9.211314361148414e-08,9.211314361148414e-08,0.02,window
model_c_t34_soc34_only,0.2,410,9.275087053630435e-08,9.275087053630435e-08,0.02,window
model_c_t34_soc34_only,0.3,388,-5.04809478002629e-06,5.04809478002629e-06,0.02,window
model_c_t34_soc34_only,0.3,389,-5.048094779922647e-06,5.048094779922647e-06,0.02,window
model_c_t34_soc34_only,0.3,390,-4.982406817732059e-06,4.982406817732059e-06,0.02,window
model_c_t34_soc34_only,0.3,391,-4.982406817728555e-06,4.982406817728555e-06,0.02,window
model_c_t34_soc34_only,0.3,392,-4.982406817696746e-06,4.982406817696746e-06,0.02,window
model_c_t34_soc34_only,0.3,393,-4.982406817314331e-06,4.982406817314331e-06,0.02,window
model_c_t34_soc34_only,0.3,394,-4.92251937165615e-06,4.92251937165615e-06,0.02,window
model_c_t34_soc34_only,0.3,395,-4.922519371392458e-06,4.922519371392458e-06,0.02,window
model_c_t34_soc34_only,0.3,396,-4.922519371314752e-06,4.922519371314752e-06,0.02,window
model_c_t34_soc34_only,0.3,397,-4.922519371278456e-06,4.922519371278456e-06,0.02,window
model_c_t34_soc34_only,0.3,398,-9.130789397923243e-11,9.130789397923243e-11,0.02,window
model_c_t34_soc34_only,0.3,399,-9.130741516177903e-11,9.130741516177903e-11,0.02,window
model_c_t34_soc34_only,0.3,400,9.130718625087243e-11,9.130718625087243e-11,0.02,window
model_c_t34_soc34_only,0.3,401,9.130827334875593e-11,9.130827334875593e-11,0.02,window
model_c_t34_soc34_only,0.3,402,4.922519371287064e-06,4.922519371287064e-06,0.02,window
model_c_t34_soc34_only,0.3,403,4.922519371397792e-06,4.922519371397792e-06,0.02,window
model_c_t34_soc34_only,0.3,404,4.9225193715008615e-06,4.9225193715008615e-06,0.02,window
model_c_t34_soc34_only,0.3,405,4.9225193715181215e-06,4.9225193715181215e-06,0.02,window
model_c_t34_soc34_only,0.3,406,4.982406817522763e-06,4.982406817522763e-06,0.02,window
model_c_t34_soc34_only,0.3,407,4.982406817639626e-06,4.982406817639626e-06,0.02,window
model_c_t34_soc34_only,0.3,408,4.982406817827204e-06,4.982406817827204e-06,0.02,window
model_c_t34_soc34_only,0.3,409,4.982406818187247e-06,4.982406818187247e-06,0.02,window
model_c_t34_soc34_only,0.3,410,5.048094779970922e-06,5.048094779970922e-06,0.02,window
model_c_t34_soc34_only,0.3,411,5.048094780034529e-06,5.048094780034529e-06,0.02,window
model_c_t34_soc34_only,0.4,388,-8.250915034780053e-05,8.250915034780053e-05,0.02,window
model_c_t34_soc34_only,0.4,389,-8.250915034705179e-05,8.250915034705179e-05,0.02,window
model_c_t34_soc34_only,0.4,390,-8.078069528148371e-05,8.078069528148371e-05,0.02,window
model_c_t34_soc34_only,0.4,391,-8.078069528122452e-05,8.078069528122452e-05,0.02,window
model_c_t34_soc34_only,0.4,392,-8.078069528119869e-05,8.078069528119869e-05,0.02,window
model_c_t34_soc34_only,0.4,393,-8.078069528071565e-05,8.078069528071565e-05,0.02,window
model_c_t34_soc34_only,0.4,394,-7.88686739100006e-05,7.88686739100006e-05,0.02,window
model_c_t34_soc34_only,0.4,395,-7.886867390982938e-05,7.886867390982938e-05,0.02,window
model_c_t34_soc34_only,0.4,396,-7.88686739097541e-05,7.88686739097541e-05,0.02,window
model_c_t34_soc34_only,0.4,397,-7.886867390939726e-05,7.886867390939726e-05,0.02,window
model_c_t34_soc34_only,0.4,398,-2.453344016421461e-08,2.453344016421461e-08,0.02,window
model_c_t34_soc34_only,0.4,399,-2.4533439308370077e-08,2.4533439308370077e-08,0.02,window
model_c_t34_soc34_only,0.4,400,2.4533439525406407e-08,2.4533439525406407e-08,0.02,window
model_c_t34_soc34_only,0.4,401,2.453344019703607e-08,2.453344019703607e-08,0.02,window
model_c_t34_soc34_only,0.4,402,7.886867390957248e-05,7.886867390957248e-05,0.02,window
model_c_t34_soc34_only,0.4,403,7.886867390957931e-05,7.886867390957931e-05,0.02,window
model_c_t34_soc34_only,0.4,404,7.886867390981287e-05,7.886867390981287e-05,0.02,window
model_c_t34_soc34_only,0.4,405,7.886867390984372e-05,7.886867390984372e-05,0.02,window
model_c_t34_soc34_only,0.4,406,8.078069528100964e-05,8.078069528100964e-05,0.02,window
model_c_t34_soc34_only,0.4,407,8.07806952813111e-05,8.07806952813111e-05,0.02,window
model_c_t34_soc34_only,0.4,408,8.078069528145685e-05,8.078069528145685e-05,0.02,window
model_c_t34_soc34_only,0.4,409,8.078069528149927e-05,8.078069528149927e-05,0.02,window
model_c_t34_soc34_only,0.4,410,8.250915034769417e-05,8.250915034769417e-05,0.02,window
model_c_t34_soc34_only,0.4,411,8.250915034781917e-05,8.250915034781917e-05,0.02,window
model_c_t34_soc34_only,0.5,388,-0.0006854441756125327,0.0006854441756125327,0.02,window
model_c_t34_soc34_only,0.5,389,-0.0006854441756124709,0.0006854441756124709,0.02,window
model_c_t34_soc34_only,0.5,390,-0.0006650494262290522,0.0006650494262290522,0.02,window
model_c_t34_soc34_only,0.5,391,-0.0006650494262285915,0.0006650494262285915,0.02,window
model_c_t34_soc34_only,0.5,392,-0.0006650494262284478,0.0006650494262284478,0.02,window
model_c_t34_soc34_only,0.5,393,-0.0006650494262284455,0.0006650494262284455,0.02,window
model_c_t34_soc34_only,0.5,394,-0.000636609967116807,0.000636609967116807,0.02,window
model_c_t34_soc34_only,0.5,395,-0.0006366099671164971,0.0006366099671164971,0.02,window
model_c_t34_soc34_only,0.5,396,-0.000636609967116371,0.000636609967116371,0.02,window
model_c_t34_soc34_only,0.5,397,-0.0006366099671160173,0.0006366099671160173,0.02,window
model_c_t34_soc34_only,0.5,398,-1.6963922875754156e-06,1.6963922875754156e-06,0.02,window
model_c_t34_soc34_only,0.5,399,-1.6963922868779326e-06,1.6963922868779326e-06,0.02,window
model_c_t34_soc34_only,0.5,400,1.6963922870496142e-06,1.6963922870496142e-06,0.02,window
model_c_t34_soc34_only,0.5,401,1.6963922876474017e-06,1.6963922876474017e-06,0.02,window
model_c_t34_soc34_only,0.5,402,0.0006366099671160486,0.0006366099671160486,0.02,window
model_c_t34_soc34_only,0.5,403,0.0006366099671162549,0.0006366099671162549,0.02,window
model_c_t34_soc34_only,0.5,404,0.0006366099671166851,0.0006366099671166851,0.02,window
model_c_t34_soc34_only,0.5,405,0.0006366099671168585,0.0006366099671168585,0.02,window
model_c_t34_soc34_only,0.5,406,0.000665049426228309,0.000665049426228309,0.02,window
model_c_t34_soc34_only,0.5,407,0.0006650494262285649,0.0006650494262285649,0.02,window
model_c_t34_soc34_only,0.5,408,0.0006650494262285857,0.0006650494262285857,0.02,window
model_c_t34_soc34_only,0.5,409,0.0006650494262289211,0.0006650494262289211,0.02,window
model_c_t34_soc34_only,0.5,410,0.0006854441756124232,0.0006854441756124232,0.02,window
model_c_t34_soc34_only,0.5,411,0.0006854441756126065,0.0006854441756126065,0.02,window
model_c_t34_soc34_only,0.6,389,-0.003626480811068316,0.003626480811068316,0.02,window
model_c_t34_soc34_only,0.6,390,-0.0034899353133259216,0.0034899353133259216,0.02,window
model_c_t34_soc34_only,0.6,391,-0.0034899353133256155,0.0034899353133256155,0.02,window
model_c_t34_soc34_only,0.6,392,-0.003489935313325602,0.003489935313325602,0.02,window
model_c_t34_soc34_only,0.6,393,-0.003489935313325508,0.003489935313325508,0.02,window
model_c_t34_soc34_only,0.6,394,-0.0032449514149959116,0.0032449514149959116,0.02,window
model_c_t34_soc34_only,0.6,395,-0.003244951414995862,0.003244951414995862,0.02,window
model_c_t34_soc34_only,0.6,396,-0.003244951414995752,0.003244951414995752,0.02,window
model_c_t34_soc34_only,0.6,397,-0.003244951414995216,0.003244951414995216,0.02,window
model_c_t34_soc34_only,0.6,398,-4.7370918409889015e-05,4.7370918409889015e-05,0.02,window
