model,v,bulk_gap,energy_window_raw,energy_window_cap,energy_window,num_states_summed,min_abs_energy_in_window,max_abs_energy_in_window,W_corner_sum,W_edge_sum,W_bulk_sum,selection_mode
model_c_t34_soc34_only,0.1,1.5113389222328681,0.4836284551145178,0.2,0.02,48,1.789500339494069e-17,9.468810265110377e-11,0.3987454569863974,0.6011944346272585,6.010838634399794e-05,window
model_c_t34_soc34_only,0.2,1.3147228770131711,0.4207113206442148,0.2,0.02,48,3.025132657465539e-14,9.435528402375498e-08,0.39467965682214834,0.6043524344831531,0.0009679086946987949,window
model_c_t34_soc34_only,0.3,1.1190422434238938,0.35809351789564603,0.2,0.02,48,9.130718625087243e-11,5.176520656767605e-06,0.3893712396712518,0.6057084254619794,0.004920334866768778,window
model_c_t34_soc34_only,0.4,0.9247395985822477,0.2959166715463193,0.2,0.02,48,2.4533439308370077e-08,8.515608121491797e-05,0.3810405795391316,0.603365909418313,0.015593511042555297,window
model_c_t34_soc34_only,0.5,0.7325810821533132,0.23442594628906022,0.2,0.02,48,1.6963922868779326e-06,0.0007104929100992641,0.36703006976382835,0.5949547426929149,0.038015187543256786,window
model_c_t34_soc34_only,0.6,0.5440047606874248,0.17408152341997593,0.17408152341997593,0.02,48,4.737091840966625e-05,0.0037663435324817164,0.343783743156578,0.5780456985530613,0.07817055829036088,window
model_c_t34_soc34_only,0.7,0.3620052322956887,0.11584167433462039,0.11584167433462039,0.02,48,0.0006598064499955345,0.01410894039154256,0.30735102374534096,0.5524117512965143,0.14023722495814486,window
model_c_t34_soc34_only,0.8,0.19367418534244046,0.06197573930958095,0.06197573930958095,0.03923806957040227,48,0.005009455979049223,0.03923806957040227,0.2584706592473997,0.5229106243159192,0.21861871643668107,window
model_c_t34_soc34_only,0.9,0.057937972660556177,0.02,0.02,0.02,2,0.02177402190916344,0.021774021909163686,0.24403480841438807,0.49992797105165576,0.25603722053395617,fallback_two_closest
model_c_t34_soc34_only,1.0,7.622553749832773e-32,0.02,0.02,0.02,2,0.05945989195019771,0.059459891950197775,0.1530663614056591,0.47634120366970983,0.3705924349246312,fallback_two_closest
model_c_t34_soc34_only,1.1,0.05793797266055629,0.02,0.02,0.02,2,0.11737864182794698,0.11737864182794704,0.10409802790054995,0.43708846408311364,0.45881350801633636,fallback_two_closest
model_c_t34_soc34_only,1.2,0.1936741853424404,0.06197573930958093,0.06197573930958093,0.06197573930958093,2,0.1894381851287271,0.18943818512872712,0.07729953026421019,0.4014568009251219,0.5212436688106679,fallback_two_closest
model_c_t34_soc34_only,1.3,0.3620052322956887,0.11584167433462039,0.11584167433462039,0.11584167433462039,2,0.27031557933703754,0.27031557933703815,0.06165592268570024,0.3733003682750232,0.5650437090392763,fallback_two_closest
model_c_t34_soc34_only,1.4,0.5440047606874245,0.17408152341997585,0.17408152341997585,0.17408152341997585,2,0.35667028815637414,0.3566702881563748,0.051859689683131135,0.35173507360628725,0.5964052367105813,fallback_two_closest
model_c_t34_soc34_only,1.5,0.7325810821533132,0.23442594628906022,0.2,0.2,2,0.4465437809310453,0.4465437809310477,0.04533223540641036,0.33516289048004133,0.6195048741135484,fallback_two_closest
model_c_t34_soc34_only,1.6,0.9247395985822479,0.29591667154631934,0.2,0.2,2,0.5387725310071578,0.5387725310071595,0.04075252236399002,0.32224003506366267,0.6370074425723475,fallback_two_closest
