model,v,bulk_gap,energy_window_raw,energy_window_cap,energy_window,num_states_summed,min_abs_energy_in_window,max_abs_energy_in_window,W_corner_sum,W_edge_sum,W_bulk_sum,selection_mode
model_a_full_t_full_soc,0.1,0.876393202250021,0.28044582472000673,0.2,0.030182040076913875,16,0.00952624934755376,0.030182040076913875,0.2118825397864967,0.7864786736631675,0.0016387865503356663,window_with_jump_cut
model_a_full_t_full_soc,0.2,0.6763932022500211,0.21644582472000676,0.2,0.02,9,0.007437909617533631,0.013757916420795343,0.1850376833158108,0.8129724197138917,0.0019898969702972905,window_with_jump_cut
model_a_full_t_full_soc,0.3,0.4763932022500208,0.15244582472000665,0.15244582472000665,0.021759746626475486,12,0.004984700718814635,0.021759746626475486,0.21162810794577475,0.7769865681104101,0.011385323943815124,window_with_jump_cut
model_a_full_t_full_soc,0.4,0.27639320225002095,0.08844582472000671,0.08844582472000671,0.02,12,0.0006768119734713992,0.011242200852901568,0.23601200488974416,0.7403188875375531,0.023669107572702675,window_with_jump_cut
model_a_full_t_full_soc,0.5,0.07639320225002069,0.02444582472000662,0.02444582472000662,0.02,4,0.0026009856582681805,0.0036415041913599624,0.061595548940861375,0.918699461526955,0.01970498953218392,window_with_jump_cut
model_a_full_t_full_soc,0.6,1.942890293094024e-16,0.02,0.02,0.02,9,0.006641323619108607,0.019149410721012852,0.18802074733365182,0.7582519802171297,0.05372727244921857,window_with_jump_cut
model_a_full_t_full_soc,0.7,0.1236067977499788,0.03955417527999322,0.03955417527999322,0.037014954595558744,17,0.0027123732423048144,0.037014954595558744,0.26272683707224986,0.6174388808482774,0.11983428207947298,window_with_jump_cut
model_a_full_t_full_soc,0.8,0.295784460349194,0.09465102731174208,0.09465102731174208,0.09322428588239022,28,0.0030946325186557992,0.09322428588239022,0.3111422328627338,0.5359098059567329,0.15294796118053322,window_with_jump_cut
model_a_full_t_full_soc,0.9,0.18814921840244714,0.06020774988878309,0.06020774988878309,0.02,10,0.0005237717682999146,0.01852715912038286,0.2157028626655232,0.534822755174136,0.24947438216034076,window_with_jump_cut
model_a_full_t_full_soc,1.0,0.012070191675647546,0.02,0.02,0.02,4,0.002910639500481621,0.015491681616761612,0.20932750213430593,0.482914687581506,0.30775781028418797,window
model_a_full_t_full_soc,1.1,0.04815486011078926,0.02,0.02,0.02,7,0.0003962963472391738,0.01691397909925834,0.1080578542398114,0.4965739119302181,0.3953682338299706,window_with_jump_cut
model_a_full_t_full_soc,1.2,0.015877276604912505,0.02,0.02,0.02,4,0.0031373623084552382,0.017270462609028776,0.12704079895319392,0.4749571451562434,0.3980020558905628,window_with_jump_cut
model_a_full_t_full_soc,1.3,0.12360679774997878,0.03955417527999321,0.03955417527999321,0.03676501826589644,3,0.017565245972406524,0.03676501826589644,0.14788230530508517,0.49409287584371897,0.35802481885119586,window_with_jump_cut
model_a_full_t_full_soc,1.4,3.885780586188048e-16,0.02,0.02,0.02,2,0.02696124137621772,0.026961241376218116,0.14996549466892475,0.5025042276932727,0.3475302776378025,fallback_two_closest
model_a_full_t_full_soc,1.5,0.07639320225002111,0.024445824720006754,0.024445824720006754,0.024445824720006754,2,0.036665398577494526,0.036665398577494616,0.1346346702071956,0.5120477474136093,0.3533175823791951,fallback_two_closest
model_a_full_t_full_soc,1.6,0.2763932022500211,0.08844582472000675,0.08844582472000675,0.11337318911219788,2,0.0016704292539985253,0.11337318911219788,0.09038447562342897,0.4412740903843229,0.46834143399224815,window
