model,v,bulk_gap,energy_window_raw,energy_window_cap,energy_window,num_states_summed,min_abs_energy_in_window,max_abs_energy_in_window,W_corner_sum,W_edge_sum,W_bulk_sum,selection_mode
model_b_t34_full_soc,0.1,1.2559070798286442,0.40189026554516616,0.2,0.1128430743151589,48,0.07369646380155696,0.1128430743151589,0.3092196975590906,0.6906696554370781,0.00011064700383117764,window_with_jump_cut
model_b_t34_full_soc,0.2,1.0594038193935824,0.33900922220594637,0.2,0.1126341230621322,48,0.07030052159390207,0.1126341230621322,0.3059222270800874,0.6928039435108693,0.0012738294090434265,window_with_jump_cut
model_b_t34_full_soc,0.3,0.8639703293298602,0.2764705053855553,0.2,0.11193557563611553,48,0.06605672720777096,0.11193557563611553,0.3092937894748675,0.684759968320018,0.00594624220511437,window_with_jump_cut
model_b_t34_full_soc,0.4,0.670282353607876,0.21449035315452034,0.2,0.11183289465833988,48,0.06073017759013049,0.11183289465833988,0.3021596422432218,0.6796528147446596,0.018187543012118498,window_with_jump_cut
model_b_t34_full_soc,0.5,0.4797017300414046,0.15350455361324947,0.15350455361324947,0.1107625568643906,48,0.05433101335550141,0.1107625568643906,0.29124768179496047,0.664708559205144,0.044043758999895356,window
model_b_t34_full_soc,0.6,0.2959172414552093,0.09469351726566698,0.09469351726566698,0.09339798066633442,28,0.048353791819901834,0.09339798066633442,0.2688295239726529,0.6402735835668694,0.09089689246047777,window
model_b_t34_full_soc,0.7,0.12683958936376497,0.04058866859640479,0.04058866859640479,0.04058866859640479,2,0.0475006204444408,0.05706831719156063,0.15282153644262478,0.5946688027913984,0.25250966076597703,fallback_two_closest
model_b_t34_full_soc,0.8,0.036088388797220324,0.02,0.02,0.02,2,0.05132672149216695,0.05167017666665654,0.37112115829399567,0.46282247211492467,0.16605636959107972,fallback_two_closest
model_b_t34_full_soc,0.9,0.037783973882116385,0.02,0.02,0.02,12,0.010767629305061931,0.017533394814768483,0.20250117795274022,0.4987613468620322,0.29873747518522753,window_with_jump_cut
model_b_t34_full_soc,1.0,0.04725378948344274,0.02,0.02,0.02,2,0.005084472757051447,0.017981123952008998,0.2827853491349111,0.5357548160831068,0.18145983478198202,window
model_b_t34_full_soc,1.1,0.0333636961269526,0.02,0.02,0.02,2,0.013990074726075998,0.014624635108974205,0.18778016496641362,0.5121743880126781,0.30004544702090824,window_with_jump_cut
model_b_t34_full_soc,1.2,0.02989247206496991,0.02,0.02,0.02,2,0.03614506002416142,0.08791449059518147,0.1165917744022402,0.4478362234127883,0.4355720021849715,fallback_two_closest
model_b_t34_full_soc,1.3,0.1362205097961349,0.043590563134763165,0.043590563134763165,0.043590563134763165,2,0.11219404222588825,0.17073971583966221,0.09062835962031454,0.4189136241517814,0.49045801622790425,fallback_two_closest
model_b_t34_full_soc,1.4,0.2959172414552092,0.09469351726566695,0.09469351726566695,0.09469351726566695,2,0.1966402276532408,0.25854603281106525,0.07710847691846037,0.40169741806008086,0.5211941050214588,fallback_two_closest
model_b_t34_full_soc,1.5,0.4797017300414045,0.15350455361324944,0.15350455361324944,0.15350455361324944,2,0.28556281263089794,0.34931269275004195,0.06901151308229905,0.3907462782621711,0.5402422086555297,fallback_two_closest
model_b_t34_full_soc,1.6,0.6702823536078762,0.2144903531545204,0.2,0.2,2,0.3772602398310283,0.44198938423667916,0.06373391063512897,0.38351631102278694,0.552749778342084,fallback_two_closest
