model,v,bulk_gap,energy_window_raw,energy_window_cap,energy_window,num_states_summed,min_abs_energy_in_window,max_abs_energy_in_window,W_corner_sum,W_edge_sum,W_bulk_sum,selection_mode
model_c_t34_soc34_only,0.1,1.3178276246094036,0.4217048398750092,0.2,0.09999999999999973,48,0.0979562904186991,0.09999999999999973,0.35157897692139445,0.648356184492439,6.483858616662493e-05,window
model_c_t34_soc34_only,0.2,1.121263227228057,0.35880423271297823,0.2,0.10000000000371945,48,0.09756461765327831,0.10000000000371945,0.36763832752899295,0.6313508364616656,0.0010108360093413105,window
model_c_t34_soc34_only,0.3,0.9256633877097273,0.29621228406711275,0.2,0.10000000957165026,48,0.09708193591421395,0.10000000957165026,0.3654174498103221,0.6294666052968456,0.0051159448928321674,window
model_c_t34_soc34_only,0.4,0.7314977347419802,0.23407927511743368,0.2,0.10000224577594824,48,0.09650068946621053,0.10000224577594824,0.35990990199600004,0.6239461907835756,0.01614390722042432,window
model_c_t34_soc34_only,0.5,0.5396006511569544,0.17267220837022543,0.17267220837022543,0.10013372932154513,48,0.09575312150788363,0.10013372932154513,0.34847693311935074,0.6122685683627557,0.03925449851789366,window
model_c_t34_soc34_only,0.6,0.3516303570395114,0.11252171425264365,0.11252171425264365,0.10218981121777296,48,0.09358420359167584,0.10218981121777296,0.32765567127046313,0.5918071180546828,0.08053721067485412,window
model_c_t34_soc34_only,0.7,0.17173508649870367,0.054955227679585175,0.054955227679585175,0.054955227679585175,2,0.08524430987841186,0.08524430987841194,0.29159842385726686,0.5633086666768023,0.1450929094659308,fallback_two_closest
model_c_t34_soc34_only,0.8,0.03925231365628254,0.02,0.02,0.02,2,0.06020593487139119,0.06020593487139158,0.07260718358357088,0.5990488109734258,0.32834400544300324,fallback_two_closest
model_c_t34_soc34_only,0.9,0.002725654128451223,0.02,0.02,0.02,28,0.015153463753661882,0.017952402676187723,0.18797407279291523,0.4985658947451771,0.31346003246190773,window
model_c_t34_soc34_only,1.0,0.03605409490750022,0.02,0.02,0.02,2,0.025400710999791624,0.025400710999791905,0.18959892176230583,0.46180301818792796,0.3485980600497663,fallback_two_closest
model_c_t34_soc34_only,1.1,0.0022378832549903222,0.02,0.02,0.02,2,0.027898828604327165,0.027898828604327252,0.10409802790054998,0.43708846408311325,0.45881350801633664,fallback_two_closest
model_c_t34_soc34_only,1.2,0.03925231365628261,0.02,0.02,0.02,2,0.0941133703958137,0.09411337039581409,0.07729953026421002,0.4014568009251214,0.5212436688106685,fallback_two_closest
model_c_t34_soc34_only,1.3,0.17173508649870386,0.05495522767958524,0.05495522767958524,0.05495522767958524,2,0.17413725429726137,0.1741372542972616,0.061655922685700096,0.37330036827502305,0.5650437090392769,fallback_two_closest
model_c_t34_soc34_only,1.4,0.3516303570395112,0.11252171425264358,0.11252171425264358,0.11252171425264358,2,0.26019962045554024,0.2601996204555407,0.0518596896831309,0.3517350736062869,0.5964052367105823,fallback_two_closest
model_c_t34_soc34_only,1.5,0.5396006511569542,0.17267220837022534,0.17267220837022534,0.17267220837022534,2,0.349938539890337,0.3499385398903379,0.04533223540641021,0.33516289048004094,0.6195048741135488,fallback_two_closest
model_c_t34_soc34_only,1.6,0.7314977347419805,0.2340792751174338,0.2,0.2,2,0.44209463732420196,0.44209463732420223,0.04075252236398989,0.3222400350636625,0.6370074425723475,fallback_two_closest
