model,v,state_index,energy,abs_energy,energy_window,selection_mode
model_b_t34_full_soc,0.1,397,-6.555804255459154e-08,6.555804255459154e-08,0.02,window_with_jump_cut
model_b_t34_full_soc,0.1,398,-2.943637518470449e-11,2.943637518470449e-11,0.02,window_with_jump_cut
model_b_t34_full_soc,0.1,399,-4.0508337793201396e-16,4.0508337793201396e-16,0.02,window_with_jump_cut
model_b_t34_full_soc,0.1,400,6.724022169082249e-16,6.724022169082249e-16,0.02,window_with_jump_cut
model_b_t34_full_soc,0.1,401,7.969008282312665e-11,7.969008282312665e-11,0.02,window_with_jump_cut
model_b_t34_full_soc,0.1,402,6.653483348614096e-08,6.653483348614096e-08,0.02,window_with_jump_cut
model_b_t34_full_soc,0.2,397,-3.5884766298249274e-06,3.5884766298249274e-06,0.02,window_with_jump_cut
model_b_t34_full_soc,0.2,398,-1.1930324754970335e-10,1.1930324754970335e-10,0.02,window_with_jump_cut
model_b_t34_full_soc,0.2,399,-1.4867648102920649e-12,1.4867648102920649e-12,0.02,window_with_jump_cut
model_b_t34_full_soc,0.2,400,3.8316927723111217e-11,3.8316927723111217e-11,0.02,window_with_jump_cut
model_b_t34_full_soc,0.2,401,2.305698880506966e-08,2.305698880506966e-08,0.02,window_with_jump_cut
model_b_t34_full_soc,0.2,402,3.590156871683331e-06,3.590156871683331e-06,0.02,window_with_jump_cut
model_b_t34_full_soc,0.3,397,-5.7933013569888197e-05,5.7933013569888197e-05,0.02,window_with_jump_cut
model_b_t34_full_soc,0.3,398,-6.653507478468783e-08,6.653507478468783e-08,0.02,window_with_jump_cut
model_b_t34_full_soc,0.3,399,-1.2700969487318866e-08,1.2700969487318866e-08,0.02,window_with_jump_cut
model_b_t34_full_soc,0.3,400,-7.98000087472406e-11,7.98000087472406e-11,0.02,window_with_jump_cut
model_b_t34_full_soc,0.3,401,6.555780336916377e-08,6.555780336916377e-08,0.02,window_with_jump_cut
model_b_t34_full_soc,0.3,402,5.8592230303035374e-05,5.8592230303035374e-05,0.02,window_with_jump_cut
model_b_t34_full_soc,0.4,397,-0.00047290226510729173,0.00047290226510729173,0.02,window_with_jump_cut
model_b_t34_full_soc,0.4,398,-3.5893177497740483e-06,3.5893177497740483e-06,0.02,window_with_jump_cut
model_b_t34_full_soc,0.4,399,-2.3118481621285035e-08,2.3118481621285035e-08,0.02,window_with_jump_cut
model_b_t34_full_soc,0.4,400,3.5893150126252746e-06,3.5893150126252746e-06,0.02,window_with_jump_cut
model_b_t34_full_soc,0.4,401,6.341921231912259e-06,6.341921231912259e-06,0.02,window_with_jump_cut
model_b_t34_full_soc,0.4,402,0.0004803737190052977,0.0004803737190052977,0.02,window_with_jump_cut
model_b_t34_full_soc,0.5,397,-0.002369522400567646,0.002369522400567646,0.02,window_with_jump_cut
model_b_t34_full_soc,0.5,398,-5.8429321747331624e-05,5.8429321747331624e-05,0.02,window_with_jump_cut
model_b_t34_full_soc,0.5,399,1.2549879452883418e-08,1.2549879452883418e-08,0.02,window_with_jump_cut
model_b_t34_full_soc,0.5,400,1.8003104418953858e-05,1.8003104418953858e-05,0.02,window_with_jump_cut
model_b_t34_full_soc,0.5,401,5.8092272952853074e-05,5.8092272952853074e-05,0.02,window_with_jump_cut
model_b_t34_full_soc,0.5,402,0.002524670711568194,0.002524670711568194,0.02,window_with_jump_cut
model_b_t34_full_soc,0.6,397,-0.007901498101786197,0.007901498101786197,0.02,window_with_jump_cut
model_b_t34_full_soc,0.6,398,-0.0006388748511799041,0.0006388748511799041,0.02,window_with_jump_cut
model_b_t34_full_soc,0.6,399,-0.0004719442256243208,0.0004719442256243208,0.02,window_with_jump_cut
model_b_t34_full_soc,0.6,400,-6.4188420831873185e-06,6.4188420831873185e-06,0.02,window_with_jump_cut
model_b_t34_full_soc,0.6,401,0.0004812280177011452,0.0004812280177011452,0.02,window_with_jump_cut
model_b_t34_full_soc,0.6,402,0.009455928760589294,0.009455928760589294,0.02,window_with_jump_cut
model_b_t34_full_soc,0.7,397,-0.019484851060335727,0.019484851060335727,0.021615394274776205,window
model_b_t34_full_soc,0.7,398,-0.003895829123171134,0.003895829123171134,0.021615394274776205,window
model_b_t34_full_soc,0.7,399,-0.0023494960967637094,0.0023494960967637094,0.021615394274776205,window
model_b_t34_full_soc,0.7,400,-1.927984174952408e-05,1.927984174952408e-05,0.021615394274776205,window
model_b_t34_full_soc,0.7,401,0.0025404152549751034,0.0025404152549751034,0.021615394274776205,window
model_b_t34_full_soc,0.7,402,0.021615394274776205,0.021615394274776205,0.021615394274776205,window
model_b_t34_full_soc,0.8,398,-0.011324719462048672,0.011324719462048672,0.02,window
model_b_t34_full_soc,0.8,399,-0.007561849887706337,0.007561849887706337,0.02,window
model_b_t34_full_soc,0.8,400,0.0006381748502293248,0.0006381748502293248,0.02,window
model_b_t34_full_soc,0.8,401,0.009481482151884732,0.009481482151884732,0.02,window
model_b_t34_full_soc,0.8,402,0.015721280809991137,0.015721280809991137,0.02,window
model_b_t34_full_soc,0.9,386,-0.01931302239556911,0.01931302239556911,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,387,-0.017034570052203213,0.017034570052203213,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,388,-0.0156225925876064,0.0156225925876064,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,389,-0.014138126667171043,0.014138126667171043,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,390,-0.012875644863076803,0.012875644863076803,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,391,-0.012560958243074396,0.012560958243074396,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,392,-0.011747321499700767,0.011747321499700767,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,393,-0.010505398233876515,0.010505398233876515,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,394,-0.009464298831725143,0.009464298831725143,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,395,-0.008025407575837832,0.008025407575837832,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,396,-0.006885139745332484,0.006885139745332484,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,397,-0.004852227223779393,0.004852227223779393,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,398,-0.0034186593019695736,0.0034186593019695736,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,399,-0.002571628501459901,0.002571628501459901,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,400,0.0002697405899476622,0.0002697405899476622,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,401,0.0016930540608052368,0.0016930540608052368,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,402,0.007465952513222023,0.007465952513222023,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,403,0.007469446099651495,0.007469446099651495,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,404,0.012987131781753916,0.012987131781753916,0.02,window_with_jump_cut
model_b_t34_full_soc,0.9,405,0.01933983183075475,0.01933983183075475,0.02,window_with_jump_cut
model_b_t34_full_soc,1.0,393,-0.014159896257357966,0.014159896257357966,0.02,window_with_jump_cut
model_b_t34_full_soc,1.0,394,-0.010031363290917025,0.010031363290917025,0.02,window_with_jump_cut
model_b_t34_full_soc,1.0,395,-0.008349366952272196,0.008349366952272196,0.02,window_with_jump_cut
model_b_t34_full_soc,1.0,396,-0.000241912311893145,0.000241912311893145,0.02,window_with_jump_cut
model_b_t34_full_soc,1.0,397,0.006867891277651598,0.006867891277651598,0.02,window_with_jump_cut
model_b_t34_full_soc,1.1,397,-0.02988420969169224,0.02988420969169224,0.02988420969169224,window_with_jump_cut
model_b_t34_full_soc,1.1,398,-0.012866513251536047,0.012866513251536047,0.02988420969169224,window_with_jump_cut
model_b_t34_full_soc,1.2,398,-0.0832182447664653,0.0832182447664653,0.0832182447664653,window
model_b_t34_full_soc,1.2,399,0.006399380827270178,0.006399380827270178,0.0832182447664653,window
model_b_t34_full_soc,1.3,398,-0.16218723592269452,0.16218723592269452,0.027104415407600693,fallback_two_closest
model_b_t34_full_soc,1.3,399,-0.07406610313804753,0.07406610313804753,0.027104415407600693,fallback_two_closest
model_b_t34_full_soc,1.4,398,-0.24655629206474855,0.24655629206474855,0.08404977723385929,fallback_two_closest
model_b_t34_full_soc,1.4,399,-0.1606301733760206,0.1606301733760206,0.08404977723385929,fallback_two_closest
model_b_t34_full_soc,1.5,398,-0.3344971619048202,0.3344971619048202,0.14387580058207622,fallback_two_closest
model_b_t34_full_soc,1.5,399,-0.2508721503232783,0.2508721503232783,0.14387580058207622,fallback_two_closest
model_b_t34_full_soc,1.6,398,-0.42491778244409917,0.42491778244409917,0.2,fallback_two_closest
model_b_t34_full_soc,1.6,399,-0.3434825065088063,0.3434825065088063,0.2,fallback_two_closest
