model,v,bulk_gap,energy_window_raw,energy_window_cap,energy_window,num_states_summed,min_abs_energy_in_window,max_abs_energy_in_window,W_corner_sum,W_edge_sum,W_bulk_sum,selection_mode
model_b_t34_full_soc,0.1,1.202376698515573,0.3847605435249834,0.2,0.02,6,4.0508337793201396e-16,6.653483348614096e-08,0.9906094906773812,0.009381069378868467,9.439943750316943e-06,window_with_jump_cut
model_b_t34_full_soc,0.2,1.0138398670522815,0.32442875745673005,0.2,0.02,6,1.4867648102920649e-12,3.590156871683331e-06,0.9804995217045105,0.01940173322973414,9.874506575563694e-05,window_with_jump_cut
model_b_t34_full_soc,0.3,0.8212856599744958,0.26281141119183865,0.2,0.02,6,7.98000087472406e-11,5.8592230303035374e-05,0.9560649146844461,0.04328336402377716,0.0006517212917765336,window_with_jump_cut
model_b_t34_full_soc,0.4,0.6296974135778894,0.20150317234492462,0.2,0.02,6,2.3118481621285035e-08,0.0004803737190052977,0.906938726402541,0.08991370050966095,0.003147573087798163,window_with_jump_cut
model_b_t34_full_soc,0.5,0.4385391279885954,0.14033252095635054,0.14033252095635054,0.02,6,1.2549879452883418e-08,0.002524670711568194,0.8220665724008954,0.16596431558076488,0.011969112018339861,window_with_jump_cut
model_b_t34_full_soc,0.6,0.2516176343635286,0.08051764299632914,0.08051764299632914,0.02,6,6.4188420831873185e-06,0.009455928760589294,0.6954386612477951,0.2675266830927272,0.037034655659477646,window_with_jump_cut
model_b_t34_full_soc,0.7,0.07449664218690316,0.02383892549980901,0.02383892549980901,0.021615394274776205,6,1.927984174952408e-05,0.021615394274776205,0.5270171282391127,0.37796745951253496,0.09501541224835243,window
model_b_t34_full_soc,0.8,0.0015260857443928702,0.02,0.02,0.02,5,0.0006381748502293248,0.015721280809991137,0.41656660184848027,0.4344406756504053,0.1489927225011146,window
model_b_t34_full_soc,0.9,1.3595692545669967e-05,0.02,0.02,0.02,20,0.0002697405899476622,0.01933983183075475,0.19077749709056002,0.5029556152111538,0.3062668876982862,window_with_jump_cut
model_b_t34_full_soc,1.0,0.0003003276385813089,0.02,0.02,0.02,5,0.000241912311893145,0.014159896257357966,0.1763566333451919,0.48713862621435455,0.3365047404404537,window_with_jump_cut
model_b_t34_full_soc,1.1,0.00026212221398139515,0.02,0.02,0.02988420969169224,2,0.012866513251536047,0.02988420969169224,0.16542593598865923,0.4860773663954324,0.34849669761590846,window_with_jump_cut
model_b_t34_full_soc,1.2,0.0012108909614673216,0.02,0.02,0.0832182447664653,2,0.006399380827270178,0.0832182447664653,0.10351682211226129,0.48545125455478877,0.41103192333295,window
model_b_t34_full_soc,1.3,0.08470129814875216,0.027104415407600693,0.027104415407600693,0.027104415407600693,2,0.07406610313804753,0.16218723592269452,0.08766852139773632,0.46170343287559584,0.4506280457266678,fallback_two_closest
model_b_t34_full_soc,1.4,0.26265555385581024,0.08404977723385929,0.08404977723385929,0.08404977723385929,2,0.1606301733760206,0.24655629206474855,0.0778270542149056,0.44342355819147705,0.47874938759361746,fallback_two_closest
model_b_t34_full_soc,1.5,0.4496118768189882,0.14387580058207622,0.14387580058207622,0.14387580058207622,2,0.2508721503232783,0.3344971619048202,0.07113562262358625,0.4292248199871627,0.4996395573892511,fallback_two_closest
model_b_t34_full_soc,1.6,0.6405936282510714,0.20498996104034284,0.2,0.2,2,0.3434825065088063,0.42491778244409917,0.06628990584446909,0.4180088452933181,0.5157012488622129,fallback_two_closest
