model,v,bulk_gap,energy_window_raw,energy_window_cap,energy_window,num_states_summed,min_abs_energy_in_window,max_abs_energy_in_window,W_corner_sum,W_edge_sum,W_bulk_sum,selection_mode
model_c_t34_soc34_only,0.1,1.3113389222328689,0.419628455114518,0.2,0.10000000009363884,48,0.0999999999048828,0.10000000009363884,0.36843976897052155,0.6314970786564995,6.315237297898352e-05,window
model_c_t34_soc34_only,0.2,1.1147228770131719,0.356711320644215,0.2,0.1000000921131433,48,0.09999990498238806,0.1000000921131433,0.36762869263466014,0.6313604559150509,0.0010108514502889928,window
model_c_t34_soc34_only,0.3,0.9190422434238945,0.29409351789564625,0.2,0.10000498240681797,48,0.09999478125660942,0.10000498240681797,0.365417451752731,0.6294666033703229,0.005115944876946193,window
model_c_t34_soc34_only,0.4,0.7247395985822486,0.23191667154631954,0.2,0.10008078069528166,48,0.09991412421160714,0.10008078069528166,0.3599099020017629,0.6239461907779548,0.016143907220282232,window
model_c_t34_soc34_only,0.5,0.532581082153314,0.1704259462890605,0.1704259462890605,0.10066504942622899,48,0.09928364315143619,0.10066504942622899,0.3484769331192068,0.6122685683628892,0.03925449851790414,window
model_c_t34_soc34_only,0.6,0.34400476068742475,0.11008152341997592,0.11008152341997592,0.10348993531332568,48,0.09620431907236052,0.10348993531332568,0.32765567127048895,0.5918071180546614,0.08053721067484972,window
model_c_t34_soc34_only,0.7,0.16200523229568867,0.05184167433462038,0.05184167433462038,0.05184167433462038,2,0.08578943904966188,0.08578943904966199,0.08760431275356274,0.7050248807912418,0.20737080645519543,fallback_two_closest
model_c_t34_soc34_only,0.8,0.002676771325413339,0.02,0.02,0.02,2,0.0605036616726582,0.06050366167265824,0.07260718358397464,0.5990488109732579,0.32834400544276754,fallback_two_closest
model_c_t34_soc34_only,0.9,0.0012203119218740146,0.02,0.02,0.02,28,0.015403950418093152,0.01866060413596282,0.1879740727929142,0.4985658947451772,0.31346003246190857,window
model_c_t34_soc34_only,1.0,0.00977482677767309,0.02,0.02,0.02,2,0.02025662216075767,0.020256622160757888,0.17510479469879248,0.490791272314966,0.3341039329862416,fallback_two_closest
model_c_t34_soc34_only,1.1,0.0022354224966884663,0.02,0.02,0.02,2,0.017378641827947117,0.017378641827948328,0.10409802790054953,0.4370884640831132,0.4588135080163372,window
model_c_t34_soc34_only,1.2,0.006325814657559582,0.02,0.02,0.02,2,0.08943818512872717,0.08943818512872728,0.07729953026420976,0.40145680092512126,0.5212436688106687,fallback_two_closest
model_c_t34_soc34_only,1.3,0.16200523229568875,0.0518416743346204,0.0518416743346204,0.0518416743346204,2,0.1703155793370381,0.17031557933703814,0.06165592268570044,0.37330036827502305,0.5650437090392767,fallback_two_closest
model_c_t34_soc34_only,1.4,0.3440047606874246,0.11008152341997587,0.11008152341997587,0.11008152341997587,2,0.2566702881563742,0.256670288156376,0.05185968968313093,0.35173507360628675,0.5964052367105821,fallback_two_closest
model_c_t34_soc34_only,1.5,0.5325810821533138,0.1704259462890604,0.1704259462890604,0.1704259462890604,2,0.3465437809310472,0.34654378093104804,0.04533223540641049,0.33516289048004133,0.619504874113548,fallback_two_closest
model_c_t34_soc34_only,1.6,0.724739598582248,0.23191667154631937,0.2,0.2,2,0.43877253100715885,0.4387725310071595,0.04075252236399017,0.32224003506366267,0.6370074425723471,fallback_two_closest
