model,v,bulk_gap,energy_window,num_states_summed,min_abs_energy_in_window,max_abs_energy_in_window,W_corner_sum,W_edge_sum,W_bulk_sum
model_b_t34_full_soc,0.1,1.5999999999999988,0.6399999999999996,80,0.0010300536066070551,0.10000009830400022,0.39995479898380726,0.5999781464607052,6.7054555487808e-05
model_b_t34_full_soc,0.2,1.3999999999999995,0.5599999999999998,80,0.0013918373667442853,0.10000537345900193,0.39935888260534036,0.5996535412449742,0.000987576149685415
model_b_t34_full_soc,0.3,1.1999999999999997,0.4799999999999999,80,0.003311534695278229,0.10008808039198025,0.39683589813696873,0.5982459254354913,0.0049181764275399355
model_b_t34_full_soc,0.4,0.9999999999999998,0.3999999999999999,80,0.00035720383903327667,0.10073242693915721,0.390107977054734,0.5944498399185247,0.015442183026741297
model_b_t34_full_soc,0.5,0.7999999999999998,0.31999999999999995,80,0.0016715222528794669,0.10387069033983067,0.3760259650474268,0.5864544091684855,0.03751962578408767
model_b_t34_full_soc,0.6,0.5999999999999996,0.23999999999999988,80,0.0013018120499400242,0.11445975325644142,0.3507350903768224,0.5721219357459562,0.07714297387722141
model_b_t34_full_soc,0.7,0.39999999999999986,0.15999999999999995,80,0.0008851375632036597,0.14011513084137367,0.3108742659320848,0.550038231566768,0.13908750250114718
model_b_t34_full_soc,0.8,0.19999999999999982,0.07999999999999993,66,0.014211548937882316,0.04720050402590855,0.21579286108194984,0.5465855976913668,0.23762154122668327
model_b_t34_full_soc,0.9,6.938893903907228e-17,0.02,2,0.04946018717284764,0.049460187172848266,0.30206014971719614,0.5591811109261227,0.13875873935668118
model_b_t34_full_soc,1.0,1.719231358062773e-17,0.02,2,0.014211548937882455,0.014211548937883099,0.20221359903914018,0.49891186454204983,0.29887453641881007
model_b_t34_full_soc,1.1,1.6653345369377348e-16,0.02,2,0.04946018717284818,0.04946018717284865,0.12763370629301632,0.46220075650952064,0.4101655371974631
model_b_t34_full_soc,1.2,0.19999999999999982,0.07999999999999993,2,0.125601709303621,0.1256017093036216,0.08895777824381347,0.4204431525637057,0.4905990691924809
model_b_t34_full_soc,1.3,0.39999999999999986,0.15999999999999995,2,0.20950353805151775,0.20950353805151894,0.06785772301444248,0.3863804919555054,0.5457617850300521
model_b_t34_full_soc,1.4,0.5999999999999995,0.23999999999999982,2,0.29818564038098716,0.2981856403809873,0.05540718577004787,0.3606323840529686,0.5839604301769834
model_b_t34_full_soc,1.5,0.7999999999999998,0.31999999999999995,2,0.38990074799067687,0.389900747990677,0.047493480064892894,0.3412945125820951,0.611212007353012
