model,v,state_index,energy,abs_energy,energy_window
model_c_t34_soc34_only,0.1,360,-0.10000000000000009,0.10000000000000009,0.6811102550927979
model_c_t34_soc34_only,0.1,361,-0.09999999999999994,0.09999999999999994,0.6811102550927979
model_c_t34_soc34_only,0.1,362,-9.85906684706794e-11,9.85906684706794e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,363,-9.859035738567194e-11,9.859035738567194e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,364,-9.859017887539984e-11,9.859017887539984e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,365,-9.859014661611064e-11,9.859014661611064e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,366,-9.858068834189485e-11,9.858068834189485e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,367,-9.858049535023913e-11,9.858049535023913e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,368,-9.858048876630483e-11,9.858048876630483e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,369,-9.858030548919495e-11,9.858030548919495e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,370,-9.856474189235319e-11,9.856474189235319e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,371,-9.856447219157383e-11,9.856447219157383e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,372,-9.856433928161016e-11,9.856433928161016e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,373,-9.856428532170293e-11,9.856428532170293e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,374,-9.85421822532692e-11,9.85421822532692e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,375,-9.854217481638104e-11,9.854217481638104e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,376,-9.85420664678747e-11,9.85420664678747e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,377,-9.854200808955883e-11,9.854200808955883e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,378,-9.851460688235025e-11,9.851460688235025e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,379,-9.851451690586949e-11,9.851451690586949e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,380,-9.851449095907669e-11,9.851449095907669e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,381,-9.851435592853095e-11,9.851435592853095e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,382,-9.848327296902574e-11,9.848327296902574e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,383,-9.848314918309566e-11,9.848314918309566e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,384,-9.848308878453289e-11,9.848308878453289e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,385,-9.848307139692461e-11,9.848307139692461e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,386,-9.84511821837423e-11,9.84511821837423e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,387,-9.845087272957733e-11,9.845087272957733e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,388,-9.845075264897863e-11,9.845075264897863e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,389,-9.845074850986093e-11,9.845074850986093e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,390,-9.842232495227819e-11,9.842232495227819e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,391,-9.842205731329375e-11,9.842205731329375e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,392,-9.842200064895969e-11,9.842200064895969e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,393,-9.842199064006288e-11,9.842199064006288e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,394,-9.840188437484393e-11,9.840188437484393e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,395,-9.840178174559577e-11,9.840178174559577e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,396,-9.840173178703442e-11,9.840173178703442e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,397,-9.840173105804311e-11,9.840173105804311e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,398,-1.0534244531142097e-15,1.0534244531142097e-15,0.6811102550927979
model_c_t34_soc34_only,0.1,399,1.7780105105591678e-17,1.7780105105591678e-17,0.6811102550927979
model_c_t34_soc34_only,0.1,400,2.08269618944919e-16,2.08269618944919e-16,0.6811102550927979
model_c_t34_soc34_only,0.1,401,3.4271997842637527e-16,3.4271997842637527e-16,0.6811102550927979
model_c_t34_soc34_only,0.1,402,9.840174826643237e-11,9.840174826643237e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,403,9.840175814798354e-11,9.840175814798354e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,404,9.84018436551229e-11,9.84018436551229e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,405,9.840191567448965e-11,9.840191567448965e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,406,9.842173209054738e-11,9.842173209054738e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,407,9.842193532954953e-11,9.842193532954953e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,408,9.84219987399267e-11,9.84219987399267e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,409,9.842203195516559e-11,9.842203195516559e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,410,9.845064413125061e-11,9.845064413125061e-11,0.6811102550927979
model_c_t34_soc34_only,0.1,411,9.84507825999626e-11,9.84507825999626e-11,0.6811102550927979
