model,v,bulk_gap,energy_window_raw,energy_window_cap,energy_window,num_states_summed,min_abs_energy_in_window,max_abs_energy_in_window,W_corner_sum,W_edge_sum,W_bulk_sum,selection_mode
model_c_t34_soc34_only,0.1,1.7027756377319947,0.37461064030103886,0.12,0.02,24,1.7780105105591678e-17,9.84507825999626e-11,0.378972699430017,0.6209651396897948,6.216088018838713e-05,window
model_c_t34_soc34_only,0.2,1.5031219541881398,0.33068682992139076,0.12,0.02,24,9.650935056840697e-14,9.770337056788788e-08,0.37528594110033386,0.6237160828211841,0.0009979760784819666,window
model_c_t34_soc34_only,0.3,1.3035668847618198,0.28678471464760036,0.12,0.02,24,2.887403202878068e-10,5.3380622521809055e-06,0.37089414558054906,0.6240302895588359,0.005075564860615194,window
model_c_t34_soc34_only,0.4,1.1041594578792295,0.2429150807334305,0.12,0.02,24,7.758149334385104e-08,8.747193337895867e-05,0.36416634030811224,0.6197811294031967,0.016052530288690886,window
model_c_t34_soc34_only,0.5,0.9049875621120891,0.1990972636646596,0.12,0.02,24,5.364204464727245e-06,0.0007272891416466667,0.35290403097966316,0.6081111821061433,0.038984786914193464,window
model_c_t34_soc34_only,0.6,0.706225774829855,0.1553696704625681,0.12,0.02,24,0.0001495986395382998,0.003844025265905205,0.3341167168995822,0.5862418361350082,0.07964144696540973,window
model_c_t34_soc34_only,0.7,0.508276253029822,0.11182077566656085,0.11182077566656085,0.02,24,0.002048866118649686,0.01436490078444882,0.30379948104675825,0.554899145851643,0.14130137310159882,window
model_c_t34_soc34_only,0.8,0.3123105625617659,0.0687083237635885,0.0687083237635885,0.039870651559054476,24,0.014103227082733049,0.039870651559054476,0.2610478275219005,0.5218711618386858,0.21708101063941365,window
model_c_t34_soc34_only,0.9,0.12360679774997893,0.027193495504995367,0.027193495504995367,0.027193495504995367,2,0.049295812276435376,0.049295812276436236,0.2440348084143882,0.49992797105165615,0.25603722053395556,fallback_two_closest
model_c_t34_soc34_only,1.0,2.999519565323715e-31,0.02,0.02,0.02,2,0.10760186404272883,0.1076018640427291,0.15306636140566,0.47634120366971033,0.3705924349246298,fallback_two_closest
model_c_t34_soc34_only,1.1,0.12360679774997915,0.027193495504995415,0.027193495504995415,0.027193495504995415,2,0.18107602913481866,0.18107602913481904,0.10409802790054981,0.4370884640831135,0.45881350801633675,fallback_two_closest
model_c_t34_soc34_only,1.2,0.3123105625617659,0.0687083237635885,0.0687083237635885,0.0687083237635885,2,0.26351625167829335,0.2635162516782936,0.07729953026420985,0.4014568009251215,0.5212436688106685,fallback_two_closest
model_c_t34_soc34_only,1.3,0.508276253029822,0.11182077566656085,0.11182077566656085,0.11182077566656085,2,0.3513126016033093,0.35131260160331046,0.06165592268570051,0.3733003682750234,0.5650437090392763,fallback_two_closest
model_c_t34_soc34_only,1.4,0.7062257748298547,0.15536967046256803,0.12,0.12,2,0.4424456750564687,0.4424456750564705,0.05185968968313108,0.35173507360628725,0.5964052367105817,fallback_two_closest
model_c_t34_soc34_only,1.5,0.9049875621120891,0.1990972636646596,0.12,0.12,2,0.5357566820453115,0.5357566820453122,0.04533223540641063,0.3351628904800418,0.6195048741135477,fallback_two_closest
model_c_t34_soc34_only,1.6,1.1041594578792298,0.24291508073343054,0.12,0.12,2,0.6305517423675363,0.6305517423675379,0.04075252236399014,0.32224003506366306,0.6370074425723465,fallback_two_closest
